	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200847010807	ダ	右	1400	晴	良	14:00	サラ系C22組		2008-1-8	17	笠松	2			6	400	3	6	100	3	3	100	2	8.0	100.0	1.0	3-6	310.0	2.0	3-6	270	1	6=>3	720.0	5.0	6=>3	530	3	3-6-8	150	1	6=>3=>8	740	2		568394172.0	698347152.0	689374125.0		
200847010808	ダ	右	1400	晴	良	14:35	サラ系C21組		2008-1-8	17	笠松	2			7	390	2	7	170	3	8	230	4	9.0	150.0	2.0	7-7	1270.0	5.0	7-8	1350	5	7=>7	1260.0	6.0	7=>8	2210	10	7-8-9	710	3	7=>8=>9	6230	22		6,8,7,10,9,4,5,1,3-2	8,6,7,10,9,5,3,4,1-2	8,7,6,9,10,5,3,1,4-2		
200847010809	ダ	右	1600	晴	良	15:10	ことぶき特別 		2008-1-8	17	笠松	2			8	200	1	8	100	2	6	220	5	5.0	100.0	1.0	6-7	2130.0	7.0	6-8	2260	6	7=>6	2380.0	9.0	8=>6	2650	9	5-6-8	1090	3	8=>6=>5	7680	21		35910168427	3,5,1,9,10,8,4,6,2-7	35184106927		
200847010901	ダ	右	1400	晴	良	11:00	サラ系3歳3組		2008-1-9	17	笠松	3			4	630	3	4	190	3	6	280	5	1.0	250.0	4.0				4-6	9160	18				4=>6	16360	35	1-4-6	18280	38	4=>6=>1	117970	200		36748521.0	36748521.0	63472581.0		
200847010902	ダ	右	1400	晴	良	11:25	サラ系C12組		2008-1-9	17	笠松	3			5	730	2	5	150	2	6	400	6	7.0	330.0	4.0	5-6	2820.0	8.0	5-6	3300	9	5=>6	4270.0	14.0	5=>6	5130	13	5-6-7	3620	10	5=>6=>7	18810	54		257364891.0	257634918.0	576294318.0		
200847010903	ダ	右	1400	晴	良	11:55	サラ系C11組		2008-1-9	17	笠松	3			6	300	3	6	100	2	9	110	3	2.0	100.0	1.0	6-8	350.0	3.0	6-9	330	2	6=>8	720.0	5.0	6=>9	690	4	2-6-9	150	1	6=>9=>2	1030	5		968345271	9,6,8-2,4,5,3,7,1	9,6,8,2,4,5,7,3-1		
200847010904	ダ	右	1600	晴	良	12:25	サラ系C10組		2008-1-9	17	笠松	3			3	230	1	3	120	2	5	110	1	7.0	160.0	4.0	3-5	1310.0	4.0	3-5	1550	5	3=>5	1600.0	8.0	3=>5	1680	6	3-5-7	1160	2	3=>5=>7	6180	16		841329675	(8,4,3,5),2,7,6,9,1	3,8,4,5,7,2,9,6-1		
200847010905	ダ	右	1400	晴	良	12:55	サラ系3歳2組選抜		2008-1-9	17	笠松	3			5	780	4	5	140	3	7	150	4	4.0	120.0	2.0				5-7	1620	8				5=>7	3530	14	4-5-7	880	4	5=>7=>4	8800	34		67385412.0	67854321.0	67385412.0		
200847010906	ダ	右	1600	晴	良	13:25	サラ系C12		2008-1-9	17	笠松	3			4	180	1	4	110	1	9	170	3	8.0	510.0	7.0	4-8	300.0	1.0	4-9	340	2	4=>8	450.0	1.0	4=>9	580	3	4-8-9	4420	15	4=>9=>8	20780	56		29436108517.0	94236851071.0	94865321071.0		
200847010907	ダ	右	1600	晴	良	14:00	アキテック杯		2008-1-9	17	笠松	3			4	310	2	4	190	3	3	230	4							3-4	770	3				4=>3	1220	6	1-3-4	2840	10	4=>3=>1	9940	36		123654.0	123645.0	143265.0		
200847010908	ダ	右	1400	晴	良	14:35	サラ系3歳1組特別 		2008-1-9	17	笠松	3			6	210	1	6	140	3	3	190	5	2.0	130.0	2.0				3-6	490	3				6=>3	680	2	2-3-6	560	3	6=>3=>2	1880	5		12834657	1,2,8,6,3,4,5-7	2,1,6,8,3,4,5-7		
200847010909	ダ	右	1600	晴	良	15:10	新春特別 		2008-1-9	17	笠松	3			2	110	1	2	120	1	4	160	3							2-4	680	2				2=>4	720	3	2-3-4	180	1	2=>4=>3	1060	4		2643517.0	2645317.0	2463517.0		
200847010910	ダ	右	1400	晴	良	16:15	門松特別 		2008-1-9	17	笠松	3			1	450	3	1	120	3	2	140	4	4.0	110.0	1.0	1-2	590.0	3.0	1-2	600	4	1=>2	1330.0	7.0	1=>2	1160	6	1-2-4	1050	4	1=>2=>4	5070	17		16105429873.0	14106253987.0	14253109687.0		
200847011101	ダ	右	1400	晴	良	11:00	サラ系C20組		2008-1-11	17	笠松	5			7	120	1	7	110	1	6	160	3	2.0	1,090	8.0	6-7	330.0	1.0	6-7	290	1	7=>6	490.0	1.0	7=>6	450	1	2-6-7	14230	32	7=>6=>2	21010	56		468271539	468275139	(6,7),4,2,5,1,8,3,9		
200847011102	ダ	右	1400	晴	良	11:25	サラ系C19組		2008-1-11	17	笠松	5			8	110	1	8	120	1	7	140	3	5.0	160	4.0	7-8	170.0	1.0	7-8	220	1	8=>7	190.0	1.0	8=>7	190	1	5-7-8	270	1	8=>7=>5	500	1		587136429	(8,7),5,3,6,1,4,9,2	875361492		
200847011103	ダ	右	1400	晴	良	11:55	サラ系C18組		2008-1-11	17	笠松	5			3	120	1	3	100	1	2	860	7	8.0	170	4.0	2-3	3970.0	8.0	2-3	4530	10	3=>2	3770.0	10.0	3=>2	3760	12	2-3-8	5040	16	3=>2=>8	35680	66		39258471.0	32985471.0	32845179.0		
200847011104	ダ	右	1800	晴	良	12:25	若竹特別 		2008-1-11	17	笠松	5			2	120	1	2	100	1	1	190	3							1-2	140	1				2=>1	160	1	1-2-4	140	1	2=>1=>4	270	1		12453	12453	(1,2)-4,5,3		
200847011105	ダ	右	1400	晴	良	12:55	サラ系C16組		2008-1-11	17	笠松	5			5	410	2	5	110	3	4	100	1	2.0	110	2.0	4-5	260.0	1.0	4-5	260	2	5=>4	1130.0	5.0	5=>4	1050	4	2-4-5	280	1	5=>4=>2	2400	7		657284913.0	657428913.0	456278193.0		
200847011106	ダ	右	1400	曇	良	13:25	サラ系C9組		2008-1-11	17	笠松	5			5	730	2	5	160	2	1	480	6	6.0	770	7.0	1-5	9090.0	11.0	1-5	13650	17	5=>1	37570.0	24.0	5=>1	18720	23	1-5-6	61020	54	5=>1=>6	271940	216		15781026943	1527810694	1,5,(7,8),2,6,10,9,4		
200847011107	ダ	右	1600	曇	良	14:00	競馬総合チャンネル賞		2008-1-11	17	笠松	5			3	370	3	3	160	3	2	140	2	5.0	230	4.0	2-3	820.0	4.0	2-3	830	3	3=>2	1970.0	8.0	3=>2	1630	6	2-3-5	1630	5	3=>2=>5	8460	22		32581497610.0	32584176910.0	32548167910.0		
200847011108	ダ	右	1400	曇	良	14:35	サラ系C8組		2008-1-11	17	笠松	5			3	130	1	3	110	3	10	100	2	9.0	100	1.0	3-8	120.0	1.0	3-10	180	1	3=>8	160.0	1.0	3=>10	250	1	3-9-10	220	1	3=>10=>9	510	1		3,4,5,10,8,6,9-7,1,2	39481056172	39104875612		
200847011109	ダ	右	1400	曇	良	15:10	白銀争覇	G	2008-1-11	17	笠松	5	(別定)		2	270	2	2	130	3	1	110	1	8.0	160	4.0	1-2	370.0	1.0	1-2	360	1	2=>1	1080.0	4.0	2=>1	890	3	1-2-8	1160	2	2=>1=>8	4380	10		2,4-6,8,1,7,3,9,5	248617395	218679345		
200847012001	ダ	右	1400	曇	良	11:00	サラ系3歳7組牝馬		2008-1-20	18	笠松	1	牝		6	630	3	6	210	3	7	420	4	8.0	580	7.0				6-7	3910	12				6=>7	5370	15	6-7-8	6180	19	6=>7=>8	33800	78		6,1,7,4,(3,5,8),2	67145832	6,7,4,(1,8),5,3,2		
200847012002	ダ	右	1400	曇	良	11:30	北浦充・美幸結婚13		2008-1-20	18	笠松	1			4	730	2	4	150	3	8	110	1	6.0	150	4.0				4-8	790	4				4=>8	2710	9	4-6-8	1210	6	4=>8=>6	10960	42		68732415	(6,8,3,7),2,4,1,5	86742315		
200847012003	ダ	右	1400	曇	良	12:00	前畑貴彦誕生日記念		2008-1-20	18	笠松	1			6	2840	8	6	1,200	8	4	520	6	5.0	230	3.0				4-6	19830	26				6=>4	52390	52	4-5-6	21010	40	6=>4=>5	283940	288		86543127	(8,6,5),4,3,2,7,1	6,5,8,4,2,7,3-1		
200847012004	ダ	右	1400	曇	良	12:30	小林千咲貴5歳誕生日		2008-1-20	18	笠松	1			4	120	1	4	100	1	7	130	2	5.0	170	4.0	4-7	310.0	2.0	4-7	240	1	4=>7	390.0	2.0	4=>7	300	1	4-5-7	280	1	4=>7=>5	630	1		943782516.0	947351826.0	493751826.0		
200847012005	ダ	右	800	曇	良	13:05	露木幸彦男の離婚本出		2008-1-20	18	笠松	1			4	200	1	4	120	1	5	140	4	8.0	130	3.0	4-5	420.0	2.0	4-5	470	3	4=>5	610.0	3.0	4=>5	740	3	4-5-8	580	3	4=>5=>8	1510	4				45863791.0		
200847012006	ダ	右	1400	曇	良	13:40	サラ系C37組		2008-1-20	18	笠松	1			1	130	1	1	170	2	6	220	3	5.0	820	9.0	1-6	360.0	1.0	1-6	380	1	1=>6	520.0	1.0	1=>6	480	1	1-5-6	1400	4	1=>6=>5	2980	5		56173981042.0	56917831042.0	56198103472.0		
200847012101	ダ	右	800	曇	良	11:00	サラ系3歳10組		2008-1-21	18	笠松	2			1	240	2	1	100	1	5	110	2	4.0	180	5.0				1-5	350	1				1=>5	710	2	1-4-5	620	2	1=>5=>4	2210	5				1,5,4,8,6-3,2,7		
200847012102	ダ	右	1400	曇	良	11:25	サラ系3歳9組		2008-1-21	18	笠松	2			5	140	1	5	110	1	2	430	6	3.0	340	5.0				2-5	750	4				5=>2	1600	6	2-3-5	2420	9	5=>2=>3	8150	26		45326817.0	45328617.0	54321687.0		
200847012103	ダ	右	1400	曇	良	11:55	サラ系3歳8組		2008-1-21	18	笠松	2			6	640	2	6	170	5	4	100	1	9.0	140	2.0	4-6	590.0	4.0	4-6	430	2	6=>4	2260.0	7.0	6=>4	2210	8	4-6-9	1000	6	6=>4=>9	10660	33		345167928.0	435671982.0	645973812.0		
200847012104	ダ	右	1400	曇	良	12:25	サラ系C34組牝馬		2008-1-21	18	笠松	2	牝		6	430	2	6	120	2	3	110	1	1.0	130	3.0	3-6	610.0	2.0	3-6	530	2	6=>3	1820.0	9.0	6=>3	1160	4	1-3-6	790	3	6=>3=>1	4190	15		346129578	346129578	3,6,4,2,1,7,9,5-8		
200847012105	ダ	右	1400	曇	良	12:55	サラ系C33組		2008-1-21	18	笠松	2			3	140	1	3	130	1	2	680	7	5.0	280	5.0	2-3	2060.0	9.0	2-3	1990	8	3=>2	3660.0	17.0	3=>2	3800	14	2-3-5	6420	23	3=>2=>5	22160	72		528347169	2,5,8,3,7,4,1-6,9	2,5,3,4,8,7,1-6,9		
200847012106	ダ	右	1400	曇	良	13:25	サラ系C32組		2008-1-21	18	笠松	2			5	1950	6	5	340	5	6	180	2	7.0	440	6.0	5-6	2730.0	10.0	5-6	2830	11	5=>6	11290.0	25.0	5=>6	8150	23	5-6-7	13270	36	5=>6=>7	108950	192		592678341	5,9-2,6,7,4,3,1,8	596724318		
200847012107	ダ	右	1400	曇	良	13:55	サラ系C31組		2008-1-21	18	笠松	2			6	140	1	6	100	1	8	130	3	5.0	160	4.0				6-8	380	2				6=>8	530	2	5-6-8	1400	5	6=>8=>5	2630	8		17862543.0	76815243.0	67851243.0		
200847012108	ダ	右	1400	晴	良	14:25	れんこん料理の		2008-1-21	18	笠松	2			5	620	3	5	210	4	2	140	2	3.0	1,700	8.0				2-5	880	4				5=>2	1490	6	2-3-5	16150	29	5=>2=>3	52430	95		57328164.0	53781264.0	53241876.0		
200847012201	ダ	右	1400	晴	良	11:00	サラ系C30組		2008-1-22	18	笠松	3			9	250	2	9	100	2	6	100	1	2.0	440	7.0	6-8	130.0	1.0	6-9	150	1	8=>6	350.0	2.0	9=>6	290	2	2-6-9	4250	10	9=>6=>2	12160	32		568913724.0	569183724.0	695318274.0		
200847012202	ダ	右	1400	晴	良	11:30	サラ系C29組		2008-1-22	18	笠松	3			7	620	5	7	140	2	3	290	6	2.0	210	4.0	3-7	3560.0	12.0	3-7	3360	13	7=>3	3470.0	16.0	7=>3	5150	20	2-3-7	2370	11	7=>3=>2	20470	63		746283159	742863519	7,4,2,8,6,3,5-1,9		
200847012203	ダ	右	1400	晴	良	12:00	サラ系C28組		2008-1-22	18	笠松	3			8	330	2	8	110	2	3	170	5	2.0	100	1.0	3-8	1160.0	5.0	3-8	1910	6	8=>3	2500.0	7.0	8=>3	4110	12	2-3-8	540	3	8=>3=>2	6340	23		928347561	829437561	(2,8),(3,4,7),9-5,6,1		
200847012204	ダ	右	1400	晴	良	12:30	カトレア短距離特別 		2008-1-22	18	笠松	3			5	110	1	5	120	1	3	180	3							3-5	210	1				5=>3	280	1	1-3-5	240	1	5=>3=>1	420	1		53142	53142	5-3,1,4,2		
200847012301	ダ	右	1400	雨	重	11:00	サラ系3歳4組		2008-1-23	18	笠松	4			6	640	4	6	210	3	4	110	1	3.0	320	6.0				4-6	620	2				6=>4	2000	8	3-4-6	2100	8	6=>4=>3	14890	51		63472581.0	63452871.0	63425871.0		
200847012302	ダ	右	1400	雨	重	11:25	サラ系3歳3組		2008-1-23	18	笠松	4			3	220	1	3	160	1	2	510	6							2-3	1580	8				3=>2	2190	8	1-2-3	1160	6	3=>2=>1	7920	30		2371546	2317564	(2,3),1,5,4,6,7		
200847012303	ダ	右	1400	雨	重	11:55	サラ系C22組		2008-1-23	18	笠松	4			8	120	1	8	100	2	1	100	1	3.0	170	4.0	1-8	110.0	1.0	1-8	110	1	8=>1	140.0	1.0	8=>1	150	1	1-3-8	440	2	8=>1=>3	770	2		283764159.0	823716459.0	821375649.0		
200847012304	ダ	右	1400	雨	重	12:25	サラ系C21組		2008-1-23	18	笠松	4			3	120	1	3	100	1	9	420	6	8.0	130	3.0	3-8	170.0	1.0	3-9	1970	5	3=>8	200.0	1.0	3=>9	1590	5	3-8-9	1210	3	3=>9=>8	4820	14		986237415	986327145	(9,8),6,3,2-7,1,5,4		
200847012305	ダ	右	1400	雨	重	12:55	サラ系C8組		2008-1-23	18	笠松	4			3	110	1	3	110	3	9	110	2	4.0	100	1.0	3-8	500.0	4.0	3-9	540	4	3=>8	630.0	3.0	3=>9	730	4	3-4-9	670	2	3=>9=>4	2130	8		794326158	7,9,4,3,2,1,6,5-8	9,7,4,3,2,1,6,5-8		
200847012306	ダ	右	1400	曇	重	13:25	サラ系C7組		2008-1-23	18	笠松	4			4	180	1	4	120	2	6	300	4	7.0	140	3.0	4-6	1670.0	6.0	4-6	1090	5	4=>6	1940.0	8.0	4=>6	1690	5	4-6-7	1780	5	4=>6=>7	5480	17		84635210971.0	46835210971.0	46538271091.0		
200847012307	ダ	右	1600	曇	重	13:55	サラ系C6組		2008-1-23	18	笠松	4			1	120	1	1	100	2	6	100	1	9.0	110	3.0	1-6	460.0	2.0	1-6	500	3	1=>6	580.0	1.0	1=>6	570	3	1-6-9	840	3	1=>6=>9	1890	5		71342659810.0	71396542810.0	17396524810.0		
200847012308	ダ	右	1600	雨	重	14:25	サラ系A3組特別		2008-1-23	18	笠松	4			1	280	2	1	120	1	4	130	2	6.0	170	4.0	1-4	410.0	2.0	1-4	420	2	1=>4	1000.0	5.0	1=>4	810	3	1-4-6	620	3	1=>4=>6	2660	10		14106598723.0	14106958732.0	14691058723.0		
200847012501	ダ	右	1400	晴	良	11:00	サラ系C14・17組		2008-1-25	18	笠松	6			9	150	1	9	100	1	5	140	3	8.0	270	5.0	5-8	230.0	1.0	5-9	220	1	8=>5	250.0	1.0	9=>5	240	1	5-8-9	1090	4	9=>5=>8	1470	4		598736124	5,9,8,3,2,1,7,6-4	5,9,8,3,2,(1,7,6),4		
200847012502	ダ	右	1400	晴	良	11:30	サラ系C13組		2008-1-25	18	笠松	6			9	110	1	9	110	1	2	270	7	4.0	110	2.0	2-8	810.0	4.0	2-9	680	3	8=>2	800.0	4.0	9=>2	730	4	2-4-9	660	2	9=>2=>4	2360	9		293845176.0	293845617.0	293458671.0		
200847012503	ダ	右	1400	晴	良	12:00	サラ系C12組		2008-1-25	18	笠松	6			6	230	2	6	100	1	4	100	2	8.0	320	6.0	4-6	180.0	1.0	4-6	140	1	6=>4	340.0	2.0	6=>4	350	2	4-6-8	690	3	6=>4=>8	1480	6		489756132	4,8,6,7,9,(5,1),3-2	4,6,(7,8),1,9,5,3=2		
200847012504	ダ	右	1400	晴	良	12:30	サラ系3歳1組選抜		2008-1-25	18	笠松	6			3	350	3	3	170	2	5	110	1							3-5	350	1				3=>5	550	2	3-4-5	610	3	3=>5=>4	2550	7		4,5,(2,6),3,1	456231	(4,5),(6,3),2,1		
200847012505	ダ	右	1400	晴	良	13:00	サラ系C10組		2008-1-25	18	笠松	6			6	160	1	6	140	2	8	210	3	2.0	440	6.0	6-8	860.0	4.0	6-8	1960	7	6=>8	1080.0	3.0	6=>8	2420	8	2-6-8	6830	22	6=>8=>2	34910	88		189256347.0	185926347.0	865129347.0		
200847012506	ダ	右	1600	晴	良	13:35	サラ系C9組		2008-1-25	18	笠松	6			3	1730	6	3	170	5	6	110	1	9.0	160	4.0	3-6	1190.0	4.0	3-6	1300	6	3=>6	5200.0	14.0	3=>6	6140	16	3-6-9	1510	6	3=>6=>9	11160	38		10396251487	10,3,9,6,5,2,4,1,8-7	39106514827		
200847021001	ダ	右	1400	晴	不良	11:00	サラ系C36組牝馬		2008-2-10	19	笠松	1	牝		5	330	2	5	200	5	2	100	1	3.0	470	6.0	2-5	420.0	1.0	2-5	370	1	5=>2	1240.0	4.0	5=>2	920	3	2-3-5	16580	27	5=>2=>3	74510	139		5,4,8,6,9,2,3,1=7	5,4,8,2,9,6,3,1=7	5,4,2,8,3,6,9,1=7		
200847021002	ダ	右	1400	晴	不良	11:30	サラ系C35組		2008-2-10	19	笠松	1			9	100	1	9	100	1	2	380	8	6.0	100	2.0	2-8	9560.0	13.0	2-9	6430	11	8=>2	4480.0	13.0	9=>2	7810	14	2-6-9	2670	8	9=>2=>6	29970	57		976284351.0	976284531.0	927685413.0		
200847021003	ダ	右	1400	晴	不良	12:00	メリメリ大昇天		2008-2-10	19	笠松	1			2	240	1	2	120	1	6	190	5	1.0	260	6.0	2-6	1250.0	6.0	2-6	1320	5	2=>6	1440.0	6.0	2=>6	1570	5	1-2-6	5500	25	2=>6=>1	21900	80		589461723.0	589641732.0	859641273.0		
200847021004	ダ	右	1400	晴	不良	12:30	祝!中村翼13歳誕生		2008-2-10	19	笠松	1			2	2270	7	2	700	8	4	100	1	5.0	110	2.0	2-4	1370.0	5.0	2-4	1440	5	2=>4	4780.0	13.0	2=>4	8090	15	2-4-5	2140	7	2=>4=>5	31750	65		2,4,5,6-3,7,9,1,8	2,4,5,6-7,3,9,1,8	2,4,5,6,7-9,8,3,1		
200847021005	ダ	右	800	晴	不良	13:00	伊津子・泰士誕生日記		2008-2-10	19	笠松	1			2	530	3	2	190	3	3	220	4	7.0	170	2.0	2-3	1410.0	6.0	2-3	1510	7	2=>3	3890.0	16.0	2=>3	4340	13	2-3-7	2810	11	2=>3=>7	14970	47				(2,3),4,7,8,9,1,6,5		
200847021006	ダ	右	1400	晴	不良	13:30	サラ系C31組		2008-2-10	19	笠松	1			2	850	5	2	140	3	9	150	5	10.0	130	2.0	2-8	460.0	3.0	2-9	1180	6	2=>8	1130.0	6.0	2=>9	2790	17	2-9-10	760	2	2=>9=>10	6100	17		21091653478.0	21093165478.0	29103165487.0		
200847021007	ダ	右	1400	晴	不良	14:15	サラ系C30組		2008-2-10	19	笠松	1			6	190	1	6	110	1	8	170	5	1.0	120	2.0	6-7	1000.0	4.0	6-8	1000	3	6=>7	980.0	4.0	6=>8	1390	4	1-6-8	590	3	6=>8=>1	3350	9		10917638524.0	10961378524.0	10619387524.0		
200847021101	ダ	右	1400	晴	不良	11:00	サラ系3歳9組		2008-2-11	19	笠松	2			2	3400	6	2	340	3	1	640	7	3.0	780	8.0	1-2	30880.0	23.0	1-2	29490	25	2=>1	102700.0	42.0	2=>1	75780	38	1-2-3	41860	42	2=>1=>3	1232830	368		241539678.0	213475968.0	213476958.0		
200847021102	ダ	右	1400	晴	不良	11:30	サラ系3歳8組		2008-2-11	19	笠松	2			1	190	1	1	110	1	9	200	5	3.0	140	3.0	1-8	750.0	4.0	1-9	980	4	1=>8	1140.0	5.0	1=>9	1230	5	1-3-9	630	2	1=>9=>3	4230	12		9,1,6-3,8,5,2,4,7	916348257	913684527		
200847021103	ダ	右	1400	晴	不良	12:00	頑張れ!笠松競馬騎手		2008-2-11	19	笠松	2			2	260	1	2	110	1	4	250	5	8.0	160	3.0	2-4	1380.0	5.0	2-4	1100	4	2=>4	2050.0	9.0	2=>4	1270	5	2-4-8	2700	6	2=>4=>8	8740	25		946285317.0	946823517.0	942683175.0		
