	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200854010101	ダ	右	1300	晴	重	11:10	A2		2008-1-1	15	高知	2	(馬齢)		2	140	1	2-5	340	2	2-5	130	2	2-6	120	1	5-6	220	4	2=>5	590	2	2-5-6	260	1	2=>5=>6	1070	2.0	153642	153462	1,(4,5),3,2,6	542163		
200854010102	ダ	右	1300	晴	重	11:40	Cイ		2008-1-1	15	高知	2	(馬齢)		4	1590	5	3-4	1590	5	3-4	200	4	1-4	140	2	1-3	100	1	4=>3	4770	14	1-3-4	250	1	4=>3=>1	6970	22.0	642315	643512	643512	463152		
200854010301	ダ	右	1300	晴	重	11:10	Eハ		2008-1-3	15	高知	4	(馬齢)		5	350	2	5-6	200	1	5-6	120	1	2-5	300	5	2-6	170	3	5=>6	490	2	2-5-6	610	3	5=>6=>2	2790	9.0	2,(5,6),1,3,4	251634	256134	562143		
200854010302	ダ	右	1300	晴	重	11:40	Eロ		2008-1-3	15	高知	4	(馬齢)		6	370	2	6-7	300	1	6-7	120	1	1-6	580	9	1-7	520	8	6=>7	1050	3	1-6-7	750	3	6=>7=>1	5040	17.0	2756341	2753641	2756341	5723461		
200854010303	ダ	右	1300	晴	重	12:10	Eイ		2008-1-3	15	高知	4	(馬齢)		1	130	1	1-3	150	1	1-3	110	1	1-5	120	2	3-5	190	3	1=>3	230	1	1-3-5	260	1	1=>3=>5	540	1.0	136245	132645	1,3-6,4,2,5	135462		
200854010305	ダ	右	1400	晴	重	13:10	C4		2008-1-3	15	高知	4	(馬齢)		8	130	1	4-8	3020	8	4-8	1,410	12	1-8	440	2	1-4	3,750	25	8=>4	3080	9	1-4-8	8100	23	8=>4=>1	16210	42.0	23741856	23718456	23781456	81743256		
200854010306	ダ	右	1400	晴	重	13:40	C3		2008-1-3	15	高知	4	(馬齢)		6	230	2	3-6	180	1	3-6	140	1	4-6	1,420	17	3-4	710	8	6=>3	340	1	3-4-6	2290	7	6=>3=>4	8180	26.0	984271356	984271356	984371526	364591872		
200854011401	ダ	右	1300	曇	不良	11:10	E6		2008-1-14	16	高知	2	(馬齢)		4	290	2	1-4	1030	4	1-4	210	4	3-4	120	1	1-3	240	6	4=>1	1480	5	1-3-4	250	2	4=>1=>3	3270	9.0	4317586	4317586	4,3,1,7,5,8-6	4,3,1,7,5,8-6		
200854011402	ダ	右	1300	曇	不良	11:40	E5		2008-1-14	16	高知	2	(馬齢)		1	530	3	1-4	580	2	1-4	160	3	1-5	130	2	4-5	100	1	1=>4	1590	6	1-4-5	160	1	1=>4=>5	1740	7.0	451276	451276	451276	451276		
200854011403	ダ	右	1300	曇	不良	12:10	E11　記者選抜		2008-1-14	16	高知	2	(馬齢)		2	1380	5	2-7	7880	17	2-7	1,070	14	1-2	600	8	1-7	400	5	2=>7	17620	27	1-2-7	3470	13	2=>7=>1	26760	79.0	2384176	2318476	2316874	2761348		
