	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200848010101	ダ	右	1400	晴	稍重	10:45	優貴誕生5歳記念		2008-1-1	21	名古屋	2			7	110	1	7	100	1	2	310	6	3.0	220.0	4.0	2-7	2250.0	6.0	2-7	1540	6	7=>2	2100.0	8.0	7=>2	2510	8	2-3-7	5940	15	7=>2=>3	8660	32		46107528139.0	46710258139.0	74261053891.0		
200848010102	ダ	右	800	晴	稍重	11:15	サラC24組		2008-1-1	21	名古屋	2			1	250	1	1	110	1	6	150	2	5.0	580.0	7.0	1-6	450.0	1.0	1-6	350	1	1=>6	800.0	2.0	1=>6	630	1	1-5-6	4570	16	1=>6=>5	7730	23				16781025394.0		
200848010103	ダ	右	1400	晴	稍重	11:45	サラC23組		2008-1-1	21	名古屋	2			4	110	1	4	110	2	5	380	3	1.0	400.0	4.0	4-5	260.0	1.0	4-5	250	1	4=>5	350.0	1.0	4=>5	410	2	1-4-5	750	3	4=>5=>1	1860	6		54171086329.0	54178621039.0	54172683109.0		
200848010104	ダ	右	1400	晴	稍重	12:15	サラC22組		2008-1-1	21	名古屋	2			10	350	2	10	140	3	9	100	1	2.0	140.0	4.0	8-8	220.0	1.0	9-10	270	1	8=>8	310.0	1.0	10=>9	570	2	2-9-10	790	3	10=>9=>2	2020	6		83961024157.0	83961021457.0	39106218457.0		
200848010105	ダ	右	1400	晴	稍重	12:45	サラC21組		2008-1-1	21	名古屋	2			3	130	1	3	100	1	9	160	4	6.0	140.0	3.0	3-8	350.0	1.0	3-9	480	2	3=>8	540.0	3.0	3=>9	500	3	3-6-9	540	1	3=>9=>6	1460	3		24316891057.0	24316985107.0	23496157108.0		
200848010106	ダ	右	1400	晴	稍重	13:15	サラC20組		2008-1-1	21	名古屋	2			3	100	1	3	100	2	8	100	1	9.0	150.0	5.0	3-7	190.0	1.0	3-8	220	1	3=>7	250.0	1.0	3=>8	210	1	3-8-9	230	1	3=>8=>9	490	1		38951062714.0	38951062741.0	38957210641.0		
200848010107	ダ	右	1400	晴	稍重	13:45	サラC19組		2008-1-1	21	名古屋	2			6	120	1	6	100	1	4	100	3	3.0	100.0	2.0	4-6	170.0	1.0	4-6	170	1	6=>4	220.0	1.0	6=>4	220	1	3-4-6	220	1	6=>4=>3	370	1		64871351092.0	64835711092.0	64835179102.0		
200848010108	ダ	右	1400	晴	稍重	14:15	サラC18組		2008-1-1	21	名古屋	2			9	170	1	9	100	2	10	100	1	5.0	110.0	3.0	8-8	470.0	2.0	9-10	330	2	8=>8	400.0	3.0	9=>10	600	3	5-9-10	210	1	9=>10=>5	1020	3		91058671324.0	91085673124.0	91058673124.0		
200848010109	ダ	右	1600	晴	稍重	14:45	サラB5組		2008-1-1	21	名古屋	2			5	210	2	5	100	1	8	110	2	2.0	300.0	6.0				5-8	130	1				5=>8	300	2	2-5-8	1130	3	5=>8=>2	3240	11		25487631.0	25874631.0	58237641.0		
200848010301	ダ	右	1400	晴	稍重	10:45	サラ3歳3組		2008-1-3	21	名古屋	4			9	140	1	9	110	1	3	580	8	8.0	460.0	6.0	3-8	2060.0	8.0	3-9	2200	11	8=>3	2420.0	9.0	9=>3	2340	10	3-8-9	42050	62	9=>3=>8	98610	187		26948103715.0	26948103175.0	2984351017.0		
200848010302	ダ	右	1400	晴	稍重	11:15	サラ3歳2組		2008-1-3	21	名古屋	4			8	170	1	8	100	1	7	120	2	1.0	140.0	3.0	7-7	310.0	1.0	7-8	320	1	7=>7	360.0	1.0	8=>7	500	1	1-7-8	780	1	8=>7=>1	1360	1		25839716104.0	28597316104.0	87953162410.0		
200848010303	ダ	右	800	晴	稍重	11:45	サラC10組		2008-1-3	21	名古屋	4			10	230	2	10	120	2	8	110	1	7.0	240.0	5.0	7-8	150.0	1.0	8-10	190	1	8=>7	240.0	1.0	10=>8	240	1	7-8-10	590	3	10=>8=>7	1410	3				10873645129.0		
200848010401	ダ	右	800	晴	稍重	10:45	サラ3歳6組		2008-1-4	21	名古屋	5			2	110	1	2	100	1	1	110	2	5.0	270.0	4.0	1-2	170.0	1.0	1-2	180	1	2=>1	200.0	1.0	2=>1	180	1	1-2-5	400	2	2=>1=>5	640	2				21105876349.0		
200848010402	ダ	右	1400	晴	稍重	11:15	サラ3歳5組		2008-1-4	21	名古屋	5			7	480	4	7	160	3	3	120	1	2.0	470.0	6.0	3-7	1140.0	3.0	3-7	1020	2	7=>3	2060.0	8.0	7=>3	2070	4	2-3-7	4010	21	7=>3=>2	18110	77		27110465398.0	27101643589.0	27364105819.0		
200848010403	ダ	右	1400	晴	稍重	11:45	サラ3歳4組		2008-1-4	21	名古屋	5			10	400	2	10	130	2	4	280	3	5.0	530.0	8.0	4-8	1910.0	6.0	4-10	2230	9	8=>4	2300.0	8.0	10=>4	2900	12	4-5-10	14490	41	10=>4=>5	84490	185		34521096871.0	34592108671.0	35410928761.0		
200848010404	ダ	右	1400	晴	稍重	12:15	サラC5組		2008-1-4	21	名古屋	5			3	150	1	3	100	1	9	100	2	2.0	100.0	3.0	3-8	140.0	1.0	3-9	200	1	3=>8	170.0	1.0	3=>9	250	1	2-3-9	300	1	3=>9=>2	610	1		34921078651.0	34921078651.0	39241078516.0		
200848010405	ダ	右	1400	晴	稍重	12:50	サラC4組		2008-1-4	21	名古屋	5			4	560	4	4	140	3	9	100	1	10.0	220.0	5.0	4-8	310.0	2.0	4-9	540	3	4=>8	660.0	5.0	4=>9	1580	8	4-9-10	510	3	4=>9=>10	3310	13		91073582461.0	91074385621.0	91043786512.0		
200848010406	ダ	右	1300	晴	稍重	13:25	サラC3組		2008-1-4	21	名古屋	5			10	140	1	10	130	3	5	280	5	6.0	130.0	1.0	5-8	1030.0	5.0	5-10	1400	5	8=>5	1390.0	6.0	10=>5	1200	5	5-6-10	1480	5	10=>5=>6	3980	12		46102813579.0	46102853179.0	41085632719.0		
200848010407	ダ	右	1400	晴	稍重	14:00	サラC2組		2008-1-4	21	名古屋	5			6	210	1	6	110	1	1	330	6	5.0	460.0	8.0	1-6	2240.0	5.0	1-6	2420	6	6=>1	3250.0	11.0	6=>1	2430	9	1-5-6	10320	25	6=>1=>5	36020	89		469325187.0	463925178.0	463952178.0		
