	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200748010101	ダ	右	1400	晴	稍重	10:45	サラC28組		2007-1-1	19	名古屋	2			8	610	2	8	170	3	4	100	1	6.0	190.0	4.0	4-7	410.0	2.0	4-8	360	1	7=>4	1750.0	6.0	8=>4	1150	5.0	4-6-8	2080	11.0	8=>4=>6	9130	31.0		81064391275.0	81064391275.0	86104391275.0		
200748010102	ダ	右	800	晴	稍重	11:15	サラC27組		2007-1-1	19	名古屋	2			6	670	3	6	130	1	9	200	5	8.0	130.0	2.0	6-8	3610.0	13.0	6-9	6460	20	6=>8	8130.0	28.0	6=>9	16240	39.0	6-8-9	2020	5.0	6=>9=>8	30970	98.0				69845713102.0		
200748010103	ダ	右	1400	晴	稍重	11:45	サラC26組		2007-1-1	19	名古屋	2			8	330	3	8	100	3	4	100	2	3.0	100.0	1.0				4-8	1250	4				8=>4	1600	5.0	3-4-8	190	1.0	8=>4=>3	2430	7.0		38741265.0	38741265.0	83462175.0		
200748010104	ダ	右	1400	晴	稍重	12:20	サラC25組		2007-1-1	19	名古屋	2			3	500	2	3	190	4	5	200	5	6.0	130.0	2.0				3-5	1320	5				3=>5	2520	9.0	3-5-6	520	2.0	3=>5=>6	3940	11.0		35762418.0	35762418.0	35672148.0		
200748010105	ダ	右	1400	晴	稍重	12:55	サラC24組		2007-1-1	19	名古屋	2			3	240	1	3	110	1	4	110	2	5.0	130.0	3.0				3-4	320	1				3=>4	750	3.0	3-4-5	220	1.0	3=>4=>5	1220	2.0		14728536.0	14273856.0	43815267.0		
200748010106	ダ	右	1400	晴	稍重	13:30	サラC23組		2007-1-1	19	名古屋	2			3	140	1	3	100	1	7	140	4	6.0	120.0	3.0				3-7	350	2				3=>7	420	2.0	3-6-7	540	3.0	3=>7=>6	1280	4.0		48756231.0	48765321.0	78346521.0		
200748010107	ダ	右	1600	晴	稍重	14:05	サラC22組		2007-1-1	19	名古屋	2			3	160	1	3	150	3	9	110	1	2.0	180.0	4.0	3-8	280.0	1.0	3-9	270	1	3=>8	430.0	1.0	3=>9	400	1.0	2-3-9	400	2.0	3=>9=>2	1300	3.0		24391586.0	24391568.0	24396518.0		
200748010108	ダ	右	1400	晴	稍重	14:40	はしやんねっと盃		2007-1-1	19	名古屋	2			1	220	1	1	130	2	9	290	6	6.0	130.0	1.0	1-8	1090.0	5.0	1-9	1470	5	1=>8	1410.0	5.0	1=>9	2340	11.0	1-6-9	1420	5.0	1=>9=>6	5290	18.0		179684532.0	176984532.0	179645823.0		
200748010109	ダ	右	1400	晴	稍重	15:50	新春盃	G	2007-1-1	19	名古屋	2	(ハンデ)		1	190	1	1	120	1	5	130	4	2.0	120.0	2.0	1-5	460.0	2.0	1-5	520	2	1=>5	740.0	2.0	1=>5	910	3.0	1-2-5	550	1.0	1=>5=>2	2270	3.0		12107854639.0	12107845639.0	12107458693.0		
200748010201	ダ	右	1400	曇	稍重	10:45	山下貴徳三回目の年男		2007-1-2	19	名古屋	3			9	140	1	9	110	1	6	120	2	7.0	150.0	4.0	6-8	150.0	1.0	6-9	160	1	8=>6	320.0	1.0	9=>6	250	1.0	6-7-9	230	1.0	9=>6=>7	570	1.0		167925834.0	169725834.0	691728534.0		
200748010202	ダ	右	1600	曇	稍重	11:15	サラC12組		2007-1-2	19	名古屋	3			4	480	3	4	170	3	5	140	1							4-5	530	3				4=>5	1670	7.0	3-4-5	540	2.0	4=>5=>3	4230	18.0		4513762.0	4517632.0	4567312.0		
200748010203	ダ	右	1400	曇	稍重	11:45	サラC13組		2007-1-2	19	名古屋	3			6	110	1	6	100	1	2	100	2							2-6	120	1				6=>2	130	1.0	1-2-6	460	2.0	6=>2=>1	630	2.0		2761453.0	2761345.0	2617345.0		
200748010204	ダ	右	800	曇	稍重	12:15	サラC20組		2007-1-2	19	名古屋	3			1	230	1	1	110	2	4	130	3	3.0	110.0	1.0	1-4	740.0	4.0	1-4	790	4	1=>4	1380.0	5.0	1=>4	1300	8.0	1-3-4	440	2.0	1=>4=>3	2400	7.0				437125689.0		
200748010301	ダ	右	1400	晴	稍重	10:45	サラ3歳4組		2007-1-3	19	名古屋	4			8	160	1	8	110	1	3	190	4	4.0	120.0	2.0				3-8	600	3				8=>3	780	3.0	3-4-8	670	2.0	8=>3=>4	2070	5.0		38742165.0	38741256.0	38741256.0		
