	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200948010101	ダ	右	1400	晴	良	10:50	サラ3歳3組		2009-1-1	20	名古屋	2			2	1510	7	2.0	180	4.0	10.0	170	2.0	1.0	370	8.0	2-8	1950.0	7.0	2-10	4060	14	2=>8	6160.0	19.0	2=>10	11430	40.0	1-2-10	9270	33.0	2=>10=>1	78780	218.0		2581161103794.0	2581111036794.0	2581101136947.0		
200948010102	ダ	右	1400	晴	良	11:20	サラ3歳2組		2009-1-1	20	名古屋	2			4	2080	6	4.0	410	6.0	5.0	460	7.0	6.0	240	3.0	4-5	1630.0	5.0	4-5	8860	19	4=>5	5530.0	15.0	4=>5	14500	32.0	4-5-6	8530	24.0	4=>5=>6	59440	126.0		568111291024173.0	586129114210137.0	856941112210137.0		
200948010103	ダ	右	1400	晴	良	11:50	サラC16組		2009-1-1	20	名古屋	2			9	250	2	9.0	130	2.0	8.0	290	4.0	10.0	1,160	7.0	6-7	200.0	1.0	8-9	280	1	7=>6	300.0	1.0	9=>8	400	1.0	8-9-10	8230	20.0	9=>8=>10	13080	39.0		681197102154312.0	689117210514312.0	689711102541312.0		
200948010104	ダ	右	1400	晴	良	12:20	サラC15組		2009-1-1	20	名古屋	2			11	160	1	11.0	110	1.0	2.0	140	3.0	9.0	160	4.0	2-8	390.0	2.0	2-11	460	1	8=>2	710.0	3.0	11=>2	780	2.0	2-9-11	1190	8.0	11=>2=>9	3110	7.0		9,11,2,7,5,8,3,10,(1,6,4),12	911278106354112.0	911276108341512.0		
200948010105	ダ	右	800	晴	良	12:50	サラC14組		2009-1-1	20	名古屋	2	牝		2	760	4	2.0	330	6.0	1.0	140	2.0	11.0	120	1.0	1-2	1910.0	8.0	1-2	1820	7	2=>1	3670.0	12.0	2=>1	5590	19.0	1-2-11	870	1.0	2=>1=>11	13680	41.0				211481510127936.0		
200948010106	ダ	右	1400	晴	良	13:20	サラC13組		2009-1-1	20	名古屋	2			1	120	1	1.0	120	2.0	8.0	760	7.0	6.0	270	3.0	1-7	1640.0	4.0	1-8	1690	5	1=>7	1500.0	5.0	1=>8	2620	6.0	1-6-8	6210	15.0	1=>8=>6	18850	45.0		1610581132974.0	1610851123947.0	1610851129347.0		
200948010107	ダ	右	1400	晴	良	13:50	サラC12組		2009-1-1	20	名古屋	2			6	490	3	6.0	130	2.0	5.0	330	5.0	1.0	1,880	10.0	5-6	3110.0	7.0	5-6	5180	12	6=>5	8390.0	18.0	6=>5	9500	19.0	1-5-6	58160	68.0	6=>5=>1	816370	389.0		2910611175438.0	2910116157438.0	6214510793118.0		
200948010108	ダ	右	1400	晴	良	14:20	頑張れ!水無月かれん		2009-1-1	20	名古屋	2			6	180	1	6.0	130	2.0	2.0	120	1.0	9.0	160	4.0	2-6	310.0	1.0	2-6	380	2	6=>2	420.0	1.0	6=>2	470	1.0	2-6-9	1880	5.0	6=>2=>9	2930	8.0		6910273814511.0	6910723184511.0	6972138104511.0		
200948010109	ダ	右	1600	晴	良	14:50	サラB4組		2009-1-1	20	名古屋	2			5	400	3	5.0	140	2.0	6.0	200	3.0	8.0	210	5.0	5-5	990.0	3.0	5-6	850	3	5=>5	840.0	3.0	5=>6	1490	5.0	5-6-8	2050	8.0	5=>6=>8	8900	29.0		68523141110912	68512341110129.0	6,8,5,2,1,3,11,4,(10,12,9)		
200948010110	ダ	右	1400	曇	良	15:55	新春盃	G	2009-1-1	20	名古屋	2			2	310	2	2.0	130	3.0	8.0	110	1.0	4.0	120	2.0	2-6	670.0	3.0	2-8	700	2	2=>6	1500.0	6.0	2=>8	1370	5.0	2-4-8	590	1.0	2=>8=>4	3620	8.0		124356789111012.0	124658739111012.0	248615971011312.0		
