	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200943010705	ダ	左	1600	曇	良	12:40	C1三　アイ		2009-1-7	10	船橋	2			4	1420	5	4	650	5	1	370	4	1-4	6700	12	1-4	710	12	4-6	220	3	1-6	230	4	4=>1	15350	23	1-4-6	1110	6	4=>1=>6	34960	61	(2,5,6),7,1-4,3	2,5,6,7,1-4,3	2561743	(2,5),6,1,(4,7),3	12.0 - 11.7 - 12.8 - 12.9 - 12.9 - 12.9 - 13.3 - 13.0	12.0 - 23.7 - 36.5 - 49.4 - 62.3 - 75.2 - 88.5 - 101.5 (36.5-39.2)									
200943010706	ダ	左	1600	曇	良	13:15	ブルーバードカップ 		2009-1-7	10	船橋	2	201万円以上		6	230	2	6	130	1	1	240	3	1-6	530	2	1-6	220	3	6-7	350	4	1-7	550	8	6=>1	900	4	1-6-7	1310	4	6=>1=>7	3580	10	(3,4,7),5,(1,2,6)	(3,4),7,5,6,1,2	4736512	(7,6),4,5,1,2,3	12.3 - 11.9 - 12.3 - 13.3 - 12.9 - 13.3 - 13.0 - 13.5	12.3 - 24.2 - 36.5 - 49.8 - 62.7 - 76.0 - 89.0 - 102.5 (36.5-39.8)									
200943010707	ダ	左	1200	曇	良	13:50	C2三　アイ		2009-1-7	10	船橋	2			6	570	3	6	130	3	4	120	2	4-6	1040	4	4-6	290	4	1-6	230	3	1-4	180	1	6=>4	2140	11	1-4-6	750	3	6=>4=>1	5790	19		1634117109528	1,6,3,9,(4,11),7,10,5,2,8	1,6,3,9,4,11,(7,10),(2,5),8	12.4 - 11.7 - 12.2 - 12.4 - 12.2 - 13.0	12.4 - 24.1 - 36.3 - 48.7 - 60.9 - 73.9 (36.3-37.6)	1.0	110.0	1.0	4-6	960.0	4.0	6=>4	2830.0	13.0
200943010708	ダ	左	1600	曇	良	14:25	C2三　アイ		2009-1-7	10	船橋	2			4	280	1	4	140	2	3	150	3	3-4	780	2	3-4	460	5	4-12	830	7	3-12	1,150	12	4=>3	1700	6	3-4-12	3260	9	4=>3=>12	13020	36	7,12,3,6,1,(8,9),(2,10),4,5,11	7,12,3,(1,6),9,8,4,(2,10),5,11	4,12,3,7,(1,6),8,9,2,10,5,11	(4,12),3,7,8,6,1,10,2,5,9,11	12.6 - 12.5 - 13.7 - 13.2 - 12.5 - 12.3 - 12.2 - 13.3	12.6 - 25.1 - 38.8 - 52.0 - 64.5 - 76.8 - 89.0 - 102.3 (38.8-37.8)	12.0	310.0	5.0	3-4	940.0	5.0	4=>3	1450.0	7.0
200943010709	ダ	左	1600	曇	良	15:00	鯛ノ浦特別 		2009-1-7	10	船橋	2			7	210	1	7	120	2	4	190	5	4-7	820	4	4-7	320	5	2-7	240	2	2-4	560	10	7=>4	1330	5	2-4-7	1010	5	7=>4=>2	4440	16	6,7,(2,4),(1,8),5,3	6,7,4,2,(1,8),5,3	6,7,4,2,(1,8),(3,5)	(6,7),4,2,1,8,3,5	12.5 - 12.4 - 13.1 - 12.6 - 12.2 - 12.1 - 12.7 - 13.1	12.5 - 24.9 - 38.0 - 50.6 - 62.8 - 74.9 - 87.6 - 100.7 (38.0-37.9)	2.0	170.0	4.0						
200943010710	ダ	左	1000	曇	良	15:35	船橋記念	G	2009-1-7	10	船橋	2	(別定)		10	120	1	10	110	1	2	170	3	2-10	440	2	2-10	220	2	4-10	280	4	2-4	710	10	10=>2	540	2	2-4-10	1280	5	10=>2=>4	2930	8			10,3,5,6,(2,9),4,(1,8),7	10,3,2,6,9,(4,1),5,8,7	11.5 - 11.0 - 11.5 - 11.6 - 12.9	11.5 - 22.5 - 34.0 - 45.6 - 58.5 (34.0-36.0)	4.0	200.0	5.0	2-8	450.0	2.0	8=>2	510.0	2.0
200943010711	ダ	左	1500	曇	良	16:10	ヒヨドリ賞		2009-1-7	10	船橋	2	(別定)		9	1610	7	9	330	6	6	170	1	6-9	2040	7	6-9	660	5	8-9	4,500	38	6-8	730	6	9=>6	8410	31	6-8-9	8670	27	9=>6=>8	93890	264	(2,3,4,7),(5,6),12,(1,8,10),11,9	2,3,4,7,(5,6),12,8,1,10,11,9	2,(3,4),7,(5,6),(8,12),10,1,(11,9)	2,(4,7),(5,3),(8,6,12,10),1,9,11	6.5 - 11.7 - 12.5 - 12.8 - 12.4 - 12.7 - 13.2 - 13.1	6.5 - 18.2 - 30.7 - 43.5 - 55.9 - 68.6 - 81.8 - 94.9 (30.7-39.0)	8.0	520.0	8.0	5-7	1680.0	6.0	7=>5	5960.0	27.0
200943010801	ダ	左	1500	晴	良	10:30	3歳ア　イ		2009-1-8	10	船橋	3	36万円未満		3	110	1	3	110	1	5	120	2	3-5	320	1	3-5	170	1	3-4	470	6	4-5	690	12	3=>5	400	1	3-4-5	1180	4	3=>5=>4	2710	5	(1,3),4,2,6,7,8,5	13246785	13452768	31542687	6.5 - 12.6 - 13.2 - 13.9 - 13.6 - 13.0 - 13.0 - 13.1	6.5 - 19.1 - 32.3 - 46.2 - 59.8 - 72.8 - 85.8 - 98.9 (32.3-39.1)	4.0	270.0	6.0						
200943010802	ダ	左	1200	晴	良	11:00	3歳ア　イ		2009-1-8	10	船橋	3	36万円未満		5	950	4	5	230	4	8	130	2	5-8	1810	6	5-8	470	7	5-6	300	4	6-8	290	3	5=>8	4260	14	5-6-8	920	3	5=>8=>6	13200	38		561092118412317	5,6,(11,10),8,12,9,2,4,1,3,7	561011812924317	12.4 - 12.1 - 12.2 - 12.5 - 12.6 - 13.0	12.4 - 24.5 - 36.7 - 49.2 - 61.8 - 74.8 (36.7-38.1)	6.0	140.0	3.0	5-6	430.0	2.0	5=>6	630.0	2.0
200943010803	ダ	左	1500	晴	良	11:30	4歳イ		2009-1-8	10	船橋	3	85万円以上139万円未満		5	650	3	5	120	1	8	120	2	5-8	520	2	5-8	270	2	5-10	1,140	14	8-10	810	12	5=>8	1440	5	5-8-10	3890	12	5=>8=>10	18100	54	(8,10),4,9,5,2,3,1,7,6	81049523176	8,10,(4,5,9),2,1,3,7,6	8,10,4,(5,2),9,7,1,6,3	6.5 - 12.3 - 13.1 - 13.3 - 12.4 - 12.8 - 12.6 - 13.1	6.5 - 18.8 - 31.9 - 45.2 - 57.6 - 70.4 - 83.0 - 96.1 (31.9-38.5)	10.0	560.0	7.0	5-7	420.0	2.0	5=>7	1330.0	6.0
200943010804	ダ	左	1500	晴	良	12:05	4歳ア		2009-1-8	10	船橋	3	85万円以上139万円未満		1	240	1	1	120	1	2	130	2	1-2	360	1	1-2	160	1	1-6	320	4	2-6	430	9	1=>2	670	1	1-2-6	1110	3	1=>2=>6	3690	9	938547261	935842716	(5,6),9,3,2,4,8,1,7	(5,6),2,3,1,4,(9,7,8)	6.7 - 11.6 - 12.4 - 12.9 - 12.8 - 13.3 - 13.1 - 13.5	6.7 - 18.3 - 30.7 - 43.6 - 56.4 - 69.7 - 82.8 - 96.3 (30.7-39.9)	6.0	150.0	3.0	1-2	400.0	1.0	1=>2	740.0	1.0
200943010805	ダ	左	1600	晴	良	12:40	初富特別 		2009-1-8	10	船橋	3			4	110	1	4	110	1	7	220	3	4-7	710	3	4-7	210	3	3-4	110	1	3-7	260	5	4=>7	740	4	3-4-7	280	1	4=>7=>3	1300	5	4,7,6,(2,3),5,1	4763251	4673125	4637152	12.6 - 12.1 - 12.2 - 12.2 - 12.8 - 12.8 - 13.1 - 13.3	12.6 - 24.7 - 36.9 - 49.1 - 61.9 - 74.7 - 87.8 - 101.1 (36.9-39.2)									
200943010806	ダ	左	1500	晴	良	13:15	C3二　ア		2009-1-8	10	船橋	3			7	930	4	7	180	4	3	120	1	3-7	500	2	3-7	200	2	2-7	590	9	2-3	270	3	7=>3	1590	6	2-3-7	1070	4	7=>3=>2	7900	28	39175264	39172546	3,9,7,1,2,(4,5),6	3,9,7,1,2,(4,5),6	6.9 - 12.5 - 13.1 - 13.2 - 12.8 - 12.8 - 13.0 - 13.2	6.9 - 19.4 - 32.5 - 45.7 - 58.5 - 71.3 - 84.3 - 97.5 (32.5-39.0)	2.0	150.0	3.0						
200943010807	ダ	左	1500	晴	良	13:50	C3二　イ		2009-1-8	10	船橋	3			12	870	4	12	210	4	8	140	2	8-12	1860	6	8-12	670	8	7-12	3,250	27	7-8	1,520	13	12=>8	4920	18	7-8-12	20140	49	12=>8=>7	117330	249	478129310611512	4,7,1,8,2,9,(3,10),6,11,12,5	478921103116125	7,8,9,(4,2),3,1,10,11,12,6,5	6.7 - 12.4 - 12.3 - 12.7 - 12.6 - 12.6 - 13.0 - 14.0	6.7 - 19.1 - 31.4 - 44.1 - 56.7 - 69.3 - 82.3 - 96.3 (31.4-39.6)	7.0	420.0	7.0	6-8	1140.0	6.0	8=>6	3480.0	14.0
200943010808	ダ	左	1200	晴	良	14:25	C2四　アイ		2009-1-8	10	船橋	3			8	640	2	8	190	3	6	250	5	6-8	3580	11	6-8	1,170	16	8-10	430	5	6-10	780	11	8=>6	9440	21	6-8-10	6500	19	8=>6=>10	43440	118		356892411712110	3,(5,6),8,4,9,11,2,7,12,10,1	3,6,8,4,5,9,(11,7),10,2,1,12	12.5 - 11.7 - 11.9 - 12.1 - 12.7 - 13.4	12.5 - 24.2 - 36.1 - 48.2 - 60.9 - 74.3 (36.1-38.2)	10.0	160.0	2.0	5-6	4060.0	12.0	6=>5	5610.0	18.0
200943010809	ダ	左	1600	晴	良	15:00	平成盃 		2009-1-8	10	船橋	3			10	290	2	10	130	1	6	220	4	6-10	1620	6	6-10	430	4	7-10	1,070	12	6-7	2,260	27	10=>6	2270	7	6-7-10	6560	24	10=>6=>7	23190	67	5910842136117	5,9,10,8,4,(1,2),3,6,11,7	5,9,10,8,4,(1,3),(2,6),7,11	5,10,8,9,(1,6),4,3,(2,7),11	11.8 - 12.0 - 12.9 - 12.6 - 12.6 - 12.3 - 12.9 - 13.7	11.8 - 23.8 - 36.7 - 49.3 - 61.9 - 74.2 - 87.1 - 100.8 (36.7-38.9)	7.0	790.0	8.0	6-8	1240.0	7.0	8=>6	1690.0	7.0
200943010901	ダ	左	1000	雨	稍重	10:30	3歳イ　未出走		2009-1-9	10	船橋	4			2	680	4	2	200	4	6	140	1	2-6	1470	7	2-6	270	6	2-4	260	5	4-6	230	4	2=>6	2890	13	2-4-6	1490	7	2=>6=>4	10070	36			2,5,4,6,3-1	2,5,(4,6),3-1	12.2 - 11.2 - 11.7 - 12.7 - 13.2	12.2 - 23.4 - 35.1 - 47.8 - 61.0 (35.1-37.6)									
200943010902	ダ	左	1000	雨	稍重	11:00	3歳ア　未出走		2009-1-9	10	船橋	4			7	130	1	7	110	1	3	110	2	3-7	160	1	3-7	120	1	6-7	180	2	3-6	260	5	7=>3	240	1	3-6-7	210	1	7=>3=>6	640	1			3,7,1,6,2,5-4	3,7,1,6,5-2-4	12.0 - 11.6 - 11.8 - 12.4 - 12.5	12.0 - 23.6 - 35.4 - 47.8 - 60.3 (35.4-36.7)									
200943010903	ダ	左	1500	雨	稍重	11:30	4歳イ		2009-1-9	10	船橋	4	139万円以上		3	490	3	3	100	2	4	100	1	3-4	280	1	3-4	140	1	3-9	220	3	4-9	150	2	3=>4	910	3	3-4-9	350	1	3=>4=>9	2370	4	2,1,(3,4),8,6,9,11,7,5,10	2143698711510	4123698711510	4,1,3,(6,2,9),7,8,11,5,10	6.6 - 11.8 - 12.2 - 12.4 - 12.4 - 13.1 - 13.3 - 14.3	6.6 - 18.4 - 30.6 - 43.0 - 55.4 - 68.5 - 81.8 - 96.1 (30.6-40.7)	9.0	120.0	3.0	3-4	270.0	1.0	3=>4	910.0	3.0
200943010904	ダ	左	1500	雨	稍重	12:05	4歳ア		2009-1-9	10	船橋	4	139万円以上		11	550	3	11	180	3	7	320	5	7-11	3120	11	7-11	830	10	4-11	800	9	4-7	1,420	17	11=>7	4150	15	4-7-11	6350	20	11=>7=>4	38550	107	5117436829101	5117346892110	5,11,7,3,4,6,8,9-2,1,10	5,11,7,4,3,6,9,8,1,2-10	6.6 - 11.7 - 12.1 - 12.2 - 12.9 - 12.9 - 13.5 - 13.5	6.6 - 18.3 - 30.4 - 42.6 - 55.5 - 68.4 - 81.9 - 95.4 (30.4-39.9)	4.0	270.0	4.0	6-8	2290.0	9.0	8=>6	5210.0	18.0
200943010905	ダ	左	1500	雨	稍重	12:40	C3一　イ		2009-1-9	10	船橋	4			7	210	1	7	150	2	9	420	7	7-9	2030	9	7-9	690	9	2-7	1,230	17	2-9	4,500	32	7=>9	2530	10	2-7-9	12190	34	7=>9=>2	32270	107	1271110693854	1276111039584	1,2,7,6,10,11,3,9,5,(8,4)	2,7,1,10,(6,9),5,3,11,4,8	6.7 - 12.2 - 12.9 - 12.8 - 12.5 - 12.4 - 12.9 - 13.7	6.7 - 18.9 - 31.8 - 44.6 - 57.1 - 69.5 - 82.4 - 96.1 (31.8-39.0)	2.0	550.0	8.0	6-7	700.0	4.0	6=>7	1050.0	4.0
200943010906	ダ	左	1500	雨	稍重	13:15	C3一　ア		2009-1-9	10	船橋	4			6	170	1	6	130	1	1	1,110	10	1-6	11020	24	1-6	1,360	15	4-6	1,710	18	1-4	14,900	45	6=>1	12140	35	1-4-6	43340	69	6=>1=>4	144930	289	(3,9),(6,7),(8,10),5,4,1,2	36978105412	6,(3,10),9,8,7,5,2,4,1	6,(3,9,10),(8,2),7,5,1,4	6.3 - 11.9 - 12.1 - 12.7 - 12.6 - 12.9 - 13.5 - 13.1	6.3 - 18.2 - 30.3 - 43.0 - 55.6 - 68.5 - 82.0 - 95.1 (30.3-39.5)	4.0	750.0	9.0	1-6	6460.0	14.0	6=>1	8410.0	22.0
200943010907	ダ	左	1200	雨	稍重	13:50	C2五　アイ		2009-1-9	10	船橋	4			6	240	1	6	130	1	3	210	4	3-6	690	2	3-6	370	3	6-7	230	2	3-7	700	8	6=>3	1050	3	3-6-7	1310	3	6=>3=>7	3940	5		1,3,(8,9),11,6,5,4,7,10,2	1,3,8,(9,11),6,7,10,5,4,2	1368711910542	12.2 - 11.3 - 11.5 - 12.5 - 12.5 - 13.6	12.2 - 23.5 - 35.0 - 47.5 - 60.0 - 73.6 (35.0-38.6)	7.0	160.0	3.0	3-6	650.0	3.0	6=>3	750.0	2.0
200943010908	ダ	左	1500	雨	稍重	14:25	水仙賞		2009-1-9	10	船橋	4			9	230	1	9	120	1	5	220	4	5-9	2070	7	5-9	690	9	1-9	190	1	1-5	650	8	9=>5	2510	8	1-5-9	2060	5	9=>5=>1	12620	27	11,(5,9),10,6,(4,7),1,2,8,3	1159106471238	11,5,9,10,7,6,(4,1),2,3,8	(11,5,9),1,(6,10),7,4,2,3,8	6.9 - 12.1 - 13.1 - 12.9 - 12.0 - 12.6 - 12.6 - 13.4	6.9 - 19.0 - 32.1 - 45.0 - 57.0 - 69.6 - 82.2 - 95.6 (32.1-38.6)	1.0	150.0	2.0	5-7	1630.0	7.0	7=>5	2740.0	11.0
200943010909	ダ	左	1600	雨	稍重	15:00	花信風特別 		2009-1-9	10	船橋	4			2	480	2	2	150	2	6	410	5	2-6	6090	11	2-6	1,640	14	2-4	460	4	4-6	1,640	14	2=>6	11790	23	2-4-6	7050	17	2=>6=>4	55440	102	3,7,5,(8,9),2,4,6,1	3,7,5,8,(2,9),4,6,1	7,3,5,(8,9),2,4,6,1	758924631	11.9 - 11.9 - 12.3 - 12.7 - 13.1 - 13.2 - 13.5 - 13.2	11.9 - 23.8 - 36.1 - 48.8 - 61.9 - 75.1 - 88.6 - 101.8 (36.1-39.9)	4.0	220.0	3.0	2-6	5660.0	11.0	2=>6	9060.0	15.0
200943010910	ダ	左	1000	雨	稍重	15:35	風波スプリント 		2009-1-9	10	船橋	4			4	350	2	4	110	1	7	180	5	4-7	870	4	4-7	270	3	1-4	180	1	1-7	260	2	4=>7	1750	7	1-4-7	530	1	4=>7=>1	4310	11			1,2,6,7,10,4,11,9,(5,8),3	1,2,7,6,11,(4,10),9,8,5,3	11.5 - 10.8 - 11.3 - 12.9 - 12.9	11.5 - 22.3 - 33.6 - 46.5 - 59.4 (33.6-37.1)	1.0	110.0	2.0	4-6	700.0	3.0	4=>6	1670.0	6.0
200943010911	ダ	左	1500	雨	稍重	16:10	C2五　アイ		2009-1-9	10	船橋	4			10	130	1	10	100	1	7	250	6	7-10	1460	5	7-10	420	7	1-10	140	1	1-7	650	10	10=>7	1470	6	1-7-10	930	4	10=>7=>1	4580	16	1610234798	1610234798	1103624798	1013642798	6.7 - 12.1 - 12.8 - 12.7 - 12.0 - 12.4 - 12.8 - 13.9	6.7 - 18.8 - 31.6 - 44.3 - 56.3 - 68.7 - 81.5 - 95.4 (31.6-39.1)	1.0	130.0	2.0	7-8	930.0	4.0	8=>7	1600.0	6.0
200943020201	ダ	左	1200	晴	重	11:00	4歳		2009-2-2	11	船橋	1	31万円未満		6	150	1	6	100	1	8	190	4	6-8	1980	6	6-8	340	4	1-6	120	1	1-8	410	6	6=>8	2170	5	1-6-8	760	3	6=>8=>1	3980	11		1,7,5,6,10,2,3,(4,8),9	1,5,7,6-3,(2,10),8,4,9	15673810249	12.2 - 11.2 - 11.9 - 12.6 - 13.2 - 13.4	12.2 - 23.4 - 35.3 - 47.9 - 61.1 - 74.5 (35.3-39.2)	1.0	100.0	2.0	6-7	610.0	2.0	6=>7	680.0	3.0
200943020202	ダ	左	1600	晴	重	11:30	3歳		2009-2-2	11	船橋	1	150万円以上191万円未満		6	110	1	6	100	1	4	160	4	4-6	370	2	4-6	210	3	5-6	200	2	4-5	720	10	6=>4	500	2	4-5-6	1100	4	6=>4=>5	2400	6	6,3,7,4,(1,2),5,8	6,(3,7),(1,2,4),5,8	67341258	67431528	12.3 - 12.1 - 12.7 - 13.1 - 13.1 - 13.1 - 13.2 - 13.8	12.3 - 24.4 - 37.1 - 50.2 - 63.3 - 76.4 - 89.6 - 103.4 (37.1-40.1)	5.0	160.0	3.0						
200943020203	ダ	左	1200	晴	重	12:00	C3四　ア		2009-2-2	11	船橋	1			2	320	2	2	180	4	9	410	6	2-9	3260	10	2-9	1,060	11	2-5	2,150	26	5-9	2,950	27	2=>9	5360	17	2-5-9	29680	65	2=>9=>5	147240	291		2,4,5,1,3,6,(8,9),7	2,(4,5),3,8,1,9,6,7	2,5,4,3,8,(1,6,9),7	12.5 - 11.8 - 12.0 - 12.4 - 12.9 - 14.4	12.5 - 24.3 - 36.3 - 48.7 - 61.6 - 76.0 (36.3-39.7)	5.0	780.0	9.0	2-8	730.0	3.0	2=>8	1590.0	8.0
200943020204	ダ	左	1200	晴	重	12:35	C3四　イ		2009-2-2	11	船橋	1			4	140	1	4	100	1	6	120	2	4-6	220	1	4-6	140	1	4-8	420	4	6-8	790	10	4=>6	340	1	4-6-8	900	3	4=>6=>8	1850	3		4,(6,8),(1,10),(3,9),2,5,7	4,(8,10),(6,9),1,3,7,2,5	41089671235	12.6 - 12.0 - 12.3 - 12.6 - 12.8 - 13.5	12.6 - 24.6 - 36.9 - 49.5 - 62.3 - 75.8 (36.9-38.9)	8.0	190.0	5.0	4-6	250.0	1.0	4=>6	350.0	1.0
200943020205	ダ	左	1200	晴	重	13:10	C2三　アイ		2009-2-2	11	船橋	1			8	690	2	8	170	4	2	110	1	2-8	520	2	2-8	210	1	4-8	760	10	2-4	300	3	8=>2	1360	4	2-4-8	1150	2	8=>2=>4	6540	17		2,(8,12),(10,11),5,4,(1,3),7,9,6	12,8,2,11,4,(5,7),10,1,3,9,6	(12,8),2,11,4,7,1,5,10,3,9,6	12.4 - 11.2 - 12.5 - 12.3 - 12.2 - 13.5	12.4 - 23.6 - 36.1 - 48.4 - 60.6 - 74.1 (36.1-38.0)	4.0	150.0	2.0	2-6	270.0	1.0	6=>2	890.0	4.0
