	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201336010201	ダ	右	1300	小雪	不良	10:20	3歳C1二組		2013-1-2	11	水沢	4			6.0	280.0	2.0	6.0	160	2.0	5.0	180	4.0	2.0	480	6.0	5-6	400.0	2.0	5-6	180	2.0	2-6	590	8.0	2-5	680	10.0	6=>5	750.0	2.0	2-5-6	1710.0	6.0	6=>5=>2	4010.0	12.0	(1,2,6,8),5,4,3	1268543	(1,2,6),5,8,4,3	(1,2,6),5,4,(8,3)					
201336010301	ダ	右	1300	小雪	不良	10:20	3歳C2四組		2013-1-3	11	水沢	5			5.0	220.0	1.0	5.0	130	3.0	1.0	100	1.0	4.0	120	2.0	1-5	220.0	1.0	1-5	110	1.0	4-5	190	2.0	1-4	290	5.0	5=>1	520.0	2.0	1-4-5	240.0	1.0	5=>1=>4	990.0	3.0	5,(4,9,8),(6,7),1,3,2	549867132	541897623	541879632			1-5	230.0	1.0
201336010302	ダ	右	1300	小雪	不良	10:50	3歳C2三組		2013-1-3	11	水沢	5			4.0	120.0	1.0	4.0	110	1.0	8.0	130	3.0	2.0	130	4.0	4-8	180.0	1.0	4-8	110	1.0	2-4	180	2.0	2-8	210	3.0	4=>8	420.0	1.0	2-4-8	380.0	1.0	4=>8=>2	1110.0	1.0	48572613	48527613	4,(8,7),(2,5),6,3,1	48725361					
201336010303	ダ	右	1300	小雪	不良	11:20	3歳C2二組		2013-1-3	11	水沢	5			7.0	440.0	3.0	7.0	120	2.0	1.0	110	1.0	5.0	160	4.0	1-7	500.0	1.0	1-7	170	1.0	5-7	360	7.0	1-5	200	2.0	7=>1	1100.0	4.0	1-5-7	720.0	2.0	7=>1=>5	3610.0	10.0	45718236	45718263	(4,5),7,(1,8),2,3,6	(4,5),7,1,8,2,3,6					
201336010304	ダ	右	1300	小雪	不良	11:50	3歳C2一組		2013-1-3	11	水沢	5			3.0	100.0	1.0	3.0	110	1.0	1.0	120	2.0	7.0	140	4.0	1-3	280.0	1.0	1-3	170	2.0	3-7	230	3.0	1-7	360	5.0	3=>1	360.0	1.0	1-3-7	600.0	2.0	3=>1=>7	1550.0	3.0	(3,4,6),(7,8),5,1,2	34678152	38741652	3,8,7,1,(6,4,5),2					
201336010305	ダ	右	1400	小雪	不良	12:20	唐梅館絵巻レースC1		2013-1-3	11	水沢	5			7.0	210.0	2.0	7.0	360	2.0	8.0	1,440	5.0	3.0	1,590	6.0	7-8	1310.0	5.0	7-8	350	2.0	3-7	520	8.0	3-8	1,110	12.0	7=>8	1760.0	7.0	3-7-8	2640.0	9.0	7=>8=>3	9180.0	31.0	(1,4),7,2,6,8,3,5	14273685	14723685	1,7,2,4,3,6,8-5					
201336010306	ダ	右	1400	小雪	不良	12:55	南部杜氏レースC1六		2013-1-3	11	水沢	5			2.0	150.0	1.0	2.0	130	1.0	6.0	170	4.0	3.0	210	5.0	2-6	460.0	2.0	2-6	240	2.0	2-3	500	6.0	3-6	630	9.0	2=>6	820.0	2.0	2-3-6	1250.0	5.0	2=>6=>3	3800.0	9.0	837261495	837261495	(8,3),2,7,6,(1,4),(9,5)	(8,3,2),6,7,4,1,5,9			2-6	700.0	2.0
201336010307	ダ	右	1300	晴	不良	13:30	長者伝説の里かねがさ		2013-1-3	11	水沢	5			6.0	230.0	2.0	6.0	130	3.0	9.0	110	1.0	7.0	250	5.0	6-9	440.0	1.0	6-9	180	1.0	6-7	470	6.0	7-9	320	4.0	6=>9	1220.0	4.0	6-7-9	800.0	1.0	6=>9=>7	4140.0	11.0	6849711052	6489711052	6,(8,9),4,7,1,10,2,5	6984711025			6-8	380.0	2.0
201336010308	ダ	右	1600	小雪	不良	14:05	南部せんべいレースC		2013-1-3	11	水沢	5			8.0	170.0	1.0	8.0	100	1.0	7.0	100	3.0	5.0	100	2.0	7-8	290.0	1.0	7-8	160	1.0	5-8	170	2.0	5-7	330	5.0	8=>7	370.0	1.0	5-7-8	390.0	1.0	8=>7=>5	1010.0	1.0	78631542	78631542	78631524	7,8,3,1,6,5,2-4					
201336010309	ダ	右	1600	小雪	不良	14:40	十和田市現代美術館レ		2013-1-3	11	水沢	5			7.0	2380.0	6.0	7.0	290	6.0	6.0	130	2.0	2.0	150	3.0	6-7	1070.0	5.0	6-7	510	8.0	2-7	810	14.0	2-6	240	2.0	7=>6	5730.0	20.0	2-6-7	1800.0	8.0	7=>6=>2	20460.0	69.0	6,8,4,5,(2,7),1,3	68457213	68745213	6,8,7,5,4,2,1-3					
