	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201355010201	ダ	右	1400	曇	重	10:45	C2ー10組		2013-1-2	17	佐賀	3	(馬齢)		5	150	1	5.0	110	1.0	3.0	130	2.0	3-5	280	1	3-5	140	1	1-5	170	3	1-3	300	4	5=>3	360	1	1-3-5	370	1	5=>3=>1	870	1	256341.0	253641.0	253641.0	531264.0								
201355010202	ダ	右	1300	曇	重	11:15	3歳ー8組		2013-1-2	17	佐賀	3	(馬齢)		2	120	1	2.0	100	1.0	5.0	120	2.0	2-5	100	1	2-5	100	1	1-2	290	6	1-5	350	7	2=>5	140	1	1-2-5	420	3	2=>5=>1	640	3	2564317.0	2546137.0	2564137.0	2563147.0								
201355010203	ダ	右	1300	曇	重	11:45	3歳ー9組		2013-1-2	17	佐賀	3	(馬齢)		6	150	1	6.0	100	1.0	4.0	120	2.0	4-6	260	1	4-6	140	2	5-6	120	1	4-5	190	3	6=>4	340	1	4-5-6	190	1	6=>4=>5	630	1	64781523.0	67485123.0	64758123.0	64581273.0			5.0	120.0	2.0			
201355010204	ダ	右	1300	曇	重	12:20	3歳ー6組		2013-1-2	17	佐賀	3	(馬齢)		7	380	2	7.0	100	1.0	4.0	110	2.0	4-7	400	1	4-7	150	1	3-7	320	3	3-4	340	5	7=>4	650	1	3-4-7	690	2	7=>4=>3	2470	4	386715249.0	386715294.0	378651249.0	738651429.0			3.0	130.0	3.0	4-7	300.0	1.0
201355010205	ダ	右	1400	曇	重	13:00	3歳ー4組		2013-1-2	17	佐賀	3	(馬齢)		5	270	2	5.0	140	1.0	3.0	240	5.0	3-5	1550	6	3-5	600	7	4-5	1,300	13	3-4	3,250	23	5=>3	2060	8	3-4-5	12030	23	5=>3=>4	35370	81	853427169.0	853427169.0	583471629.0	534871269.0			4.0	420.0	7.0	3-5	1810.0	6.0
201355010206	ダ	右	1400	曇	重	13:35	C2ー13組		2013-1-2	17	佐賀	3	(馬齢)		2	130	1	2.0	110	2.0	6.0	220	3.0	2-6	500	2	2-6	210	2	1-2	350	4	1-6	740	11	2=>6	710	3	1-2-6	1710	7	2=>6=>1	4070	14	26714538.0	26714583.0	26417538.0	26145738.0			1.0	300.0	5.0			
201355010207	ダ	右	1400	曇	重	14:10	C2ー7組		2013-1-2	17	佐賀	3	(馬齢)		5	130	1	5.0	100	1.0	2.0	190	3.0	2-5	860	5	2-5	690	6	3-5	360	2	2-3	1,130	9	5=>2	1200	6	2-3-5	1190	6	5=>2=>3	2620	13	23581476.0	23581467.0	23518647.0	52318647.0			3.0	200.0	4.0			
201355010208	ダ	右	1400	曇	重	14:45	3歳ー2組		2013-1-2	17	佐賀	3	(馬齢)		7	240	2	7.0	160	3.0	5.0	110	1.0	5-7	370	1	5-7	170	1	7-10	340	3	5-10	480	8	7=>5	580	1	5-7-10	970	3	7=>5=>10	3190	7	78510923461.0	78510692431.0	75108692341.0	75106932418.0			10.0	200.0	4.0	5-7	410.0	2.0
201355010209	ダ	右	1400	曇	重	15:20	迎春賞		2013-1-2	17	佐賀	3	(馬齢)		8	100	1	8.0	100	1.0	9.0	100	2.0	8-9	200	1	8-9	120	1	4-8	270	3	4-9	430	6	8=>9	200	1	4-8-9	410	2	8=>9=>4	700	3	98321745.0	98371245.0	98273451.0	89427315.0			4.0	150.0	4.0	8-8	140.0	1.0
201355010210	ダ	右	1750	曇	重	16:00	新春特別 		2013-1-2	17	佐賀	3	(別定)		3	190	1	3.0	100	2.0	9.0	190	4.0	3-9	1350	5	3-9	230	3	1-3	130	1	1-9	250	4	3=>9	1860	7	1-3-9	660	2	3=>9=>1	4200	15	341759268.0	341759268.0	341976528.0	319476528.0			1.0	100.0	1.0	3-8	880.0	4.0
201355010301	ダ	右	1300	曇	重	10:45	3歳ー7組		2013-1-3	17	佐賀	4	(馬齢)		4	920	3	4.0	120	2.0	7.0	150	3.0	4-7	3120	10	4-7	450	7	2-4	390	6	2-7	940	10	4=>7	3780	10	2-4-7	2290	10	4=>7=>2	15370	40	87245613.0	87245163.0	8754261.0	7845261.0			2.0	210.0	5.0			
