	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201542010701	ダ	左	1400	晴	稍重	10:20	3歳二		2015-1-7	10	浦和	1	111万円以上200万円未満		9	180	1	9.0	110	1.0	3.0	120	2.0	11.0	750	9.0	3-7	510.0	2.0	3-9	510	2	3-9	300	3	9-11	1,880	21	3-11	700	7	7=>3	950.0	2.0	9=>3	1040	2	3-9-11	6830	23	9=>3=>11	14160	44	361752411101298	3,6,(1,2,5),7,4,11,10,12,9,8	113762519812104	(3,7),11,9,8,2,6,5,12,1,10,4	12.5 - 12.2 - 13.4 - 13.9 - 12.6 - 14.4 - 13.2	12.5 - 24.7 - 38.1 - 52.0 - 64.6 - 79.0 - 92.2 (38.1-40.2)
201542010702	ダ	左	1500	晴	稍重	10:50	C3　4歳ア		2015-1-7	10	浦和	1			1	150	1	1.0	110	1.0	3.0	160	3.0	8.0	330	6.0	1-3	530.0	2.0	1-3	470	1	1-3	220	1	1-8	580	8	3-8	940	14	1=>3	830.0	3.0	1=>3	730	2	1-3-8	2190	6	1=>3=>8	6040	16	1428793611510	1,4,(2,8),7,9,3,6,11,5,10	1,3,(4,8),(2,9),7,6,11,5,10	1382469115710	7.3 - 11.7 - 12.4 - 13.4 - 14.1 - 12.8 - 14.0 - 13.8	7.3 - 19.0 - 31.4 - 44.8 - 58.9 - 71.7 - 85.7 - 99.5 (31.4-40.6)
201542010703	ダ	左	1400	晴	稍重	11:20	C3十　11		2015-1-7	10	浦和	1			12	550	4	12.0	180	4.0	3.0	280	6.0	11.0	160	2.0	3-8	1660.0	9.0	3-12	5330	15	3-12	1,340	15	11-12	390	4	3-11	770	12	8=>3	3570.0	13.0	12=>3	8450	27	3-11-12	4770	19	12=>3=>11	31380	107	710122364511198	710122364511198	710123624115189	127326111045198	13.5 - 12.7 - 13.0 - 13.8 - 13.1 - 13.9 - 13.4	13.5 - 26.2 - 39.2 - 53.0 - 66.1 - 80.0 - 93.4 (39.2-40.4)
201542010704	ダ	左	1400	晴	稍重	11:50	C3十　11		2015-1-7	10	浦和	1			10	360	2	10.0	170	2.0	12.0	220	3.0	6.0	510	8.0	7-8	260.0	1.0	10-12	610	2	10-12	330	3	6-10	1,020	11	6-12	1,150	15	7=>8	560.0	2.0	10=>12	1150	3	6-10-12	3160	11	10=>12=>6	10840	27	261012173894511	2,6,10,12,1,7,3,8,9,(5,4),11	121062179835114	12,10,6,1,7,2,(8,9),3,11,5,4	12.8 - 12.2 - 13.3 - 13.6 - 12.8 - 13.6 - 13.2	12.8 - 25.0 - 38.3 - 51.9 - 64.7 - 78.3 - 91.5 (38.3-39.6)
201542010705	ダ	左	1400	晴	稍重	12:20	C3八　九		2015-1-7	10	浦和	1			12	380	2	12.0	180	5.0	7.0	140	1.0	3.0	150	2.0	6-8	730.0	2.0	7-12	1060	3	7-12	420	4	3-12	580	10	3-7	390	3	8=>6	1760.0	6.0	12=>7	1900	6	3-7-12	1950	6	12=>7=>3	10920	36	4,8,1,2,11,3,5,7,6,12,9-10	148275311961210	487123695121110	7,4,6,3,12,2,9,5,(8,11,10),1	12.6 - 11.5 - 13.0 - 14.0 - 13.9 - 13.9 - 14.0	12.6 - 24.1 - 37.1 - 51.1 - 65.0 - 78.9 - 92.9 (37.1-41.8)
201542010706	ダ	左	1400	晴	稍重	12:50	C3八　九		2015-1-7	10	浦和	1			12	1440	5	12.0	390	6.0	6.0	210	3.0	3.0	330	5.0	5-8	1180.0	6.0	6-12	1910	8	6-12	990	11	3-12	1,170	14	3-6	1,270	15	8=>5	1930.0	11.0	12=>6	3420	16	3-6-12	6700	24	12=>6=>3	52340	180	126104125387911	126101245387911	162101254391187	161210324591178	12.9 - 11.8 - 13.3 - 13.5 - 13.1 - 13.2 - 14.0	12.9 - 24.7 - 38.0 - 51.5 - 64.6 - 77.8 - 91.8 (38.0-40.3)
201542010707	ダ	左	1500	晴	良	13:20	若水特別 		2015-1-7	10	浦和	1	200万円以上		5	130	1	5.0	110	1.0	6.0	140	3.0	3.0	420	7.0	5-6	250.0	1.0	5-6	250	1	5-6	160	1	3-5	490	7	3-6	1,050	14	5=>6	370.0	1.0	5=>6	350	1	3-5-6	1690	7	5=>6=>3	3330	10	1248695710311	1426591087311	1465102391187	6511043112987	7.4 - 11.3 - 11.7 - 12.8 - 13.6 - 13.7 - 14.1 - 13.2	7.4 - 18.7 - 30.4 - 43.2 - 56.8 - 70.5 - 84.6 - 97.8 (30.4-41.0)
201542010708	ダ	左	1500	晴	良	13:55	C2四　五		2015-1-7	10	浦和	1			8	410	2	8.0	150	2.0	11.0	140	1.0	12.0	610	9.0	6-8	450.0	1.0	8-11	760	1	8-11	300	1	8-12	1,850	30	11-12	1,440	23	6=>8	1120.0	3.0	8=>11	1730	3	8-11-12	5450	20	8=>11=>12	17410	50	107311612198425	107311612189425	107113126819425	111012378614952	6.9 - 11.9 - 12.6 - 13.3 - 13.9 - 12.7 - 13.9 - 13.5	6.9 - 18.8 - 31.4 - 44.7 - 58.6 - 71.3 - 85.2 - 98.7 (31.4-40.1)
201542010709	ダ	左	1400	晴	良	14:30	C2四　五		2015-1-7	10	浦和	1			7	410	3	7.0	150	3.0	4.0	150	2.0	2.0	170	4.0	4-6	830.0	5.0	4-7	1130	5	4-7	400	5	2-7	300	3	2-4	460	7	6=>4	1420.0	7.0	7=>4	1770	9	2-4-7	1500	7	7=>4=>2	7960	29	21271119810645	21271911108465	21279110114865	2,7,12,1,9,4,10,8,11-5,6	12.3 - 12.2 - 12.6 - 13.6 - 12.4 - 13.9 - 13.2	12.3 - 24.5 - 37.1 - 50.7 - 63.1 - 77.0 - 90.2 (37.1-39.5)
201542010710	ダ	左	1400	晴	良	15:05	七草賞		2015-1-7	10	浦和	1			9	270	1	9.0	120	1.0	11.0	150	2.0	10.0	190	6.0	7-8	340.0	1.0	9-11	500	1	9-11	240	1	9-10	350	4	10-11	410	6	7=>8	730.0	2.0	9=>11	930	1	9-10-11	860	1	9=>11=>10	3730	2	4117910835621	4,11,7,9,10,3,8,6,5-2,1	11,9,4,10,7,6,3,8,5-1,2	1191064738152	12.9 - 12.5 - 13.0 - 13.1 - 12.3 - 13.0 - 13.0	12.9 - 25.4 - 38.4 - 51.5 - 63.8 - 76.8 - 89.8 (38.4-38.3)
201542010711	ダ	左	1400	晴	良	15:40	新春賞 		2015-1-7	10	浦和	1	(ハンデ)		6	3210	5	6.0	220	5.0	9.0	100	1.0	5.0	130	2.0	6-8	1220.0	4.0	6-9	1170	3	6-9	380	5	5-6	720	11	5-9	140	1	6=>8	5340.0	10.0	6=>9	6450	14	5-6-9	1140	4	6=>9=>5	21760	52	67911058243	6,7,9,1,5,10,(8,2)-3,4	6,(1,9),(7,10),5,2,8,3-4	69110578324	12.6 - 11.7 - 12.1 - 12.5 - 12.3 - 13.3 - 13.5	12.6 - 24.3 - 36.4 - 48.9 - 61.2 - 74.5 - 88.0 (36.4-39.1)
201542010801	ダ	左	1400	晴	良	10:20	3歳三　四		2015-1-8	10	浦和	2	61万円以上111万円未満		6	470	3	6.0	170	3.0	1.0	300	5.0	7.0	160	2.0	1-6	1150.0	5.0	1-6	1840	7	1-6	540	5	6-7	560	7	1-7	620	9	6=>1	1990.0	9.0	6=>1	3510	14	1-6-7	3350	13	6=>1=>7	17660	70	711169103245	7,11,1,6,(2,9),3,10,4,5	7,(11,6),1,9,2,10,4,3,5	716119210453	12.5 - 12.7 - 13.5 - 13.8 - 13.0 - 14.3 - 13.9	12.5 - 25.2 - 38.7 - 52.5 - 65.5 - 79.8 - 93.7 (38.7-41.2)
201542010802	ダ	左	1400	晴	良	10:50	3歳三　四		2015-1-8	10	浦和	2	61万円以上111万円未満		4	1680	5	4.0	190	5.0	7.0	120	1.0	3.0	130	2.0	4-6	1210.0	6.0	4-7	1760	6	4-7	510	6	3-4	570	7	3-7	180	1	4=>6	4220.0	16.0	4=>7	4730	16	3-4-7	1220	3	4=>7=>3	13300	37	811926741051231	811927641035121	811927436101251	478391125612101	12.2 - 11.8 - 13.1 - 14.2 - 14.5 - 14.3 - 14.0	12.2 - 24.0 - 37.1 - 51.3 - 65.8 - 80.1 - 94.1 (37.1-42.8)
201542010803	ダ	左	1400	晴	良	11:20	C3　4歳イ		2015-1-8	10	浦和	2			6	15640	11	6.0	1,290	11.0	10.0	130	1.0	11.0	150	3.0	5-7	560.0	2.0	6-10	17190	32	6-10	4,260	34	6-11	4,320	35	10-11	230	1	5=>7	940.0	3.0	6=>10	54350	74	6-10-11	11150	33	6=>10=>11	235360	406	4,5,9,8,3,11,7,1,12,10,6-2	4,5,9,3,11,8,7,1,6,12,10-2	4,11,7,5,3,6,(8,9),1,12,10=2	117641831012592	12.6 - 11.9 - 13.0 - 13.9 - 13.3 - 14.2 - 14.0	12.6 - 24.5 - 37.5 - 51.4 - 64.7 - 78.9 - 92.9 (37.5-41.5)
201542010804	ダ	左	1400	晴	良	11:50	C3六　七		2015-1-8	10	浦和	2			8	460	3	8.0	230	3.0	10.0	1,550	11.0	1.0	270	4.0	7-8	3360.0	11.0	8-10	16170	26	8-10	3,540	30	1-8	710	8	1-10	4,970	35	7=>8	3150.0	12.0	8=>10	24980	41	1-8-10	31390	67	8=>10=>1	192120	330	(2,5),7,8,6,(11,10),9,4,3,1	5,2,7,8,6,10,11-9,4,1,3	5,8,2,7,10,6,11,9,4,1-3	8,5,10,7,6,2,9,1,11,4-3	12.5 - 11.2 - 12.8 - 13.8 - 13.8 - 13.7 - 13.8	12.5 - 23.7 - 36.5 - 50.3 - 64.1 - 77.8 - 91.6 (36.5-41.3)
201542010805	ダ	左	1500	晴	良	12:20	C3六　七		2015-1-8	10	浦和	2			7	860	4	7.0	230	5.0	8.0	150	2.0	2.0	180	3.0	6-7	780.0	3.0	7-8	1470	5	7-8	550	6	2-7	700	9	2-8	370	3	6=>7	1670.0	5.0	7=>8	3110	13	2-7-8	2240	7	7=>8=>2	17410	63	1429835117610	1,4,3,(2,9),8,11,5,7,6,10	1,4,9,3,8,2,7,(5,11),6,10	1,4,8,3,2,(9,7),5,11,6,10	7.5 - 11.9 - 12.9 - 13.4 - 13.9 - 13.1 - 14.2 - 13.1	7.5 - 19.4 - 32.3 - 45.7 - 59.6 - 72.7 - 86.9 - 100.0 (32.3-40.4)
201542010806	ダ	左	1500	晴	良	12:50	C3二		2015-1-8	10	浦和	2			1	440	2	1.0	190	4.0	10.0	220	6.0	4.0	180	3.0	1-7	1320.0	8.0	1-10	1440	7	1-10	670	11	1-4	400	2	4-10	520	5	1=>7	1560.0	6.0	1=>10	2910	14	1-4-10	1590	2	1=>10=>4	10940	14	136210411812579	136210411812759	110264312115789	110246311125879	7.1 - 12.2 - 12.7 - 13.1 - 13.4 - 12.8 - 14.1 - 13.9	7.1 - 19.3 - 32.0 - 45.1 - 58.5 - 71.3 - 85.4 - 99.3 (32.0-40.8)
