	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201846032501	ダ	右	1400	晴	稍重	11:10	3歳B　3		2018-3-25	21	金沢	1	(定量)		2.0	1530.0	5.0	2.0	330	5.0	11.0	280	4.0	6.0	150.0	2.0	2-8	5000.0	14.0	2-11	11730.0	30.0	2-11	2,090	25.0	2-6	450	4.0	6-11	830	10.0	2=>8	14450.0	27.0	2=>11	13690.0	39.0	2-6-11	5620.0	19.0	2=>11=>6	43980.0	141.0	2,11,3,(1,7),(5,6),4,10,8	2,11,(3,6),1,(5,7),4-10,8	2,11,6,3,5,1,7,4,(10,8)	2,11,6,3,(1,5),7,4,10,8		
201846032502	ダ	右	1400	晴	稍重	11:45	3歳B　2		2018-3-25	21	金沢	1	(定量)		3.0	1590.0	6.0	3.0	250	6.0	6.0	100	1.0	10.0	160.0	3.0	3-6	3970.0	11.0	3-6	2470.0	10.0	3-6	720	10.0	3-10	920	12.0	6-10	330	3.0	3=>6	11610.0	30.0	3=>6	6460.0	23.0	3-6-10	3290.0	12.0	3=>6=>10	31530.0	93.0	3,10,6,2,11,4,(5,8),(7,9),1	3106211847951	3,10,6,9,(8,7),(2,11),4,5,1	3-10,6,8,7,2,11,4,9,5,1		
201846032503	ダ	右	1500	晴	稍重	12:20	C29		2018-3-25	21	金沢	1	(定量)		2.0	190.0	1.0	2.0	120	2.0	8.0	230	4.0	6.0	140.0	3.0	2-8	860.0	5.0	2-8	1080.0	7.0	2-8	450	8.0	2-6	230	1.0	6-8	680	10.0	2=>8	2020.0	9.0	2=>8	1540.0	7.0	2-6-8	1150.0	6.0	2=>8=>6	4240.0	15.0	8,4,7,2,6,5,1,(3,9)	8,4,2,7,6-(5,1),9,3	8,2,4,7,(6,1),9,5,3	8,2,6,1,4,7,9-3,5		
201846032504	ダ	右	1400	晴	稍重	12:50	C28		2018-3-25	21	金沢	1	(定量)		1.0	130.0	1.0	1.0	100	1.0	2.0	120	2.0	4.0	180.0	5.0	1-2	290.0	1.0	1-2	190.0	1.0	1-2	140	1.0	1-4	150	2.0	2-4	210	3.0	1=>2	340.0	1.0	1=>2	310.0	1.0	1-2-4	320.0	1.0	1=>2=>4	700.0	1.0	1,2,4,(7,8),6,9,(3,5,10)	12478695310	12487965310	1,2,4-8-5,(7,3),9,6-10		
201846032505	ダ	右	1400	晴	稍重	13:20	C27		2018-3-25	21	金沢	1	(定量)		2.0	160.0	1.0	2.0	100	1.0	3.0	120	2.0	4.0	130.0	4.0	2-3	210.0	1.0	2-3	300.0	2.0	2-3	160	1.0	2-4	180	2.0	3-4	220	4.0	2=>3	320.0	1.0	2=>3	270.0	1.0	2-3-4	270.0	1.0	2=>3=>4	760.0	1.0	794563281	7,9,4,5,2,6,3-8,1	(7,2),4,9,3,5,6-8,1	247365981		
201846032506	ダ	右	1500	晴	稍重	13:55	C26		2018-3-25	21	金沢	1	(定量)		7.0	120.0	1.0	7.0	100	1.0	8.0	110	2.0	10.0	170.0	5.0	7-7	160.0	1.0	7-8	180.0	1.0	7-8	120	1.0	7-10	310	5.0	8-10	350	7.0	7=>7	200.0	1.0	7=>8	180.0	1.0	7-8-10	510.0	2.0	7=>8=>10	870.0	3.0	8,10,(6,7),4,2,9,3,5,1	81076429351	8,10,7-6,4,2,9,5,(3,1)	(8,7),10=6,4,2,9,5,1,3		
201846032507	ダ	右	1400	晴	稍重	14:30	梶隆志還暦祝い記念		2018-3-25	21	金沢	1	(定量)		9.0	210.0	1.0	9.0	150	1.0	8.0	310	6.0	2.0	150.0	2.0	7-7	1150.0	5.0	8-9	1750.0	7.0	8-9	500	3.0	2-9	590	5.0	2-8	1,620	21.0	7=>7	1520.0	5.0	9=>8	2570.0	9.0	2-8-9	4480.0	16.0	9=>8=>2	14210.0	35.0	9,8,(3,11),4,5,6,7,1,10,2	9,8,11,3,(4,5),6,1,7,2,10	9,8,(3,11),4,(6,2),5,1,7,10	9,8,3,4,(11,2),1,6,5,7,10		
201846032508	ダ	右	1500	晴	稍重	15:05	山中温泉カニ汁大鍋特 		2018-3-25	21	金沢	1	(定量)		1.0	400.0	3.0	1.0	150	2.0	8.0	160	4.0	10.0	160.0	3.0	1-7	540.0	1.0	1-8	650.0	2.0	1-8	400	5.0	1-10	330	3.0	8-10	330	3.0	1=>7	1140.0	5.0	1=>8	1430.0	4.0	1-8-10	910.0	2.0	1=>8=>10	4640.0	8.0	(1,10),8,9,3,5,7,4,6,2	(1,10),8,3,9,(5,7),4-(2,6)	1,10,8,(5,7),3,4,9,2,6	1,8,10,3,4,7,5-9,2,6		
201846032509	ダ	右	1500	晴	稍重	16:15	金沢けいば・開幕!楽 		2018-3-25	21	金沢	1	(定量)		12.0	510.0	3.0	12.0	230	4.0	6.0	100	1.0	3.0	490.0	7.0	5-8	310.0	1.0	6-12	590.0	2.0	6-12	300	2.0	3-12	1,680	16.0	3-6	830	10.0	8=>5	910.0	5.0	12=>6	1240.0	5.0	3-6-12	4780.0	16.0	12=>6=>3	18750.0	58.0	12,10,(6,8),3,7,1,5,(4,9),(2,11)	12,10,6,8,3,(1,7,5),9,4,2,11	12,(6,10,3),5,(8,7,9),2,(4,1)=11	12,6,3,5,7,10,2,9,(8,4)-1=11		
201846032510	ダ	右	1500	晴	稍重	16:50	準重賞若駒賞 		2018-3-25	21	金沢	1	(馬齢)		2.0	110.0	1.0	2.0	100	1.0	3.0	110	3.0	9.0	110.0	2.0	2-3	220.0	1.0	2-3	240.0	1.0	2-3	120	1.0	2-9	150	2.0	3-9	190	4.0	2=>3	280.0	1.0	2=>3	250.0	1.0	2-3-9	350.0	1.0	2=>3=>9	700.0	1.0	3,(2,10),1,8,4,9,6,7,5	3,(2,10),1,4,9,8,7,6,5	32101984756	(3,2),10,(1,9),4,5,8,7,6		
