	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
201848010101	ダ	右	800	晴	重	10:30	まーっと名古屋競馬へ		2018-1-1	22	名古屋	1	(定量)		2	160	1	2.0	100	1.0	3.0	120	3.0	1.0	180.0	4.0	2-3	600	2	2-3	210	3	1-2	360	5	1-3	490	7	2=>3	1070	4	1-2-3	1880	5	2=>3=>1	3530	10				26137485.0					
201848010102	ダ	右	1400	曇	重	11:00	C24組		2018-1-1	22	名古屋	1	(定量)		1	10500	9	1.0	630	9.0	5.0	110	1.0	4.0	120.0	2.0	1-5	8160	19	1-5	3,310	24	1-4	5,380	30	4-5	170	1	1=>5	43820	49	1-4-5	8500	26	1=>5=>4	157250	226		124953786.0	1,2,5,(4,9),3,7,8-6	1,(5,4),2,9,7,3,8,6			1-5	8490.0	19.0
201848010103	ダ	右	1400	曇	重	11:30	C23組		2018-1-1	22	名古屋	1	(定量)		3	180	1	3.0	140	1.0	9.0	280	5.0	4.0	180.0	4.0	3-9	1550	5	3-9	500	6	3-4	220	3	4-9	1,340	14	3=>9	2050	7	3-4-9	3030	10	3=>9=>4	9720	28		10349182576.0	10394182576	3,10,9,4-(1,2),8,5,7,6			3-8	200.0	1.0
201848010104	ダ	右	1400	曇	重	12:05	市川豊馬術一級		2018-1-1	22	名古屋	1	(定量)		9	110	1	9.0	100	1.0	5.0	120	2.0	2.0	140.0	4.0	5-9	270	1	5-9	130	1	2-9	150	2	2-5	410	6	9=>5	260	1	2-5-9	460	1	9=>5=>2	910	2		59210846731.0	59108273461.0	95832710641.0			5-8	220.0	1.0
201848010105	ダ	右	1400	曇	重	12:35	3歳キング 		2018-1-1	22	名古屋	1	(定量)		8	120	1	8.0	110	1.0	10.0	200	4.0	9.0	140.0	3.0	8-10	350	1	8-10	170	2	8-9	200	3	9-10	470	7	8=>10	470	2	8-9-10	530	1	8=>10=>9	1030	2		86921054173.0	8,(6,9),10,(2,5),4,7,1,3	81096427513			7-8	200.0	1.0
201848010201	ダ	右	1400	晴	重	10:35	3歳3組		2018-1-2	22	名古屋	2	(定量)		9	490	2	9.0	160	3.0	1.0	450	6.0	7.0	110.0	1.0	1-9	4260	13	1-9	1,030	13	7-9	190	1	1-7	630	9	9=>1	10060	27	1-7-9	2150	8	9=>1=>7	23280	73		729153846.0	729135684	(7,9),2,1,3,5,4,(8,6)			1-8	6050.0	16.0
201848011601	ダ	右	800	晴	稍重	11:20	C19組		2018-1-16	23	名古屋	2	(定量)		9	860	4	9.0	250	4.0	8.0	600	6.0	5.0	190.0	3.0	8-9	11400	20	8-9	2,450	21	5-9	580	6	5-8	1,690	14	9=>8	18420	29	5-8-9	9650	21	9=>8=>5	77400	126				9,8,5,2,3,(1,7),6,4			8-8	5200.0	8.0
201848011602	ダ	右	1400	晴	稍重	11:50	C18組		2018-1-16	23	名古屋	2	(定量)		4	11690	8	4.0	2,240	8.0	8.0	230	3.0	9.0	310.0	5.0	4-8	27420	26	4-8	7,050	27	4-9	6,500	26	8-9	530	7	4=>8	69520	51	4-8-9	44810	50	4=>8=>9	499090	334		296837145.0	2,9,8,7,6,1,(3,4),5	897461235			4-8	9580.0	16.0
201848011603	ダ	右	1400	晴	稍重	12:20	C17組		2018-1-16	23	名古屋	2	(定量)		5	420	3	5.0	150	3.0	1.0	160	4.0	6.0	130.0	2.0	1-5	940	4	1-5	350	6	5-6	230	3	1-6	300	4	5=>1	1680	6	1-5-6	930	3	5=>1=>6	4390	9		1,7,8,5,9,6-4,3,2	1,7,(5,8),6,9=4,3,2	1,5,(7,8),6,9=4,3,2			1-5	900.0	4.0
201848011604	ダ	右	1400	晴	稍重	12:50	C16組		2018-1-16	23	名古屋	2	(定量)		8	120	1	8.0	100	1.0	3.0	160	2.0	2.0	210.0	5.0	3-8	470	2	3-8	190	2	2-8	370	5	2-3	990	12	8=>3	540	3	2-3-8	1240	5	8=>3=>2	3000	11		84310729516	8,4,3,(10,7),2,(5,9),1,6	8,7,3,4,10,2,5-1,9,6			3-7	460.0	2.0
