	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201448010101	ダ	右	1400	曇	稍重	11:00	アロエundパンツァ		2014-1-1	21	名古屋	1	(定量)		3.0	760.0	3.0	3.0	140	3.0	1.0	120	1.0	1-3	180.0	1.0	1-3	100	1.0	3-4	170	4.0	1-4	120	2.0	3=>1	1200.0	4.0	1-3-4	140.0	1.0	3=>1=>4	2370.0	7.0		4,1,(2,5),3	41253.0	41325.0								
201448010102	ダ	右	1400	曇	稍重	11:30	まこゆり安産祈願杯		2014-1-1	21	名古屋	1	(定量)		2.0	220.0	1.0	2.0	220	2.0	5.0	430	4.0	2-5	620.0	4.0	2-5	270	4.0	2-3	640	8.0	3-5	830	10.0	2=>5	1340.0	5.0	2-3-5	2070.0	8.0	2=>5=>3	7690.0	29.0		451236.0	452136.0	524316.0								
201448010103	ダ	右	1400	曇	稍重	12:00	サラC27組		2014-1-1	21	名古屋	1	(定量)		8.0	150.0	1.0	8.0	130	2.0	3.0	170	3.0	3-8	340.0	1.0	3-8	190	2.0	7-8	920	11.0	3-7	1,250	13.0	8=>3	490.0	2.0	3-7-8	2550.0	8.0	8=>3=>7	4270.0	12.0		358674291	358764291.0	8,3,(6,7),4,5,2,9,1			7.0	460.0	7.0	3-8	230.0	1.0
201448010104	ダ	右	1400	曇	稍重	12:30	朋宏・祐子結婚10周		2014-1-1	21	名古屋	1	(定量)		7.0	200.0	1.0	7.0	110	1.0	1.0	390	7.0	1-7	2560.0	7.0	1-7	850	8.0	5-7	260	3.0	1-5	1,900	15.0	7=>1	2820.0	9.0	1-5-7	2150.0	8.0	7=>1=>5	14800.0	38.0		7,5,6,(1,4),3,9,2,8	754612398.0	754162398			5.0	160.0	3.0	1-7	3020.0	9.0
201448010105	ダ	右	1400	曇	稍重	13:00	株式会社丸増商会56		2014-1-1	21	名古屋	1	(定量)		5.0	340.0	2.0	5.0	170	3.0	2.0	200	4.0	2-5	1740.0	9.0	2-5	740	9.0	5-8	620	8.0	2-8	1,500	13.0	5=>2	2810.0	13.0	2-5-8	3060.0	10.0	5=>2=>8	12870.0	52.0		27518963104	27581639104.0	(2,5),7,8,1,9,6,3,10,4			8.0	220.0	5.0	2-5	1530.0	7.0
201448010106	ダ	右	800	曇	稍重	13:30	市川豊馬術一級		2014-1-1	21	名古屋	1	(定量)		3.0	460.0	2.0	3.0	130	2.0	1.0	150	4.0	1-3	1170.0	4.0	1-3	390	6.0	3-5	170	1.0	1-5	210	3.0	3=>1	2010.0	7.0	1-3-5	530.0	2.0	3=>1=>5	3020.0	8.0				3,(1,5),9,6,2,4,7,8			5.0	110.0	1.0	1-3	1180.0	5.0
201448010107	ダ	右	1400	曇	稍重	14:00	さなの夢馬券記		2014-1-1	21	名古屋	1	(定量)		6.0	180.0	1.0	6.0	110	1.0	5.0	120	3.0	5-6	350.0	2.0	5-6	120	1.0	3-6	150	2.0	3-5	170	3.0	6=>5	450.0	2.0	3-5-6	250.0	1.0	6=>5=>3	740.0	2.0		5,6,9,3,8,7,1,4-2	5,6,(3,9),8,7,1,4-2	5,6,3,8,7,(1,4,9)-2			3.0	120.0	2.0	5-6	310.0	2.0
201448010108	ダ	右	1400	曇	稍重	14:30	サラC22組		2014-1-1	21	名古屋	1	(定量)		2.0	240.0	2.0	2.0	110	2.0	3.0	100	1.0	2-3	340.0	1.0	2-3	150	1.0	1-2	320	6.0	1-3	200	2.0	2=>3	960.0	4.0	1-2-3	410.0	1.0	2=>3=>1	2180.0	6.0		2,10,1,4,3,(5,7),8,9-6	2,10,4,3,1,(5,7),8,9-6	21043157896			1.0	150.0	4.0	2-3	400.0	1.0
201448010109	ダ	右	1600	曇	稍重	15:05	若水賞		2014-1-1	21	名古屋	1	(定量)		2.0	170.0	1.0	2.0	120	1.0	6.0	610	9.0	2-6	3630.0	13.0	2-6	1,370	17.0	1-2	200	1.0	1-6	2,220	27.0	2=>6	5500.0	21.0	1-2-6	5530.0	21.0	2=>6=>1	26720.0	91.0		6,10,1,9,4,2,3,5,7-8	6,10,1,9,2,3,5,4,7-8	61012359748			1.0	170.0	3.0	2-6	4190.0	15.0
201448010110	ダ	右	1400	曇	稍重	15:45	松竹梅特別 		2014-1-1	21	名古屋	1	(定量)		8.0	130.0	1.0	8.0	100	1.0	2.0	130	2.0	2-8	200.0	1.0	2-8	130	1.0	6-8	290	4.0	2-6	790	10.0	8=>2	250.0	1.0	2-6-8	870.0	3.0	8=>2=>6	1410.0	4.0		2,4,8,5,6,1-3-10-7	2,8,4,5,6,1,3-10-7	8,2,4,6,5,3,1-10,7			6.0	150.0	4.0	2-7	220.0	1.0
