	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201147040703	ダ	右	1400	晴	良	11:55	サラ系3歳6組		2011-4-7	1	笠松	3			10.0	330.0	2.0	10.0	120	2.0	9.0	260	5.0	7.0	100	1.0	9-10	2840.0	8.0	10=>9	2990.0	10.0	7-9-10	820.0	4.0	10=>9=>7	10470.0	27.0		10792815634.0	10798213564.0	10792813465.0			8-8	2600.0	7.0	8=>8	1950.0	9.0									
201147040704	ダ	右	1400	晴	良	12:25	サラ系C18組		2011-4-7	1	笠松	3			5.0	180.0	1.0	5.0	110	2.0	1.0	210	5.0	2.0	100	1.0	1-5	1260.0	4.0	5=>1	1880.0	5.0	1-2-5	410.0	3.0	5=>1=>2	2880.0	9.0		526178493.0	521678943.0	512678934.0			1-5	1020.0	4.0	5=>1	1940.0	5.0									
201147040705	ダ	右	1400	晴	良	12:55	サラ系C17組		2011-4-7	1	笠松	3			6.0	2440.0	5.0	6.0	210	5.0	4.0	120	1.0	1.0	190	4.0	4-6	1100.0	4.0	6=>4	4020.0	10.0	1-4-6	750.0	3.0	6=>4=>1	13170.0	31.0		56147891032.0	56418971032.0	64158971032.0			4-6	930.0	3.0	6=>4	2350.0	8.0									
201147040801	ダ	右	1400	曇	良	11:00	サラ系3歳11組		2011-4-8	1	笠松	4			2.0	1140.0	5.0	2.0	220	5.0	7.0	120	2.0	8.0	100	1.0	2-7	3330.0	9.0	2=>7	7110.0	18.0	2-7-8	630.0	3.0	2=>7=>8	13930.0	36.0		897642153.0	897621453.0	897261435.0			2-7	2260.0	7.0	2=>7	5060.0	13.0									
201147040802	ダ	右	1400	曇	良	11:25	サラ系3歳10組		2011-4-8	1	笠松	4			7.0	220.0	2.0	7.0	120	2.0	8.0	100	1.0	6.0	200	4.0	7-8	150.0	1.0	7=>8	250.0	1.0	6-7-8	1530.0	6.0	7=>8=>6	3640.0	10.0		27638910514.0	27638510914.0	27638510194.0			7-7	160.0	1.0	7=>7	190.0	1.0									
201147040803	ダ	右	1400	雨	良	11:55	サラ系3歳9組		2011-4-8	1	笠松	4			1.0	180.0	1.0	1.0	120	1.0	5.0	230	4.0	2.0	250	5.0	1-5	990.0	5.0	1=>5	1380.0	5.0	1-2-5	1810.0	6.0	1=>5=>2	6930.0	24.0		812395674.0	812536974.0	1,8,5,2,6,3,7,9=4			1-5	810.0	3.0	1=>5	1550.0	5.0									
201147040804	ダ	右	1400	雨	良	12:25	サラ系C15組		2011-4-8	1	笠松	4			9.0	130.0	1.0	9.0	110	1.0	6.0	160	4.0	8.0	130	3.0	6-9	800.0	3.0	9=>6	1060.0	5.0	6-8-9	760.0	2.0	9=>6=>8	3140.0	9.0		9102861345.0	9108263145.0	9108632145.0			6-8	770.0	3.0	8=>6	730.0	3.0									
201147040805	ダ	右	1400	雨	良	12:55	サラ系C11・14組		2011-4-8	1	笠松	4			6.0	290.0	2.0	6.0	100	2.0	3.0	100	1.0	1.0	120	3.0	3-6	230.0	1.0	6=>3	460.0	2.0	1-3-6	210.0	1.0	6=>3=>1	960.0	2.0		386541279.0	385614729.0	385614279.0			3-6	210.0	1.0	6=>3	550.0	2.0									
201147040806	ダ	右	1400	雨	稍重	13:25	サラ系C10組		2011-4-8	1	笠松	4			8.0	210.0	1.0	8.0	100	1.0	2.0	110	2.0	10.0	110	3.0	2-8	470.0	2.0	8=>2	720.0	2.0	2-8-10	370.0	1.0	8=>2=>10	1660.0	3.0		24810391567.0	28410395176.0	2,8,4,10,5,9,3,1=7,6			2-7	450.0	2.0	7=>2	1450.0	6.0									
201147040807	ダ	右	1600	雨	稍重	13:55	サラ系C8組		2011-4-8	1	笠松	4			1.0	200.0	1.0	1.0	100	2.0	3.0	100	1.0	10.0	110	3.0	1-3	230.0	1.0	1=>3	530.0	2.0	1-3-10	170.0	1.0	1=>3=>10	840.0	1.0		1051392864.0	1051392864.0	1015392846.0			1-3	330.0	1.0	1=>3	370.0	1.0									
201147040808	ダ	右	1400	雨	稍重	14:25	サラ系C9組		2011-4-8	1	笠松	4			7.0	3240.0	6.0	7.0	380	5.0	6.0	160	2.0	8.0	320	4.0	6-7	10420.0	12.0	7=>6	30950.0	27.0	6-7-8	10410.0	21.0	7=>6=>8	221470.0	151.0		7625831049.0	7625108349.0	7652810349.0			6-7	2220.0	5.0	7=>6	8500.0	15.0									
201147040809	ダ	右	1600	雨	稍重	14:55	サラ系C13組特選		2011-4-8	1	笠松	4			8.0	160.0	1.0	8.0	100	2.0	4.0	100	1.0	6.0	100	3.0	4-8	330.0	2.0	8=>4	530.0	2.0	4-6-8	160.0	1.0	8=>4=>6	660.0	2.0		95811042763.0	95846110273.0	85469101237.0			4-7	480.0	2.0	7=>4	490.0	2.0									
201147040810	ダ	右	1400	雨	稍重	15:30	吉野桜特別 		2011-4-8	1	笠松	4			6.0	400.0	2.0	6.0	120	2.0	8.0	100	1.0	10.0	510	9.0	6-8	140.0	1.0	6=>8	360.0	2.0	6-8-10	3630.0	7.0	6=>8=>10	12660.0	32.0		61038519247.0	61083452917.0	68103542791.0			6-7	150.0	1.0	6=>7	330.0	2.0									
201147040811	ダ	右	1900	雨	稍重	16:05	東海クラウン 		2011-4-8	1	笠松	4			3.0	950.0	4.0	3.0	260	6.0	8.0	150	2.0	2.0	250	5.0	3-8	1740.0	5.0	3=>8	5940.0	21.0	2-3-8	6230.0	16.0	3=>8=>2	48420.0	109.0		68243791105.0	86239410715.0	82369107415.0			3-7	2060.0	7.0	3=>7	4660.0	19.0									
201147042501	ダ	右	1400	曇	良	10:50	サラ系3歳6組		2011-4-25	2	笠松	1			3.0	440.0	2.0	3.0	120	2.0	9.0	100	1.0	4.0	200	5.0	3-9	270.0	1.0	3=>9	690.0	2.0	3-4-9	610.0	3.0	3=>9=>4	3190.0	8.0		39142107586.0	39412710568.0	39427101568.0			3-8	270.0	1.0	3=>8	580.0	2.0									
201147042502	ダ	右	1400	曇	良	11:15	サラ系3歳5組		2011-4-25	2	笠松	1			8.0	1530.0	4.0	8.0	150	3.0	9.0	110	2.0	10.0	100	1.0	8-9	1330.0	6.0	8=>9	5760.0	15.0	8-9-10	600.0	2.0	8=>9=>10	10400.0	28.0		45108913672.0	41089513672.0	81094163572.0			7-8	630.0	3.0	7=>8	3690.0	9.0									
201147042503	ダ	右	1400	曇	良	11:45	サラ系3歳4組		2011-4-25	2	笠松	1			1.0	700.0	2.0	1.0	120	1.0	5.0	170	4.0	2.0	130	2.0	1-5	1990.0	8.0	1=>5	4850.0	17.0	1-2-5	1020.0	1.0	1=>5=>2	9440.0	24.0		15610248793.0	15610247389.0	15106273948.0			1-5	1930.0	9.0	1=>5	3550.0	16.0									
201147042504	ダ	右	1400	曇	良	12:15	サラ系C26組		2011-4-25	2	笠松	1			5.0	860.0	3.0	5.0	140	4.0	2.0	100	2.0	6.0	100	1.0	2-5	320.0	2.0	5=>2	1850.0	6.0	2-5-6	210.0	1.0	5=>2=>6	3140.0	10.0		247615938.0	246715398.0	241765398.0			2-5	460.0	2.0	5=>2	1660.0	6.0									
201147042505	ダ	右	800	曇	良	12:45	サラ系C22組		2011-4-25	2	笠松	1			9.0	22920.0	9.0	9.0	4,230	9.0	3.0	170	2.0	1.0	450	5.0	3-9	21500.0	19.0	9=>3	34320.0	32.0	1-3-9	48980.0	38.0	9=>3=>1	556190.0	263.0				398176254.0			3-8	300.0	1.0	8=>3	670.0	2.0									
201147042701	ダ	右	1400	曇	良	10:50	サラ系3歳3組		2011-4-27	2	笠松	2			5.0	7530.0	6.0	5.0	1,220	7.0	8.0	130	1.0	3.0	210	4.0	5-8	13350.0	14.0	5=>8	36060.0	28.0	3-5-8	18500.0	20.0	5=>8=>3	395740.0	186.0		145836729.0	145836729.0	154836729.0			5-8	13030.0	13.0	5=>8	34930.0	29.0									
201147042702	ダ	右	1400	曇	良	11:15	サラ系C19組牝馬		2011-4-27	2	笠松	2	牝		5.0	300.0	2.0	5.0	130	3.0	10.0	110	1.0	6.0	280	5.0	5-10	330.0	1.0	5=>10	680.0	2.0	5-6-10	560.0	2.0	5=>10=>6	1670.0	1.0		51018649273.0	51086491273.0	51084691273.0			5-8	330.0	1.0	5=>8	710.0	1.0									
201147042703	ダ	右	1400	曇	良	11:45	サラ系C18組		2011-4-27	2	笠松	2			9.0	160.0	1.0	9.0	100	1.0	6.0	120	2.0	7.0	130	3.0	6-9	240.0	2.0	9=>6	380.0	2.0	6-7-9	150.0	1.0	9=>6=>7	560.0	2.0		69275810134.0	69725811034.0	69572810134.0			6-8	290.0	2.0	8=>6	380.0	2.0									
201147042704	ダ	右	1400	曇	良	12:15	サラ系C17組		2011-4-27	2	笠松	2			8.0	270.0	2.0	8.0	100	1.0	2.0	110	2.0	9.0	130	4.0	2-8	180.0	1.0	8=>2	390.0	1.0	2-8-9	310.0	1.0	8=>2=>9	1270.0	3.0		289341675.0	289341675.0	289341675.0			2-8	150.0	1.0	8=>2	350.0	2.0									
201147042705	ダ	右	1400	曇	良	12:45	サラ系C10組		2011-4-27	2	笠松	2			2.0	1000.0	3.0	2.0	150	4.0	1.0	100	1.0	8.0	140	3.0	1-2	500.0	2.0	2=>1	2060.0	5.0	1-2-8	920.0	3.0	2=>1=>8	9820.0	20.0		842671395.0	846217395.0	842617395.0			1-2	320.0	2.0	2=>1	1860.0	5.0									
201147042706	ダ	右	1400	曇	良	13:15	サラ系C9組		2011-4-27	2	笠松	2			5.0	110.0	1.0	5.0	100	1.0	10.0	190	4.0	1.0	120	3.0	5-10	610.0	3.0	5=>10	790.0	3.0	1-5-10	1300.0	4.0	5=>10=>1	2770.0	8.0		1105364287.0	1105634287.0	1105364782.0			5-8	720.0	3.0	5=>8	710.0	3.0									
201147042707	ダ	右	1600	曇	良	13:45	サラ系C6組		2011-4-27	2	笠松	2			2.0	1620.0	4.0	2.0	330	5.0	3.0	110	1.0	8.0	210	3.0	2-3	920.0	3.0	2=>3	4160.0	12.0	2-3-8	1030.0	5.0	2=>3=>8	20180.0	51.0		38124561097.0	38214561097.0	38251461097.0			2-3	800.0	3.0	2=>3	2730.0	8.0									
201147042708	ダ	右	1400	曇	良	14:15	サラ系C8組		2011-4-27	2	笠松	2			3.0	140.0	1.0	3.0	100	1.0	4.0	120	2.0	10.0	120	3.0	3-4	160.0	1.0	3=>4	340.0	1.0	3-4-10	220.0	1.0	3=>4=>10	590.0	1.0		4367181095.0	4311087695.0	4311087956.0			3-4	130.0	1.0	3=>4	380.0	2.0									
201147042709	ダ	右	1400	曇	良	14:45	サラ系C7組		2011-4-27	2	笠松	2			5.0	530.0	3.0	5.0	130	3.0	2.0	100	1.0	3.0	140	4.0	2-5	500.0	2.0	5=>2	1850.0	8.0	2-3-5	820.0	3.0	5=>2=>3	4830.0	17.0		31051829674.0	35108216974.0	3,5,2,1,10,8,6,9,7=4			2-5	700.0	3.0	5=>2	1920.0	7.0									
201147042710	ダ	右	1400	曇	良	15:15	花吹雪賞		2011-4-27	2	笠松	2	(別定)		8.0	580.0	2.0	8.0	140	2.0	4.0	180	4.0	6.0	120	1.0	4-8	1300.0	5.0	8=>4	2630.0	11.0	4-6-8	870.0	1.0	8=>4=>6	6840.0	14.0		49105786123.0	48965101273.0	84659102137.0			4-7	1310.0	6.0	7=>4	4880.0	20.0									
201147042711	ダ	右	1600	曇	良	15:50	つつじ特別 		2011-4-27	2	笠松	2			6.0	140.0	1.0	6.0	100	1.0	10.0	280	6.0	4.0	120	2.0	6-10	4160.0	8.0	6=>10	4460.0	13.0	4-6-10	2670.0	7.0	6=>10=>4	21130.0	43.0		41061975328.0	46101975238.0	64101957238.0			6-8	490.0	2.0	6=>8	590.0	2.0									
201147042801	ダ	右	1400	晴	重	10:50	サラ系3歳9組		2011-4-28	2	笠松	3			9.0	200.0	1.0	9.0	130	1.0	10.0	160	3.0	5.0	490	8.0	9-10	470.0	2.0	9=>10	510.0	1.0	5-9-10	3210.0	10.0	9=>10=>5	8690.0	29.0		15391062874.0	15931062748.0	95110637248.0			8-8	460.0	4.0	8=>8	460.0	1.0									
201147042802	ダ	右	1400	晴	重	11:15	サラ系3歳8組		2011-4-28	2	笠松	3			4.0	100.0	1.0	4.0	100	1.0	1.0	200	5.0	8.0	120	2.0	1-4	330.0	2.0	4=>1	300.0	2.0	1-4-8	260.0	1.0	4=>1=>8	800.0	2.0		487139256.0	481732956.0	481732956.0			1-4	380.0	2.0	4=>1	400.0	2.0									
201147042803	ダ	右	1400	晴	重	11:45	サラ系3歳7組		2011-4-28	2	笠松	3			9.0	510.0	3.0	9.0	130	3.0	1.0	100	1.0	4.0	100	2.0	1-9	510.0	2.0	9=>1	1330.0	5.0	1-4-9	290.0	1.0	9=>1=>4	2990.0	10.0		41296810573.0	42196810753.0	94126781035.0			1-8	220.0	2.0	8=>1	830.0	3.0									
201147042804	ダ	右	1400	晴	重	12:15	サラ系C16組		2011-4-28	2	笠松	3			5.0	100.0	1.0	5.0	100	1.0	9.0	190	5.0	7.0	140	3.0	5-9	1110.0	5.0	5=>9	1080.0	5.0	5-7-9	1840.0	8.0	5=>9=>7	4750.0	18.0		159374286.0	159374862.0	5,9,7,3,1,4,8,6=2			5-8	460.0	3.0	5=>8	480.0	3.0									
201147042805	ダ	右	1400	晴	重	12:45	サラ系C12・15組		2011-4-28	2	笠松	3			8.0	210.0	1.0	8.0	100	1.0	2.0	110	2.0	4.0	120	3.0	2-8	180.0	1.0	8=>2	480.0	2.0	2-4-8	160.0	1.0	8=>2=>4	880.0	3.0		478261359.0	478216395.0	847216395.0			2-8	270.0	1.0	8=>2	540.0	3.0									
201147042806	ダ	右	1600	晴	重	13:15	サラ系C11組		2011-4-28	2	笠松	3			9.0	280.0	3.0	9.0	100	2.0	1.0	100	3.0	7.0	100	1.0	1-9	230.0	1.0	9=>1	420.0	1.0	1-7-9	160.0	1.0	9=>1=>7	780.0	2.0		79416253108.0	79416253108.0	97146352810.0			1-8	230.0	1.0	8=>1	540.0	2.0									
201147042807	ダ	右	1400	晴	重	13:45	サラ系B5組		2011-4-28	2	笠松	3			1.0	5180.0	7.0	1.0	220	4.0	3.0	110	1.0	7.0	110	2.0	1-3	2880.0	12.0	1=>3	6440.0	22.0	1-3-7	2080.0	9.0	1=>3=>7	21410.0	67.0		11037862954.0	11037629584.0	13107629458.0			1-3	2290.0	8.0	1=>3	5760.0	19.0									
201147042808	ダ	右	1400	晴	重	14:15	サラ系C14組特選		2011-4-28	2	笠松	3			6.0	230.0	2.0	6.0	100	1.0	4.0	160	3.0	2.0	230	6.0	4-6	870.0	2.0	6=>4	640.0	3.0	2-4-6	1390.0	5.0	6=>4=>2	3130.0	10.0		462931875.0	462931875.0	462918735.0			4-6	840.0	3.0	6=>4	1050.0	4.0									
201147042809	ダ	右	1600	晴	重	14:45	サラ系B4組特選		2011-4-28	2	笠松	3			1.0	1880.0	5.0	1.0	590	6.0	9.0	290	4.0	8.0	410	5.0	1-9	12410.0	18.0	1=>9	20370.0	33.0	1-8-9	12430.0	18.0	1=>9=>8	316930.0	187.0		12967831045.0	19627831054.0	19768231054.0			1-8	5540.0	10.0	1=>8	9190.0	15.0									
201147042810	ダ	右	1600	晴	重	15:20	れんげ特別 		2011-4-28	2	笠松	3			2.0	190.0	1.0	2.0	100	1.0	4.0	190	4.0	5.0	120	2.0	2-4	1900.0	9.0	2=>4	2590.0	9.0	2-4-5	1050.0	4.0	2=>4=>5	4950.0	14.0		56237108419.0	56237410819.0	56247103819.0			2-4	1910.0	6.0	2=>4	2960.0	11.0									
201147042901	ダ	右	1400	晴	良	10:50	サラ系3歳12組		2011-4-29	2	笠松	4			6.0	430.0	2.0	6.0	100	1.0	3.0	100	2.0	5.0	270	5.0	3-6	150.0	1.0	6=>3	280.0	2.0	3-5-6	1150.0	2.0	6=>3=>5	2370.0	7.0		64385971.0	65439871.0	65349871.0			3-6	160.0	1.0	6=>3	310.0	1.0									
201147042902	ダ	右	1400	晴	良	11:20	祝!颯真君初節句記念		2011-4-29	2	笠松	4			9.0	290.0	2.0	9.0	100	1.0	4.0	110	2.0	6.0	140	4.0	4-9	190.0	1.0	9=>4	450.0	2.0	4-6-9	310.0	1.0	9=>4=>6	1320.0	3.0		34659718210.0	34695712810.0	4,3,9,6,7,1,5,8,2=10			4-8	170.0	1.0	8=>4	460.0	2.0									
201147042903	ダ	右	1400	晴	良	11:50	花音カップ		2011-4-29	2	笠松	4			4.0	820.0	5.0	4.0	240	4.0	5.0	420	6.0	8.0	690	7.0	4-5	1360.0	7.0	4=>5	3410.0	20.0	4-5-8	11420.0	33.0	4=>5=>8	25830.0	127.0		485723916.0	485723916.0	458273916.0			4-5	1740.0	12.0	4=>5	3230.0	21.0									
201147042904	ダ	右	1400	晴	良	12:20	小沢嘉尚幸せにします		2011-4-29	2	笠松	4			2.0	900.0	5.0	2.0	230	5.0	8.0	120	1.0	3.0	200	4.0	2-8	850.0	4.0	2=>8	2540.0	10.0	2-3-8	1330.0	6.0	2=>8=>3	10920.0	36.0		289147365.0	289147365.0	289134765.0			2-8	650.0	3.0	2=>8	2260.0	8.0									
201147042905	ダ	右	1600	晴	良	12:50	吉崎智裕、久子結婚記		2011-4-29	2	笠松	4			4.0	120.0	1.0	4.0	110	1.0	8.0	120	2.0	1.0	460	7.0	4-8	280.0	2.0	4=>8	350.0	2.0	1-4-8	3560.0	11.0	4=>8=>1	6500.0	18.0		28946175.0	28941675.0	48291675.0			4-8	200.0	1.0	4=>8	410.0	2.0									
201147042906	ダ	右	1400	晴	良	13:20	サラ系C4組		2011-4-29	2	笠松	4			4.0	190.0	1.0	4.0	120	1.0	7.0	130	3.0	10.0	180	4.0	4-7	260.0	1.0	4=>7	330.0	1.0	4-7-10	1490.0	4.0	4=>7=>10	2380.0	9.0		81046579132.0	81047659132.0	81047659132.0			4-7	150.0	1.0	4=>7	190.0	1.0									
201147042907	ダ	右	1400	晴	良	13:50	サラ系B7・C3組		2011-4-29	2	笠松	4			6.0	150.0	1.0	6.0	120	1.0	4.0	160	3.0	2.0	180	5.0	4-6	430.0	3.0	6=>4	500.0	1.0	2-4-6	1590.0	7.0	6=>4=>2	3540.0	9.0		46101295837.0	46102159837.0	46102519837.0			4-6	430.0	3.0	6=>4	510.0	2.0									
201147042908	ダ	右	1600	晴	良	14:25	頑張ろう笠松!馬場秀		2011-4-29	2	笠松	4			10.0	170.0	1.0	10.0	120	1.0	8.0	150	3.0	9.0	260	5.0	8-10	410.0	2.0	10=>8	680.0	2.0	8-9-10	870.0	4.0	10=>8=>9	2110.0	3.0		4810569273.0	4810659273.0	1084692573.0			7-8	440.0	2.0	8=>7	540.0	1.0									
201147042909	ダ	右	1800	晴	良	15:00	ふじの花特別 		2011-4-29	2	笠松	4			9.0	110.0	1.0	9.0	100	1.0	1.0	100	2.0	5.0	120	3.0	1-9	160.0	1.0	9=>1	210.0	1.0	1-5-9	190.0	1.0	9=>1=>5	360.0	1.0		59412638710.0	5914623810.0	9514682310.0			1-8	150.0	1.0	8=>1	180.0	1.0									
201147042910	ダ	右	2500	晴	良	15:35	オグリキャップ記念	G	2011-4-29	2	笠松	4	(別定)		5.0	110.0	1.0	5.0	100	1.0	3.0	120	2.0	1.0	130	3.0	3-5	230.0	1.0	5=>3	290.0	1.0	1-3-5	260.0	1.0	5=>3=>1	600.0	1.0		15310982746.0	15310279846.0	51310279846.0			3-5	210.0	1.0	5=>3	240.0	1.0									
201147050901	ダ	右	1400	曇	良	10:50	サラ系3歳8組		2011-5-9	3	笠松	1			6.0	150.0	1.0	6.0	110	1.0	2.0	130	3.0	4.0	210	4.0	2-6	860.0	3.0	6=>2	1290.0	3.0	2-4-6	3400.0	5.0	6=>2=>4	5940.0	15.0		12846735.0	21864753.0	26184357.0																	
201147050902	ダ	右	1400	曇	良	11:20	サラ系3歳7組		2011-5-9	3	笠松	1			3.0	570.0	3.0	3.0	110	3.0	4.0	100	1.0	6.0	100	2.0	3-4	340.0	2.0	3=>4	1260.0	4.0	3-4-6	290.0	1.0	3=>4=>6	2320.0	7.0		85361742.0	83647152.0	46318752.0																	
201147050903	ダ	右	1400	晴	良	11:50	サラ系3歳6組		2011-5-9	3	笠松	1			7.0	110.0	1.0	7.0	100	1.0	4.0	100	2.0	2.0	100	3.0	4-7	150.0	1.0	7=>4	180.0	1.0	2-4-7	160.0	1.0	7=>4=>2	390.0	1.0		47812635.0	47182356.0	47152863.0																	
201147050904	ダ	右	1400	晴	良	12:20	ロドリゲス川端誕生日		2011-5-9	3	笠松	1			6.0	230.0	1.0	6.0	160	2.0	8.0	220	4.0	9.0	550	8.0	6-8	1100.0	4.0	6=>8	1400.0	6.0	6-8-9	6350.0	20.0	6=>8=>9	14110.0	43.0		136295748.0	316925874.0	361928745.0			6-8	810.0	3.0	6=>8	790.0	3.0									
201147050905	ダ	右	800	晴	良	12:55	久し振りに3連休記念		2011-5-9	3	笠松	1	牝		2.0	140.0	1.0	2.0	100	1.0	9.0	120	2.0	5.0	130	3.0	2-9	250.0	1.0	2=>9	370.0	1.0	2-5-9	370.0	1.0	2=>9=>5	940.0	1.0				21095683714.0			2-8	170.0	1.0	2=>8	360.0	2.0									
201147050906	ダ	右	1400	晴	良	13:30	サラ系C24組		2011-5-9	3	笠松	1			1.0	490.0	3.0	1.0	160	3.0	4.0	120	1.0	9.0	710	7.0	1-4	540.0	2.0	1=>4	1010.0	4.0	1-4-9	22580.0	37.0	1=>4=>9	71550.0	111.0		14961052783.0	14961085273.0	14961085723.0			1-4	740.0	4.0	1=>4	1290.0	4.0									
201147050907	ダ	右	1400	晴	良	14:05	サラ系C23組		2011-5-9	3	笠松	1			10.0	3320.0	6.0	10.0	580	7.0	8.0	140	2.0	3.0	1,340	8.0	8-10	1140.0	4.0	10=>8	5670.0	15.0	3-8-10	21840.0	35.0	10=>8=>3	273130.0	242.0		21018345697.0	21083145697.0	10823415697.0			7-8	960.0	4.0	8=>7	4610.0	14.0									
201147050908	ダ	右	1400	晴	良	14:40	サラ系C22組		2011-5-9	3	笠松	1			9.0	220.0	2.0	9.0	100	3.0	5.0	100	2.0	8.0	100	1.0	5-9	370.0	2.0	9=>5	570.0	3.0	5-8-9	140.0	1.0	9=>5=>8	740.0	3.0		489567132.0	894567321.0	985467321.0			5-8	230.0	2.0	8=>5	290.0	2.0									
201147051101	ダ	右	1400	雨	不良	10:50	サラ系3歳4組		2011-5-11	3	笠松	2			1.0	180.0	1.0	1.0	120	1.0	3.0	120	2.0	5.0	510	7.0	1-3	280.0	1.0	1=>3	560.0	1.0	1-3-5	2310.0	7.0	1=>3=>5	7540.0	22.0		83514726.0	83514726.0	38517426.0																	
201147051102	ダ	右	1400	雨	不良	11:20	サラ系3歳3組		2011-5-11	3	笠松	2			5.0	360.0	2.0	5.0	110	2.0	4.0	110	3.0	2.0	100	1.0	4-5	550.0	5.0	5=>4	1410.0	12.0	2-4-5	190.0	1.0	5=>4=>2	1770.0	6.0		4526831.0	4562831.0	4526831.0																	
201147051103	ダ	右	1400	雨	不良	11:50	サラ系C19組		2011-5-11	3	笠松	2			1.0	190.0	1.0	1.0	100	1.0	3.0	100	2.0	6.0	140	4.0	1-3	180.0	1.0	1=>3	220.0	1.0	1-3-6	180.0	1.0	1=>3=>6	530.0	1.0		643175829.0	643175289.0	643175829.0			1-3	190.0	1.0	1=>3	300.0	1.0									
201147051104	ダ	右	1400	雨	不良	12:20	サラ系C18組		2011-5-11	3	笠松	2			8.0	390.0	3.0	8.0	110	2.0	6.0	100	1.0	1.0	180	4.0	6-8	200.0	1.0	8=>6	760.0	3.0	1-6-8	610.0	2.0	8=>6=>1	2300.0	9.0		186254379.0	861245397.0	861245397.0			6-8	220.0	1.0	8=>6	750.0	4.0									
201147051105	ダ	右	1400	雨	不良	12:55	笠松から日本に元気を		2011-5-11	3	笠松	2	牝		6.0	210.0	1.0	6.0	110	1.0	9.0	150	3.0	3.0	330	5.0	6-9	230.0	1.0	6=>9	450.0	1.0	3-6-9	1610.0	5.0	6=>9=>3	3410.0	12.0		69835742.0	69835724.0	69853724.0			6-8	210.0	1.0	6=>8	370.0	1.0									
201147051106	ダ	右	1400	雨	不良	13:30	寛&美子結婚13周年		2011-5-11	3	笠松	2			1.0	100.0	1.0	1.0	120	2.0	4.0	650	7.0	6.0	260	4.0	1-4	1180.0	5.0	1=>4	1790.0	7.0	1-4-6	8710.0	22.0	1=>4=>6	32770.0	68.0		34211067895.0	41103267895.0	14610327859.0			1-4	1570.0	4.0	1=>4	1990.0	6.0									
201147051107	ダ	右	1600	雨	不良	14:05	サラ系C4組		2011-5-11	3	笠松	2			2.0	130.0	1.0	2.0	100	1.0	7.0	100	2.0	4.0	210	5.0	2-7	170.0	1.0	2=>7	230.0	1.0	2-4-7	760.0	3.0	2=>7=>4	1040.0	3.0		27194365108.0	27149365108.0	27149536108.0			2-7	170.0	1.0	2=>7	180.0	1.0									
201147051108	ダ	右	1400	雨	不良	14:40	サラ系C5組		2011-5-11	3	笠松	2			3.0	130.0	1.0	3.0	100	1.0	5.0	130	2.0	4.0	430	5.0	3-5	400.0	3.0	3=>5	420.0	2.0	3-4-5	2980.0	7.0	3=>5=>4	5550.0	16.0		35911027864.0	35911072684.0	35911076248.0			3-5	350.0	3.0	3=>5	450.0	2.0									
201147051109	ダ	右	1400	雨	不良	15:15	若鮎賞		2011-5-11	3	笠松	2	(別定)		9.0	440.0	3.0	9.0	150	3.0	7.0	410	6.0	5.0	220	4.0	7-9	3350.0	13.0	9=>7	5860.0	23.0	5-7-9	2990.0	9.0	9=>7=>5	27750.0	83.0		97210465138.0	97645211038.0	97546211038.0			7-8	2960.0	12.0	8=>7	3970.0	16.0									
201147051110	ダ	右	1800	雨	不良	15:50	初夏特別 		2011-5-11	3	笠松	2	(別定)		3.0	220.0	2.0	3.0	130	2.0	1.0	360	5.0	2.0	240	4.0	1-3	1750.0	7.0	3=>1	2500.0	8.0	1-2-3	1990.0	6.0	3=>1=>2	8380.0	27.0		13289761054.0	13628791054.0	13268791054.0			1-3	1590.0	8.0	3=>1	2020.0	9.0									
201147051201	ダ	右	1400	雨	不良	10:50	サラ系3歳12組		2011-5-12	3	笠松	3			3.0	120.0	1.0	3.0	100	1.0	8.0	120	2.0	4.0	120	3.0	3-8	410.0	2.0	3=>8	480.0	2.0	3-4-8	1060.0	5.0	3=>8=>4	2290.0	9.0		93184527.0	93841572.0	93481572.0			3-8	220.0	1.0	3=>8	280.0	1.0									
201147051202	ダ	右	1400	雨	不良	11:20	サラ系3歳11組		2011-5-12	3	笠松	3			3.0	1390.0	3.0	3.0	340	6.0	7.0	180	3.0	1.0	770	7.0	3-7	7370.0	11.0	3=>7	23990.0	25.0	1-3-7	67890.0	42.0	3=>7=>1	689060.0	262.0		794583162.0	794315682.0	739416582.0			3-7	7980.0	12.0	3=>7	8080.0	14.0									
