	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
201154010801	ダ	右	1300	晴	良	15:40	C3ロ		2011-1-8	15	高知	5	(見込)		5.0	100.0	1.0	5.0	100.0	1.0	3.0	190	3.0	3-5	310.0	2.0	3-5	100	2.0	1-5	100	1.0	1-3	120	3.0	5=>3	370.0	2.0	1-3-5	100.0	1.0	5=>3=>1	430.0	2.0	53142	53142	53142	5,3,1,4-2								
201154010802	ダ	右	1300	晴	良	16:10	C3　ー6		2011-1-8	15	高知	5	(見込)		5.0	120.0	1.0	5.0	110.0	1.0	4.0	140	2.0	4-5	240.0	1.0	4-5	120	1.0	3-5	600	8.0	3-4	800	10.0	5=>4	300.0	1.0	3-4-5	1970.0	6.0	5=>4=>3	3380.0	12.0	45213	45231	45231	(4,5),3,2,1								
201154010803	ダ	右	1300	晴	良	16:40	C3　ー8		2011-1-8	15	高知	5	(見込)		6.0	450.0	3.0	6.0	160.0	2.0	4.0	110	1.0	4-6	190.0	1.0	4-6	130	1.0	6-7	230	4.0	4-7	150	2.0	6=>4	740.0	3.0	4-6-7	290.0	1.0	6=>4=>7	2000.0	6.0	6572431	6574231	6,(7,4),(5,2),3,1	6,(7,4),2,5,3,1								
201154010804	ダ	右	1300	晴	良	17:15	3歳		2011-1-8	15	高知	5	(見込)		9.0	2640.0	7.0	9.0	240.0	5.0	6.0	140	2.0	6-9	2190.0	8.0	6-9	1,070	10.0	4-9	1,020	9.0	4-6	270	2.0	9=>6	6070.0	17.0	4-6-9	2250.0	7.0	9=>6=>4	18650.0	53.0	610591148723112	610591148732112	610594117823112	6,9,(5,10),4,7,12,2,11,8,(1,3)			4.0	140.0	1.0			
201154012201	ダ	右	1300	晴	良	15:20	3歳　ー2		2011-1-22	16	高知	3	(見込)		5.0	260.0	2.0	5.0	150.0	1.0	2.0	170	3.0	2-5	680.0	5.0	2-5	160	2.0	5-7	150	1.0	2-7	190	3.0	5=>2	1640.0	11.0	2-5-7	350.0	2.0	5=>2=>7	2710.0	15.0	4765213	4765213	(7,6),4,5,2,1,3	6572413								
201154012301	ダ	右	1300	曇	良	15:20	C3　ー6		2011-1-23	16	高知	4	(見込)		8.0	100.0	1.0	8.0	100.0	1.0	4.0	110	2.0	4-8	110.0	1.0	4-8	100	1.0	7-8	110	2.0	4-7	230	5.0	8=>4	130.0	1.0	4-7-8	320.0	2.0	8=>4=>7	440.0	2.0	28743165	2,8,7,(3,4),1,6,5	2,8,7,4,3,(1,5),6	8,2,4,7,5,3,(1,6)			7.0	240.0	5.0			
201154020501	ダ	右	1400	晴	良	15:30	吾川スカイパーク特別		2011-2-5	17	高知	2	(見込)		9.0	750.0	4.0	9.0	260.0	4.0	10.0	170	3.0	9-10	1430.0	7.0	9-10	420	5.0	8-9	1,660	20.0	8-10	1,270	16.0	9=>10	2950.0	14.0	8-9-10	11290.0	29.0	9=>10=>8	120770.0	185.0	10,9,6,7,5,(1,8),2,4,3	9,10,6,5,7,(1,8),2,3,4	9,10,6,(5,7),(8,2),1,3,4	9,10,6,(7,8),(2,3),(5,1),4			8.0	830.0	7.0			
201154020502	ダ	右	1300	晴	良	16:00	3歳　ー2		2011-2-5	17	高知	2	(見込)		1.0	320.0	2.0	1.0	210.0	6.0	8.0	160	3.0	1-8	980.0	8.0	1-8	280	3.0	1-7	340	7.0	7-8	330	6.0	1=>8	990.0	1.0	1-7-8	720.0	3.0	1=>8=>7	5060.0	25.0	1,8,5,6,(3,7),2,4	18576342	18576342	18765342			7.0	170.0	4.0			
201154021201	ダ	右	1400	晴	重	15:30	寒風山トンネル特別		2011-2-12	17	高知	3	(見込)		8.0	130.0	1.0	8.0	100.0	2.0	6.0	100	1.0	6-8	140.0	1.0	6-8	120	1.0	4-8	190	2.0	4-6	190	3.0	8=>6	180.0	1.0	4-6-8	210.0	1.0	8=>6=>4	320.0	1.0	8,6,9,(1,3),4,5,7,2	869134527	8,6,9,4,3,1,5,(2,7)	864915372			4.0	130.0	3.0			
201154021202	ダ	右	1300	晴	重	16:00	C3　ー5		2011-2-12	17	高知	3	(見込)		3.0	100.0	1.0	3.0	100.0	1.0	7.0	530	6.0	3-7	770.0	4.0	3-7	800	7.0	3-6	180	2.0	6-7	2,340	10.0	3=>7	2100.0	5.0	3-6-7	1830.0	5.0	3=>7=>6	5590.0	10.0	(2,3),6,5,(1,7),9,(4,8)	2,3,(5,6),7,1,8,4,9	236751894	327689154			6.0	200.0	4.0			
