	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201047010101	ダ	右	1400	雪	不良	10:50	サラ系C6組		2010-1-1	16	笠松	5			6	830	4	6	740	7	4	690	6	3.0	290.0	3.0	4-6	5780	13	6=>4	12290	31.0	3-4-6	13840	27.0	6=>4=>3	164920	215.0		45768312.0	45768312.0	45768321.0								
201047010601	ダ	右	1400	晴	稍重	10:50	サラ系C24組		2010-1-6	17	笠松	1	牝		7	140	1	7	100	1	1	210	4	4.0	130.0	3.0	1-7	1480	5	7=>1	1200	4.0	1-4-7	720	2.0	7=>1=>4	2880	11.0		87412635.0	78142635.0	71824356.0								
201047010602	ダ	右	1400	晴	稍重	11:15	サラ系C22組		2010-1-6	17	笠松	1			5	170	1	5	200	2	7	480	6				5-7	1270	6	5=>7	2250	10.0	2-5-7	1510	7.0	5=>7=>2	10340	38.0		6873254.0	6872354.0	7825634.0								
201047010603	ダ	右	1400	晴	稍重	11:40	サラ系C21組		2010-1-6	17	笠松	1			8	280	2	8	120	2	6	150	4	9.0	110.0	1.0	6-8	1030	4	8=>6	1520	4.0	6-8-9	530	1.0	8=>6=>9	4300	11.0		479286351.0	749826513.0	789642513.0			6-8	590.0	3.0	8=>6	650.0	2.0
201047010604	ダ	右	1400	晴	稍重	12:10	サラ系C20組		2010-1-6	17	笠松	1			4	130	1	4	100	1	7	120	3	5.0	110.0	2.0	4-7	180	1	4=>7	300	1.0	4-5-7	770	4.0	4=>7=>5	1880	6.0		57418362.0	74518632.0	74518623.0								
201047010605	ダ	右	800	晴	稍重	12:40	祝重徳41歳誕生日記		2010-1-6	17	笠松	1			8	360	3	8	200	4	1	140	3	7.0	130.0	2.0	1-8	910	10	8=>1	2730	26.0	1-7-8	1040	5.0	8=>1=>7	6120	26.0				8763145.0								
201047010606	ダ	右	1400	晴	稍重	13:30	サラ系C19組		2010-1-6	17	笠松	1			7	300	2	7	120	2	6	100	1	4.0	170.0	5.0	6-7	220	1	7=>6	980	4.0	4-6-7	600	3.0	7=>6=>4	2510	10.0		47816532.0	47186523.0	47618523.0								
201047010607	ダ	右	1400	晴	稍重	14:00	サラ系C18組		2010-1-6	17	笠松	1			8	270	2	8	110	1	1	180	4	3.0	130.0	3.0	1-8	1100	5	8=>1	1400	7.0	1-3-8	1300	4.0	8=>1=>3	5060	17.0		58263147.0	58623147.0	58136274.0								
201047010608	ダ	右	1400	晴	稍重	14:35	サラ系C17組		2010-1-6	17	笠松	1			5	140	1	5	110	1	8	150	4	3.0	160.0	5.0	5-8	510	3	5=>8	600	2.0	3-5-8	370	2.0	5=>8=>3	1140	3.0		68537421.0	68537421.0	5,8,3,7,6,2,4=1								
201047010609	ダ	右	1600	晴	稍重	15:10	マックル賞		2010-1-6	17	笠松	1			6	280	1	6	100	2	7	100	3	8.0	100.0	1.0	6-7	360	1	6=>7	710	2.0	6-7-8	370	1.0	6=>7=>8	1470	1.0		9761381045.0	7963811054.0	7638410915.0			6-7	180.0	1.0	6=>7	300.0	1.0
