	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連複:的中	三連複:配当	三連複:人気
201053061302	ダ	右	1250	雨	重	11:20	3歳7　条件		2010-6-13	3	福山	6	(馬齢)		2	160	1.0	2	150	2	1	170	5	3.0	160	3.0	1-2	670	2	2=>1	1420	5	2=>1=>3	4070	11	24173865	24138675	24138675	2,4,1,3,8,6,7-5			1-2-3	1010.0	4.0
201053061303	ダ	右	1130	雨	重	11:55	C3		2010-6-13	3	福山	6	(馬齢)		8	170	1.0	8	100	1	6	120	2	4.0	220	6.0	6-8	850	4	8=>6	1170	4	8=>6=>4	8310	31	(2,8),(3,7),4,1,6,5	28371465	2,8,3,7,1,(4,6),5	(2,8),(3,7,6),(1,4),5			4-6-8	3030.0	11.0
201053061304	ダ	右	800	雨	重	12:30	JRA認定エリートス		2010-6-13	3	福山	6	(馬齢)		7	6890	9.0	7	620	6	5	980	9	10.0	230	2.0	5-7	87060	41	7=>5	215570	73	7=>5=>10	2407510	467			45726910318	4,7,2,5,10,6,9-3,1,8			5-7-10	117720.0	87.0
201053061305	ダ	右	800	雨	重	13:05	JRA認定エリートス		2010-6-13	3	福山	6	(馬齢)		6	370	2.0	6	150	2	8	110	1	3.0	250	5.0	6-8	360	1	6=>8	1110	3	6=>8=>3	3840	11			6,8,4,10,3-2,1-5,7-9	6,8-4,3,10,2,1-7,5=9			3-6-8	950.0	2.0
201053061306	ダ	右	1250	雨	不良	13:45	3歳6　条件		2010-6-13	3	福山	6	(馬齢)		2	470	3.0	2	130	3	6	100	2	1.0	100	1.0	2-6	770	4	2=>6	1290	7	2=>6=>1	2830	10	12463857	1,2,(4,6),3,8,5-7	1,2,(4,6),3,8,5-7	21643587			1-2-6	400.0	1.0
201053061307	ダ	右	1250	雨	不良	14:20	C2		2010-6-13	3	福山	6	(馬齢)		2	1490	4.0	2	140	3	9	150	4	7.0	120	1.0	2-9	2110	7	2=>9	7690	17	2=>9=>7	12480	34	4,5,8,(1,9),2,3,7,6	458192376	8,5,9,(4,1),7,2,3,6	9,8,2,(5,1,7),3,6-4			2-7-9	550.0	2.0
201053061308	ダ	右	1250	雨	不良	14:55	C1		2010-6-13	3	福山	6	(馬齢)		9	300	2.0	9	130	2	6	220	4	8.0	170	3.0	6-9	720	4	9=>6	1550	7	9=>6=>8	6580	23	9,8,6,7,4,5,3,(1,2)	986745312	9,(6,8),7,4,5,3,1,2	968745312			6-8-9	1930.0	7.0
201053061309	ダ	右	1600	雨	不良	15:30	すいれん特別 		2010-6-13	3	福山	6	(馬齢)		2	210	2.0	2	120	2	4	110	1	1.0	220	5.0	2-4	230	1	2=>4	530	2	2=>4=>1	1380	3	24781396510	24781365910	24713865910	2,4,7,1,3,6,5,8-9,10			1-2-4	430.0	1.0
201053061310	ダ	右	1600	雨	不良	16:10	JNB協賛シリーズ新 		2010-6-13	3	福山	6	(別定)		4	400	2.0	4	170	3	2	190	4	1.0	120	1.0	2-4	1740	11	4=>2	3360	18	4=>2=>1	12460	50	4,7,8,2,6,5,(1,3)	47826513	4,7,8,5,(2,6),(1,3)	42875613			1-2-4	2360.0	12.0
201053061311	ダ	右	1600	雨	不良	16:50	ふたご座特別 		2010-6-13	3	福山	6	(別定)		4	280	1.0	4	100	1	2	150	3	3.0	220	6.0	2-4	490	3	4=>2	650	2	4=>2=>3	4440	13	3,6,(1,2),4,5,8,7	3,6,(1,2),4,5,8,7	3,(2,4),6,5,8,1,7	3,(4,2),5,(6,8),7,1			2-3-4	1340.0	5.0
201053062001	ダ	右	1250	曇	稍重	10:50	C　12		2010-6-20	4	福山	1	(馬齢)		8	470	3.0	8	100	2	3	120	3	2.0	100	1.0	3-8	600	3	8=>3	1730	9	8=>3=>2	3230	11	3,9,(2,4,6),8,5,7,1	392648571	392864157	392846157			2-3-8	380.0	1.0
201053062002	ダ	右	1250	曇	稍重	11:25	C　11		2010-6-20	4	福山	1	(馬齢)		5	110	1.0	5	100	1	4	130	3	2.0	120	2.0	4-5	150	1	5=>4	160	1	5=>4=>2	580	2	53429110867	5-3,4,2,9,1,10,8,6,7	5-(3,4),2,9,10,6,7,8,1	5=4,3,2,10,6,9,7,8-1			2-4-5	350.0	2.0
201053062003	ダ	右	1130	雨	稍重	12:00	C　10		2010-6-20	4	福山	1	(馬齢)		2	570	3.0	2	150	2	10	120	1	3.0	150	2.0	2-10	550	1	2=>10	1260	6	2=>10=>3	1990	3	9,(6,7,10),(3,8),1,4,2,5	9,10,(6,7),8,3,2,1,4,5	9,10,(7,2),3,6,8,1,4,5	(9,10,2),7,3,8,1,6,4,5			2-3-10	490.0	1.0
201053062004	ダ	右	1250	雨	稍重	12:35	福山・高知連携円福寺		2010-6-20	4	福山	1	(馬齢)		7	340	2.0	7	140	3	3	130	1	10.0	130	2.0	3-7	750	3	7=>3	1030	4	7=>3=>10	3430	11	3571096418	3,5,7,(6,9,10),1,4,8	3,5,7,10,(6,9),4,1,8	3,(5,7),6,9,(10,4),1,8			3-7-10	810.0	3.0
201053062005	ダ	右	1600	曇	稍重	13:10	B6		2010-6-20	4	福山	1	(馬齢)		3	210	1.0	3	240	2	1	260	3	5.0	360	5.0	1-3	440	1	3=>1	670	1	3=>1=>5	2040	3	3,4,5,1,6,8,2-7	3,4,5,1,(2,8,6)-7	3,4,5,1,8,2,6=7	3,5,1,4,2,8,6=7			1-3-5	750.0	2.0
201053062006	ダ	右	1600	曇	稍重	13:45	3歳2　条件		2010-6-20	4	福山	1	(馬齢)		5	360	2.0	5	110	1	2	130	3	7.0	110	2.0	2-5	1110	4	5=>2	2800	12	5=>2=>7	6230	19	7,9,8,2,(3,5),1,6,4	7,9,8,2,(3,5),1,6,4	725893614	7,2,5-8,6,9,3,1,4			2-5-7	860.0	3.0
201053062007	ダ	右	1600	曇	稍重	14:20	3歳1　条件		2010-6-20	4	福山	1	(馬齢)		4	2020	7.0	4	560	7	7	630	8	1.0	300	5.0	4-7	23260	36	4=>7	47610	62	4=>7=>1	342680	328	29415731068	2,9,4,1-5,7,3,10,6,8	94217531086	49217356810			1-4-7	55450.0	71.0
201053062701	ダ	右	800	曇	不良	10:50	2歳2		2010-6-27	4	福山	2	(馬齢)		5	160	1.0	5	100	1	6	170	3				5-6	210	1	5=>6	260	1	5=>6=>1	1340	5			5,6,1,(4,3),2	561342			1-5-6	930.0	2.0
201053062702	ダ	右	800	曇	不良	11:25	2歳1		2010-6-27	4	福山	2	(馬齢)		6	380	3.0	6	200	2	3	210	3				3-6	630	3	6=>3	1420	7	6=>3=>2	2950	8			3,6,2,5,4,7=1	6,3,2,4,5,7=1			2-3-6	430.0	1.0
201053062703	ダ	右	1130	曇	重	12:00	福山・高知競馬連携騎		2010-6-27	4	福山	2	(馬齢)		5	290	2.0	5	120	1	10	120	2	9.0	150	4.0	5-10	850	3	5=>10	990	3	5=>10=>9	4890	16	5,1,8,7,3,9,2,(4,6),10	15879362410	15893106724	(1,5),9,8,10,3,6,2,4,7			5-9-10	1530.0	7.0
201053062704	ダ	右	1250	曇	重	12:35	福山・高知連携円福寺		2010-6-27	4	福山	2	(馬齢)		5	210	1.0	5	120	2	7	120	1	3.0	500	8.0	5-7	330	1	5=>7	530	1	5=>7=>3	19020	61	71253489106	71235489106	7,1,5,(3,2),(4,8),9,10,6	71532849106			3-5-7	6610.0	18.0
201053062705	ダ	右	1250	曇	重	13:10	福山・高知連携円福寺		2010-6-27	4	福山	2	(馬齢)		3	200	1.0	3	100	1	10	120	2	2.0	140	3.0	3-10	320	1	3=>10	370	1	3=>10=>2	1140	2	24710381956	24710381956	27104381956	21073481956			2-3-10	450.0	1.0
201053062706	ダ	右	1250	曇	重	13:45	福山・高知競馬連携騎		2010-6-27	4	福山	2	(馬齢)		6	830	4.0	6	150	2	8	180	4	9.0	110	1.0	6-8	17500	26	6=>8	18220	31	6=>8=>9	95680	145	914327865	913274685	913276845	916283754			6-8-9	3990.0	13.0
201053062707	ダ	右	1250	曇	重	14:20	福山・高知競馬連携騎		2010-6-27	4	福山	2	(馬齢)		6	3360	8.0	6	520	6	7	140	2	3.0	380	4.0	6-7	4190	11	6=>7	23180	28	6=>7=>3	334120	201	46279138	46279381	64729381	67429381			3-6-7	22490.0	34.0
201053062708	ダ	右	1250	曇	重	14:55	モッチ福山競馬署名ラ		2010-6-27	4	福山	2	(馬齢)		4	810	5.0	4	210	5	5	140	2	1.0	160	3.0	4-5	780	3	4=>5	2170	9	4=>5=>1	17470	59	2,5,6,(1,3,7),8,9,4	256137984	251637498	2,5,1,4,(8,6),7,3,9			1-4-5	1920.0	6.0
201053062709	ダ	右	1600	曇	重	15:35	夾竹桃特別 		2010-6-27	4	福山	2	(馬齢)		7	1210	5.0	7	670	7	3	150	2	1.0	270	5.0	3-7	4100	8	7=>3	15720	21	7=>3=>1	81950	98	934172658	9,3,1,4,2,7,6,(5,8)	9,3,7,1,(2,4),8,6,5	(9,3),(1,7)-2,8,6,4,5			1-3-7	4200.0	9.0
201053062710	ダ	右	1800	曇	重	16:15	福山チャンピオンシッ	G	2010-6-27	4	福山	2	(馬齢)		4	270	2.0	4	120	1	6	150	3	7.0	670	8.0	4-6	480	2	4=>6	950	3	4=>6=>7	17210	35	381425697	3,8,4,1,(2,5),6,9,7	4,8,3,5,(1,6),(2,7),9	4-8,3,(5,1),6,7,(2,9)			4-6-7	9900.0	17.0
201053070301	ダ	右	1250	雨	不良	11:50	C7		2010-7-3	4	福山	4	(馬齢)		7	2910	5.0	7	1,840	6	5	160	2				5-7	3900	9	7=>5	22280	30	7=>5=>1	33790	61	3571246	3,5,1,7,2,(6,4)	5371264	5713264			1-5-7	1860.0	6.0
201053070302	ダ	右	1250	雨	不良	12:20	福山・高知連携円福寺		2010-7-3	4	福山	4	(馬齢)		6	220	2.0	6	100	2	2	100	1				2-6	130	1	6=>2	490	2	6=>2=>5	1660	6	2,6,4,7,5=1	2,6,4,5,7=1	2,6,4,5,7=1	(2,6),4,5,7=1			2-5-6	500.0	3.0
201053070303	ダ	右	1130	雨	不良	12:50	C　10		2010-7-3	4	福山	4	(馬齢)		9	420	2.0	9	150	4	3	110	1	5.0	130	2.0	3-9	320	1	9=>3	790	3	9=>3=>5	5260	15	153784296	1,5,8,3,(2,4,7),9,6	1,5,(3,8,9),4,2,7,6	153928467			3-5-9	1170.0	4.0
201053070304	ダ	右	1250	雨	不良	13:20	福山・高知連携円福寺		2010-7-3	4	福山	4	(馬齢)		1	210	1.0	1	110	1	2	690	7	8.0	270	5.0	1-2	14860	23	1=>2	14510	31	1=>2=>8	426850	247	15287643	1,5,2,8,7,6,4=3	1,5,2,8,7,6,4=3	1,2,8,5,7,6,4=3			1-2-8	12760.0	25.0
201053070305	ダ	右	1250	雨	不良	13:55	C8		2010-7-3	4	福山	4	(馬齢)		1	160	1.0	1	100	1	8	100	2	5.0	110	3.0	1-8	400	2	1=>8	550	2	1=>8=>5	1390	3	1,4,5,2,3,7,(6,8)	1,2,4,5,(3,7),8,6	1,(2,4),5,(7,8),3,6	1,(2,4),5,8,7,3,6			1-5-8	520.0	1.0
201053070306	ダ	右	1250	雨	不良	14:30	C　12		2010-7-3	4	福山	4	(馬齢)		5	600	3.0	5	210	4	1	140	2	6.0	270	6.0	1-5	620	2	5=>1	1560	5	5=>1=>6	11790	38	294153876	2,9,4,1,5,(3,8),(7,6)	294156837	2,9,(4,1),5,6,(7,8),3			1-5-6	1380.0	5.0
201053070307	ダ	右	1250	雨	不良	15:05	C　11		2010-7-3	4	福山	4	(馬齢)		6	1580	5.0	6	230	3	8	330	4	3.0	610	6.0	6-8	5360	11	6=>8	6840	17	6=>8=>3	127480	140	629713548	6,9,2,(7,1),3,5,4,8	6,(9,2),1,7,3,5,8,4	629173854			3-6-8	23030.0	33.0
201053070308	ダ	右	1250	雨	不良	15:40	3歳2　条件		2010-7-3	4	福山	4	(馬齢)		8	360	2.0	8	180	3	1	200	5	7.0	600	8.0	1-8	470	1	8=>1	1050	2	8=>1=>7	12380	40	173856429	1,7,(3,8),5,6,4,2,9	178356429	178356429			1-7-8	3630.0	14.0
201053070309	ダ	右	1250	曇	不良	16:15	3歳1　条件		2010-7-3	4	福山	4	(馬齢)		9	140	1.0	9	130	1	8	170	4	4.0	170	3.0	8-9	470	1	9=>8	720	1	9=>8=>4	2240	2	(8,9),6,5,3,1,(2,4),7	896531427	896534127	8,9,6,5,3,4,(1,2),7			4-8-9	1130.0	3.0
201053071901	ダ	右	1250	晴	良	11:50	3歳5　条件		2010-7-19	5	福山	2	(馬齢)		7	120	1.0	7	110	1	6	140	3	5.0	430	7.0	6-7	350	2	7=>6	380	1	7=>6=>5	7050	24	1,7,6,(2,4,9),5,8,3	719624583	719624583	761952483			5-6-7	3760.0	8.0
201053071902	ダ	右	1250	晴	良	12:20	3歳4　条件		2010-7-19	5	福山	2	(馬齢)		8	1330	4.0	8	220	4	6	100	1	1.0	450	6.0	6-8	1170	5	8=>6	2370	9	8=>6=>1	27120	72	791854326	791845326	791853426	7,9,(1,8),5,4,3,6,2			1-6-8	5860.0	18.0
201053071903	ダ	右	1130	晴	良	12:50	C　10		2010-7-19	5	福山	2	(馬齢)		3	210	1.0	3	100	1	8	430	7	1.0	460	8.0	3-8	1120	5	3=>8	1590	5	3=>8=>1	10020	32	3,(5,7),9,1,8,2,6,4	357981264	(3,5),9,8,(1,7),(2,6),4	358916274			1-3-8	3120.0	12.0
201053071904	ダ	右	1250	晴	良	13:20	福山・高知連携魚屋万		2010-7-19	5	福山	2	(馬齢)		4	2700	5.0	4	270	3	9	700	6	2.0	980	7.0	4-9	8080	24	4=>9	22850	52	4=>9=>2	267890	351	2,5,9,10,6,4,(7,8),3,1	25910647831	2,(5,9),10,4,(6,1),(3,7),8	2,9,5,1,(10,6),4,3,7,8			2-4-9	214800.0	91.0
201053071905	ダ	右	1250	晴	良	13:55	福山・高知連携魚屋万		2010-7-19	5	福山	2	(馬齢)		3	110	1.0	3	130	1	9	180	3	6.0	220	5.0	3-9	420	1	3=>9	490	1	3=>9=>6	3400	8	671829534	6,7,1,(2,8),9,5,3,4	(6,7),2,(8,9),5,3,1,4	(6,7),9,2,3,5,8,4,1			3-6-9	1770.0	5.0
201053071906	ダ	右	1250	晴	良	14:30	C8		2010-7-19	5	福山	2	(馬齢)		2	260	1.0	2	110	1	8	210	5	9.0	120	2.0	2-8	1190	5	2=>8	2440	10	2=>8=>9	5590	19	91810736245	98110763245	9,8,1,(7,10),(6,2),3,4,5	9,8,2,1,7,6,4,(3,10),5			2-8-9	850.0	2.0
201053071907	ダ	右	1250	晴	良	15:05	3歳2　条件		2010-7-19	5	福山	2	(馬齢)		5	630	2.0	5	120	2	1	100	1	2.0	150	4.0	1-5	390	1	5=>1	1060	3	5=>1=>2	2490	5	152348769	152348769	152348679	152346879			1-2-5	530.0	1.0
201053071908	ダ	右	1250	晴	良	15:40	嬉騎手誕生日記念カッ		2010-7-19	5	福山	2	(馬齢)		2	500	3.0	2	210	3	3	210	4	6.0	320	8.0	2-3	9600	30	2=>3	13570	45	2=>3=>6	169800	370	2,5,1,(4,9),8,6,7-3,10	21459687310	2,1-4,5,6,8,7,9,3,10	2,1,(6,4),5,8,7,3,9,10			2-3-6	15850.0	58.0
201053072501	ダ	右	1250	晴	良	11:50	2歳3		2010-7-25	5	福山	3	(馬齢)		4	180	1.0	4	100	1	8	160	4	2.0	420	7.0	4-8	300	1	4=>8	360	1	4=>8=>2	2980	10	(1,2),4,9,6,8,5,3	2,4,1,9,(6,8),5,3	2,4,9,8,(1,6),3,5	(2,4),8,9,6,1,3,5			2-4-8	1450.0	4.0
201053072502	ダ	右	1250	晴	良	12:20	2歳2		2010-7-25	5	福山	3	(馬齢)		8	1360	4.0	8	290	4	2	1,100	8	4.0	240	2.0	2-8	15700	28	8=>2	45710	51	8=>2=>4	178150	254	(2,8),(1,4,9),3,6,5,7	(2,8),9,1,4,6,3,5,7	8,6,2,9,(1,4),3,5,7	862431957			2-4-8	9330.0	29.0
201053072503	ダ	右	1130	晴	良	12:50	C　13		2010-7-25	5	福山	3	(馬齢)		6	640	3.0	6	320	5	4	150	2	7.0	210	3.0	4-6	910	5	6=>4	2510	10	6=>4=>7	15950	44	791482536	7,9,4,1,8,(2,5),6,3	7,(9,4),1,8,5,3,6,2	(7,4),9,1,6,8,5,2,3			4-6-7	1710.0	8.0
201053072504	ダ	右	1250	晴	良	13:20	2歳1		2010-7-25	5	福山	3	(馬齢)		4	370	2.0	4	110	1	9	440	3	7.0	720	7.0	4-9	2070	9	4=>9	4020	13	4=>9=>7	15180	42	498271356	4,9,2,(1,8,5),7,3,6	4,9,(1,2),5,(8,7),6,3	4,9,(1,2),5,7-6,3,8			4-7-9	2510.0	5.0
201053072505	ダ	右	1250	晴	良	13:50	福山・高知連携魚屋万		2010-7-25	5	福山	3	(馬齢)		3	300	2.0	3	130	1	9	340	5	5.0	340	5.0	3-9	2690	12	3=>9	3150	10	3=>9=>5	50570	133	7,9,1,3,6,(2,4),8,5	791362485	9,7,3,1,6,(2,4),5,8	9,3,7,6,1,5,(2,4),8			3-5-9	6990.0	25.0
201053072506	ダ	右	1250	晴	良	14:25	3歳6　条件		2010-7-25	5	福山	3	(馬齢)		2	110	1.0	2	100	1	8	120	2	7.0	220	4.0	2-8	240	1	2=>8	390	1	2=>8=>7	1670	3	2,8,(1,7),4,3,9,5,6	2,8,(1,7),4,3,5,9,6	287143596	287415396			2-7-8	500.0	2.0
201053072507	ダ	右	1250	晴	良	15:00	C　12		2010-7-25	5	福山	3	(馬齢)		7	180	1.0	7	260	2	4	420	4	9.0	610	5.0	4-7	480	1	7=>4	490	1	7=>4=>9	1670	2	6,7,(1,2),3,8,4,(9,5)	671243895	(6,7),1,(2,4),(9,8,5),3	7,6,4,1,(9,5),8,(2,3)			4-7-9	710.0	3.0
201053072508	ダ	右	1250	晴	良	15:35	林家次男大也の新妻は		2010-7-25	5	福山	3	(馬齢)		8	100	1.0	8	140	2	1	520	7	6.0	450	6.0	1-8	1600	5	8=>1	2220	7	8=>1=>6	25680	42	8,6,5,1,9,(3,7),2,4	865913274	865193427	8-6,1,5,9,3,2,4,7			1-6-8	10340.0	17.0
201053073101	ダ	右	1250	晴	良	11:50	福山・高知連携魚屋万		2010-7-31	5	福山	4	(馬齢)		3	460	2.0	3	130	2	7	480	7	5.0	290	5.0	3-7	7400	17	3=>7	12910	27	3=>7=>5	68290	125	32451876	34251867	3,(2,1,4,5),8,7,6	35812746			3-5-7	4870.0	17.0
201053073102	ダ	右	1250	晴	良	12:20	福山・高知連携魚屋万		2010-7-31	5	福山	4	(馬齢)		5	260	2.0	5	100	1	1	190	5	9.0	120	2.0	1-5	510	2	5=>1	530	2	5=>1=>9	1890	5	9,(1,5),(3,7),2,8,6,4	951732846	951738264	591738264			1-5-9	730.0	2.0
201053073103	ダ	右	1130	晴	良	12:50	C2		2010-7-31	5	福山	4	(馬齢)		2	220	1.0	2	100	1	1	110	2	7.0	180	4.0	1-2	370	2	2=>1	700	2	2=>1=>7	3010	10	16475832	16475283	16745283	1,(6,7),2,5,4,8,3			1-2-7	950.0	3.0
201053073104	ダ	右	1250	晴	良	13:20	福山・高知連携魚屋万		2010-7-31	5	福山	4	(馬齢)		6	170	1.0	6	100	1	1	120	3	7.0	110	2.0	1-6	720	3	6=>1	1060	5	6=>1=>7	2740	9	2,7,6,1,5,4,(3,8),9	276154839	2,7,6-1-5,4,3,8-9	(2,7),6,1,5-4,3,8,9			1-6-7	570.0	2.0
201053073105	ダ	右	800	晴	良	13:50	JRA認定エリートス		2010-7-31	5	福山	4	(馬齢)		5	190	1.0	5	120	2	6	100	1	3.0	320	6.0	5-6	240	1	5=>6	330	1	5=>6=>3	2320	6			635927418.0	563972418.0			3-5-6	1270.0	4.0
201053073106	ダ	右	1250	晴	良	14:30	3歳2　条件		2010-7-31	5	福山	4	(馬齢)		6	170	1.0	6	110	1	7	350	6	2.0	390	7.0	6-7	700	3	6=>7	890	3	6=>7=>2	5730	22	1,6,(2,7),(3,9),5,8,4	1,6,2,7,3,9,5,(4,8)	1,6,7,2,3,9,5,(4,8)	6,1,(2,7),3,5,9,4,8			2-6-7	2240.0	8.0
201053073107	ダ	右	1250	晴	良	15:05	3歳1　条件		2010-7-31	5	福山	4	(馬齢)		9	660	5.0	9	140	2	4	140	1	6.0	630	9.0	4-9	2510	12	9=>4	5290	21	9=>4=>6	124390	248	496382157	493621857	493628157	4,9,6,3,2,1,(8,5,7)			4-6-9	32750.0	58.0
201053073108	ダ	右	1250	晴	良	15:40	B6		2010-7-31	5	福山	4	(馬齢)		1	150	1.0	1	100	1	3	120	2	8.0	120	2.0	1-3	350	1	1=>3	300	1	1=>3=>8	1030	2	18934625	18394265	1,8,3,9,(2,4),(6,5)	1,8,3,2,6,5,(4,9)			1-3-8	480.0	1.0
201053073109	ダ	右	1250	晴	良	16:15	B5		2010-7-31	5	福山	4	(馬齢)		5	3050	7.0	5	520	7	1	160	2	9.0	270	5.0	1-5	3960	14	5=>1	12840	35	5=>1=>9	107740	189	(2,5),8,9,1,3,4,6,7	2,5,(8,9),1,3,4,6,7	259184367	5,2,1,9,8,(4,3),6,7			1-5-9	11270.0	29.0
201053073110	ダ	右	1600	晴	良	16:50	夕凪特別 		2010-7-31	5	福山	4	(別定)		3	310	2.0	3	140	3	4	150	4	8.0	100	1.0	3-4	1760	7	3=>4	2510	10	3=>4=>8	8440	29	34625187	34625187	3,4-6,2,5,8,7,1	3,4-6,2,5,8,1,7			3-4-8	790.0	3.0
201053073111	ダ	右	1600	晴	良	17:30	ひまわり特別 		2010-7-31	5	福山	4	(別定)		5	150	1.0	5	100	1	3	100	2	1.0	190	5.0	3-5	130	1	5=>3	180	1	5=>3=>1	400	1	5,6,1,8-4,3-2,7	56184372	5,3,8,1,4,(6,7,2)	5,3-8,1,4,2,7=6			1-3-5	230.0	1.0
201053081301	ダ	右	1250	曇	良	11:50	福山・高知連携対潮楼		2010-8-13	6	福山	1	(馬齢)		9	130	1.0	9	100	1	5	120	2	3.0	170	4.0	5-9	170	1	9=>5	200	1	9=>5=>3	650	2	512689734	512869374	5,1,9,(2,6),3,8,7,4	9,5,1,2,3,6,(8,7),4			3-5-9	350.0	2.0
201053081302	ダ	右	1250	曇	良	12:20	C6		2010-8-13	6	福山	1	(馬齢)		特	70		6	2,060	9	4	100	1	7.0	110	2.0	4-6	11210	16	6=>4	79530	47	6=>4=>7	592180	307	4,1,6,(5,2),9,8,7,3	416592873	4,6,1,5,(9,8),2,7,3	4,6,1,8,5,(9,7),2,3			4-6-7	18530.0	27.0
201053081303	ダ	右	1130	曇	良	12:50	C5		2010-8-13	6	福山	1	(馬齢)		10	440	3.0	10	380	4	4	430	5	1.0	1,490	6.0	4-10	4930	11	10=>4	7860	18	10=>4=>1	94460	143	7,8,6,10,(1,4),9,3,2,5	7,8,6,10,4,1,(2,9,5),3	(7,8),10,6,4,1,9,5,3,2	87106419532			1-4-10	15470.0	30.0
201053081304	ダ	右	1250	曇	良	13:20	福山・高知連携対潮楼		2010-8-13	6	福山	1	(馬齢)		7	1770	4.0	7	210	5	2	100	1	4.0	120	2.0	2-7	1490	6	7=>2	6810	17	7=>2=>4	28730	61	47186325	41786235	47816235	74281635			2-4-7	1610.0	5.0
201053081305	ダ	右	1250	曇	良	13:50	福山・高知連携対潮楼		2010-8-13	6	福山	1	(馬齢)		2	190	1.0	2	100	1	8	170	3	7.0	570	6.0	2-8	570	2	2=>8	740	2	2=>8=>7	5590	16	(1,4,6),(2,5),8,9,7,3	14258973	2,(1,4),5,8,9,7,3	28947531			2-7-8	3100.0	9.0
201053081306	ダ	右	1250	曇	良	14:25	福山・高知連携対潮楼		2010-8-13	6	福山	1	(馬齢)		3	920	4.0	3	140	4	2	100	1	9.0	100	2.0	2-3	420	2	3=>2	1700	6	3=>2=>9	4580	13	29351047618	29351046718	29351046718	2,3,9,5,10,(4,6),1,7,8			2-3-9	330.0	1.0
201053081307	ダ	右	1250	曇	良	15:00	福山・高知連携対潮楼		2010-8-13	6	福山	1	(馬齢)		3	1500	5.0	3	170	4	4	140	3	6.0	130	2.0	3-4	1000	6	3=>4	2930	12	3=>4=>6	8540	29	35297681014	3,5,2,7,9,6,8,(1,10,4)	3-2,6,(5,7,9),8,1,10,4	3,6,2,(8,7),4,9,1,10,5			3-4-6	1060.0	4.0
201053081308	ダ	右	1250	曇	良	15:35	北井・横山家結婚記念		2010-8-13	6	福山	1	(馬齢)		9	380	2.0	9	220	4	4	840	7	8.0	130	2.0	4-9	7880	16	9=>4	7800	25	9=>4=>8	162850	205	136278945	136278945	1,3,6,(2,7),4,8,9,5	1,3,4,8,9,6,(2,7),5			4-8-9	9250.0	21.0
201053081309	ダ	右	1250	曇	良	16:10	3歳1　条件		2010-8-13	6	福山	1	(馬齢)		5	450	3.0	5	320	5	8	180	2	6.0	670	8.0	5-8	930	2	5=>8	2120	5	5=>8=>6	17330	54	3,6,8,1,4,2,5,9-7	3,6,8,1,4,2,5,9-7	3,6,8,1,5,2,9,4-7	(3,6,8),5,2,1,9,7,4			5-6-8	2950.0	10.0
201053081401	ダ	右	1250	晴	良	11:50	2歳2		2010-8-14	6	福山	2	(馬齢)		9	640	2.0	9	150	2	2	320	8	10.0	120	1.0	2-9	2570	10	9=>2	3590	11	9=>2=>10	12170	38	2,9,10,5,1,4,(3,6,8),7	29105164378	2,9,10,1,5,6,3,7,4-8	2,9,1,10,5,3,6,7-4=8			2-9-10	1670.0	4.0
201053081402	ダ	右	1250	晴	良	12:20	2歳1		2010-8-14	6	福山	2	(馬齢)		8	150	1.0	8	100	1	6	140	2	3.0	190	5.0	6-8	330	1	8=>6	350	1	8=>6=>3	1130	1	26893410175	26839147510	(2,6),8-(1,3,4),7,9,5,10	6,8,2,(1,3),4,7,5,9,10			3-6-8	530.0	1.0
201053081403	ダ	右	1130	晴	良	12:50	C9		2010-8-14	6	福山	2	(馬齢)		4	100	1.0	4	110	1	2	290	5	5.0	460	7.0	2-4	450	2	4=>2	480	3	4=>2=>5	3410	16	249361785	249361758	429631578	429315768			2-4-5	2240.0	9.0
201053081501	ダ	右	1250	晴	良	11:50	2歳4		2010-8-15	6	福山	3	(馬齢)		4	580	3.0	4	530	5	9	630	7	1.0	220	3.0	4-9	2970	11	4=>9	6780	23	4=>9=>1	22310	79	918476352	9,1,4,8,7,6-5,3,2	9,1,4,8,7-6,3,5,2	9,1,4-8,3,7,2,6,5			1-4-9	1020.0	3.0
201053081502	ダ	右	1250	晴	良	12:20	2歳3		2010-8-15	6	福山	3	(馬齢)		7	990	5.0	7	320	6	8	210	2	10.0	210	2.0	7-8	2030	8	7=>8	4730	19	7=>8=>10	34920	101	2,3,8,(1,5,7),9,4,6,10	23857110496	(2,3,8),7,5,(1,10),4,9,6	83721051946			7-8-10	6270.0	18.0
201053081503	ダ	右	1130	晴	良	12:50	福山・高知競馬連携騎		2010-8-15	6	福山	3	(馬齢)		7	250	2.0	7	110	2	2	100	1	8.0	200	4.0	2-7	250	1	7=>2	370	1	7=>2=>8	1350	1	(2,8),(4,5),7,(3,6),1,9	284573691	2,8,7,4,3,5,9,6-1	2,8,7,4,3,9,6,5-1			2-7-8	440.0	1.0
