	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
201048010403	ダ	右	800	晴	良	11:50	サラC5組		2010-1-4	20	名古屋	5	(定量)		2	300	2	2	120	2	5	100	1	3.0	130	3.0	2-5	160.0	1.0	2-5	170	1	2=>5	480.0	3.0	2=>5	590	3.0	2-3-5	210	1.0	2=>5=>3	1320	4.0				258376914.0		
201048010404	ダ	右	1400	晴	良	12:20	サラC4組		2010-1-4	20	名古屋	5	(定量)		1	150	1	1	100	1	2	100	2	7.0	130	4.0	1-2	150.0	1.0	1-2	150	1	1=>2	130.0	1.0	1=>2	290	1.0	1-2-7	260	1.0	1=>2=>7	760	2.0		179268453.0	179268543.0	179265843.0		
201048010405	ダ	右	1400	晴	良	12:55	サラC3組		2010-1-4	20	名古屋	5	(定量)		5	4090	7	5	530	7	4	100	1	6.0	110	2.0	4-5	2710.0	12.0	4-5	3330	10	5=>4	14290.0	30.0	5=>4	12480	27.0	4-5-6	1640	6.0	5=>4=>6	39420	93.0		563749128.0	567341829.0	567431829.0		
201048010406	ダ	右	1400	晴	良	13:30	サラC2組		2010-1-4	20	名古屋	5	(定量)		7	940	4	7	170	4	3	150	3	8.0	100	1.0				3-7	1600	7				7=>3	3410	13.0	3-7-8	680	3.0	7=>3=>8	4640	20.0		73846125.0	73864125.0	73864152.0		
201048010407	ダ	右	1400	晴	良	14:05	千両特別 		2010-1-4	20	名古屋	5	(定量)		7	210	1	7	150	3	5	380	5	4.0	120	2.0				5-7	1710	4				7=>5	1540	7.0	4-5-7	1090	3.0	7=>5=>4	5740	17.0		72456138.0	72451638.0	72451368.0		
201048010408	ダ	右	1600	晴	良	14:40	初夢特別 		2010-1-4	20	名古屋	5			7	350	2	7	100	1	6	130	2	1.0	1,370	9.0	6-7	870.0	3.0	6-7	690	3	7=>6	1180.0	4.0	7=>6	1760	7.0	1-6-7	15400	30.0	7=>6=>1	70740	115.0		869724351.0	869725431.0	867529341.0		
201048010409	ダ	右	1400	晴	良	15:15	門松特別 		2010-1-4	20	名古屋	5	(定量)		4	240	2	4	100	1	3	120	2	2.0	150	4.0	3-4	210.0	1.0	3-4	200	1	4=>3	410.0	1.0	4=>3	450	2.0	2-3-4	350	1.0	4=>3=>2	1280	2.0		49361075281.0	49310627581.0	49310267581.0		
201048011101	ダ	右	800	曇	良	10:50	サラC28組		2010-1-11	21	名古屋	1	(定量)		5	100	1	5	100	1	4	260	4	1.0	500	5.0	4-5	310.0	2.0	4-5	640	3	5=>4	570.0	3.0	5=>4	620	3.0	1-4-5	3380	9.0	5=>4=>1	2320	7.0				51041728963.0		
201048011102	ダ	右	1400	曇	良	11:20	サラC27組		2010-1-11	21	名古屋	1	(定量)		3	210	1	3	100	1	4	200	4	6.0	110	2.0	3-4	420.0	2.0	3-4	490	3	3=>4	660.0	2.0	3=>4	880	4.0	3-4-6	350	1.0	3=>4=>6	1410	2.0		46938101725.0	46931082175.0	46391028517.0		
201048011103	ダ	右	1400	曇	良	11:50	サラC26組		2010-1-11	21	名古屋	1	(定量)		6	3380	7	6	700	7	4	240	4	8.0	740	8.0	4-6	3810.0	14.0	4-6	7400	17	6=>4	29500.0	41.0	6=>4	25230	40.0	4-6-8	70660	65.0	6=>4=>8	457310	330.0		86725493101.0	86725943110.0	86725439110.0		
201048011104	ダ	右	1300	曇	良	12:20	サラC25組		2010-1-11	21	名古屋	1	(定量)		4	120	1	4	110	1	7	190	3	6.0	340	7.0	4-7	140.0	1.0	4-7	650	4	4=>7	160.0	1.0	4=>7	750	3.0	4-6-7	4430	15.0	4=>7=>6	10250	22.0		46879102135.0	46879102135.0	46879210135.0		
201048011105	ダ	右	1400	曇	良	12:50	せれくとカップ馬ピグ		2010-1-11	21	名古屋	1	(定量)		1	1520	6	1	310	7	3	120	1	4.0	240	5.0	1-3	1530.0	6.0	1-3	1190	5	1=>3	8180.0	25.0	1=>3	5380	19.0	1-3-4	3340	15.0	1=>3=>4	33070	103.0		36911074258.0	36911074258.0	36911074258.0		
201048011106	ダ	右	1600	曇	良	13:20	丹頂鶴特別 		2010-1-11	21	名古屋	1	(定量)		7	100	1	7	100	2	4	100	1	6.0	220	7.0				4-7	120	1				7=>4	150	1.0	4-6-7	1680	5.0	7=>4=>6	3560	11.0		78364152.0	74836152.0	74385162.0		
201048011107	ダ	右	1400	曇	良	13:50	啓・理恵新婚生活ゲー		2010-1-11	21	名古屋	1	(定量)		7	120	1	7	110	1	2	190	4	3.0	790	8.0	2-7	310.0	1.0	2-7	290	1	7=>2	580.0	1.0	7=>2	540	1.0	2-3-7	2440	10.0	7=>2=>3	5000	18.0		47923101658.0	47293110658.0	47293151068.0		
201048011108	ダ	右	1400	曇	良	14:20	系統豚シンボルマーク		2010-1-11	21	名古屋	1	(定量)		9	210	1	9	100	1	1	110	2	2.0	280	7.0	1-8	380.0	1.0	1-9	320	1	8=>1	500.0	1.0	9=>1	600	1.0	1-2-9	1650	5.0	9=>1=>2	3490	9.0		129345786.0	129354786.0	192345786.0		
201048011109	ダ	右	1600	曇	良	14:50	サラB3組		2010-1-11	21	名古屋	1	(定量)		5	160	1	5	100	1	4	110	2	6.0	120	3.0	4-5	1290.0	6.0	4-5	1110	4	5=>4	1100.0	4.0	5=>4	1170	3.0	4-5-6	530	3.0	5=>4=>6	3430	10.0		567349281.0	567439281.0	567423981.0		
201048011110	ダ	右	1400	曇	良	15:45	サラB2組		2010-1-11	21	名古屋	1	(定量)		2	510	3	2	110	3	6	100	2	8.0	100	1.0				2-6	1100	4				2=>6	3090	14.0	2-6-8	530	1.0	2=>6=>8	7790	29.0		14825637.0	18425637.0	18465237.0		
201048011201	ダ	右	1400	曇	良	10:50	サラ3歳5組		2010-1-12	21	名古屋	2	(定量)		3	210	2	3	100	2	1	150	4	5.0	100	1.0				1-3	1760	5				3=>1	2120	6.0	1-3-5	520	2.0	3=>1=>5	3630	13.0		35184726.0	35184726.0	31548726.0		
201048011202	ダ	右	1400	曇	良	11:20	サラ3歳4組		2010-1-12	21	名古屋	2	(定量)		7	260	2	7	110	2	6	140	4	5.0	100	1.0				6-7	1150	4				7=>6	2560	7.0	5-6-7	280	2.0	7=>6=>5	2780	8.0		75236418.0	75364218.0	75634218.0		
201048011203	ダ	右	800	小雨	良	11:50	サラC22組		2010-1-12	21	名古屋	2	(定量)		6	320	2	6	180	3	9	120	2	1.0	450	7.0	6-8	550.0	3.0	6-9	630	3	6=>8	870.0	3.0	6=>9	850	3.0	1-6-9	2460	11.0	6=>9=>1	4920	13.0				96315102487.0		
201048011204	ダ	右	1400	小雨	良	12:20	サラC21組		2010-1-12	21	名古屋	2	(定量)		9	140	1	9	120	1	10	210	4	1.0	130	3.0	8-8	570.0	3.0	9-10	660	3	8=>8	690.0	4.0	9=>10	880	4.0	1-9-10	590	2.0	9=>10=>1	2450	6.0		95710214638.0	97105216483.0	91017625843.0		
201048011205	ダ	右	1400	小雨	良	12:50	サラC20組		2010-1-12	21	名古屋	2	(定量)		5	320	2	5	180	3	4	900	9	6.0	180	2.0	4-5	3720.0	11.0	4-5	3100	11	5=>4	8960.0	26.0	5=>4	14350	28.0	4-5-6	4020	14.0	5=>4=>6	37090	92.0		69825101743.0	69825411037.0	69428513107.0		
201048011206	ダ	右	1300	小雨	良	13:20	サラC19組		2010-1-12	21	名古屋	2	(定量)		3	340	3	3	110	2	6	100	1	2.0	150	4.0	3-6	450.0	2.0	3-6	460	1	3=>6	990.0	6.0	3=>6	1090	5.0	2-3-6	420	1.0	3=>6=>2	1930	6.0		37621581049.0	37621851049.0	36721854910.0		
201048011207	ダ	右	1400	小雨	良	13:50	正紀&登茂美祝結婚く		2010-1-12	21	名古屋	2	(定量)		3	150	1	3	100	1	1	130	4	10.0	130	3.0	1-3	280.0	2.0	1-3	260	1	3=>1	360.0	2.0	3=>1	410	2.0	1-3-10	310	2.0	3=>1=>10	890	4.0		37814106529.0	37814105629.0	31781045629.0		
201048011301	ダ	右	1400	晴	良	10:50	サラ3歳3組		2010-1-13	21	名古屋	3	(定量)		7	140	1	7	100	2	2	110	3	9.0	100	1.0	2-7	560.0	2.0	2-7	720	2	7=>2	780.0	3.0	7=>2	790	3.0	2-7-9	200	1.0	7=>2=>9	1180	3.0		26793148.0	26793418.0	72936418.0		
201048011302	ダ	右	1300	晴	良	11:15	サラC16組		2010-1-13	21	名古屋	3	(定量)		7	190	1	7	120	2	1	100	1	6.0	200	5.0	1-7	250.0	1.0	1-7	250	1	7=>1	290.0	1.0	7=>1	280	1.0	1-6-7	1350	5.0	7=>1=>6	2290	6.0		67913258410.0	67915384210.0	67915348102.0		
201048011303	ダ	右	1400	晴	良	11:45	サラC15組		2010-1-13	21	名古屋	3	(定量)		5	120	1	5	100	1	10	100	2	4.0	120	3.0	5-8	110.0	1.0	5-10	110	1	5=>8	140.0	1.0	5=>10	180	1.0	4-5-10	210	1.0	5=>10=>4	380	1.0		5109418732.0	5109418723.0	5104198732.0		
201048011304	ダ	右	800	晴	良	12:15	サラC14組		2010-1-13	21	名古屋	3	(定量)		4	810	3	4	130	3	1	110	2	3.0	100	1.0	1-4	1060.0	4.0	1-4	980	4	4=>1	2220.0	8.0	4=>1	2770	9.0	1-3-4	190	1.0	4=>1=>3	4210	15.0				23418976510.0		
201048011305	ダ	右	1400	晴	良	12:45	サラC13組		2010-1-13	21	名古屋	3	(定量)		2	540	3	2	110	1	7	110	2	1.0	210	4.0	2-7	360.0	2.0	2-7	370	2	2=>7	1260.0	5.0	2=>7	1260	5.0	1-2-7	1130	5.0	2=>7=>1	5550	19.0		27913510648.0	27913561048.0	27915368410.0		
201048011306	ダ	右	1400	晴	良	13:15	サラC12組		2010-1-13	21	名古屋	3	(定量)		9	150	1	9	100	1	10	100	3	8.0	100	2.0	8-8	680.0	2.0	9-10	680	2	8=>8	960.0	3.0	9=>10	900	3.0	8-9-10	160	1.0	9=>10=>8	1340	5.0		10894657123.0	10894657132.0	10894657132.0		
201048011501	ダ	右	800	晴	良	10:50	サラ3歳8組		2010-1-15	21	名古屋	5	(定量)		9	180	1	9	100	1	2	100	2	4.0	120	4.0	2-8	170.0	1.0	2-9	210	1	8=>2	320.0	1.0	9=>2	250	1.0	2-4-9	440	2.0	9=>2=>4	940	3.0				924685137.0		
201048011502	ダ	右	1400	晴	良	11:15	サラC6組		2010-1-15	21	名古屋	5	(定量)		2	280	2	2	100	2	7	100	1	9.0	260	5.0	2-7	160.0	1.0	2-7	160	1	2=>7	220.0	1.0	2=>7	230	1.0	2-7-9	2240	5.0	2=>7=>9	6600	14.0		26791583410.0	26791543810.0	27691543810.0		
201048011503	ダ	右	1300	晴	良	11:45	サラC5組		2010-1-15	21	名古屋	5	(定量)		4	120	1	4	100	1	9	100	2	6.0	130	3.0	4-8	130.0	1.0	4-9	180	1	4=>8	150.0	1.0	4=>9	180	1.0	4-6-9	230	1.0	4=>9=>6	380	1.0		47691285103.0	49716283105.0	49176821035.0		
201048011504	ダ	右	1400	晴	良	12:15	桜高軽音部・澪ちゃん		2010-1-15	21	名古屋	5	(定量)		5	120	1	5	100	1	1	100	2	3.0	140	3.0	1-5	230.0	1.0	1-5	190	1	5=>1	260.0	1.0	5=>1	230	1.0	1-3-5	220	1.0	5=>1=>3	470	1.0		13958621047.0	13985621074.0	13985627104.0		
201048011505	ダ	右	1400	晴	良	12:45	サラC3組		2010-1-15	21	名古屋	5	(定量)		8	620	2	8	110	2	4	100	1	2.0	180	5.0	4-8	180.0	1.0	4-8	180	1	8=>4	630.0	2.0	8=>4	840	2.0	2-4-8	720	4.0	8=>4=>2	5480	17.0		486231597.0	486231975.0	486231975.0		
201048011506	ダ	右	1400	晴	良	13:15	サラC2組		2010-1-15	21	名古屋	5	(定量)		4	130	1	4	100	2	5	100	1	9.0	140	3.0	4-5	120.0	1.0	4-5	120	1	4=>5	220.0	2.0	4=>5	180	1.0	4-5-9	270	1.0	4=>5=>9	610	1.0		457198326.0	451798623.0	451967823.0		
201048011507	ダ	右	1600	晴	良	13:45	サラB14組		2010-1-15	21	名古屋	5	(定量)		3	230	1	3	120	1	9	170	4	10.0	360	6.0	3-8	340.0	1.0	3-9	420	1	3=>8	450.0	1.0	3=>9	480	1.0	3-9-10	900	4.0	3=>9=>10	2700	6.0		39782106514.0	39872106514.0	39728106514.0		
201048011508	ダ	右	1400	晴	良	14:15	琉聖君誕生日記念		2010-1-15	21	名古屋	5	(定量)		10	120	1	10	110	1	5	120	2	9.0	200	4.0	5-8	280.0	2.0	5-10	320	2	8=>5	330.0	2.0	10=>5	360	2.0	5-9-10	640	2.0	10=>5=>9	1110	3.0		10925841367.0	10925841367.0	10952841367.0		
201048011509	ダ	右	1600	晴	良	14:45	サラB12組		2010-1-15	21	名古屋	5	(定量)		1	110	1	1	100	1	8	160	4	4.0	100	2.0	1-7	660.0	3.0	1-8	860	3	1=>7	990.0	4.0	1=>8	1020	4.0	1-4-8	420	2.0	1=>8=>4	1740	5.0		1710468935.0	1710468935.0	1410768935.0		
201048011510	ダ	右	1600	晴	良	15:15	なずな特別 		2010-1-15	21	名古屋	5	(定量)		3	130	1	3	100	2	2	100	1	5.0	170	4.0	2-3	150.0	1.0	2-3	130	1	3=>2	210.0	1.0	3=>2	180	1.0	2-3-5	610	3.0	3=>2=>5	1260	5.0		239148675.0	239184756.0	239781546.0		
201048012501	ダ	右	800	晴	良	10:50	サラC28組		2010-1-25	22	名古屋	1	(定量)		9	3340	6	9	560	6	1	160	3	3.0	140	2.0	1-8	820.0	4.0	1-9	5060	15	8=>1	1480.0	6.0	9=>1	23720	41.0	1-3-9	2130	8.0	9=>1=>3	39330	109.0				13961027548.0		
201048012502	ダ	右	1400	晴	良	11:20	サラC27組		2010-1-25	22	名古屋	1	(定量)		5	170	1	5	130	3	10	120	2	9.0	150	4.0	5-8	190.0	1.0	5-10	280	1	5=>8	360.0	2.0	5=>10	450	1.0	5-9-10	300	1.0	5=>10=>9	1120	1.0		61051984723.0	61051984273.0	10561892437.0		
201048012503	ダ	右	1400	晴	良	11:50	サラC26組		2010-1-25	22	名古屋	1	(定量)		10	1810	5	10	190	4	6	120	1	9.0	210	5.0	6-8	590.0	3.0	6-10	3570	8	8=>6	2580.0	8.0	10=>6	6430	14.0	6-9-10	1780	6.0	10=>6=>9	26940	56.0		51068249731.0	51068942731.0	51096483721.0		
201048012504	ダ	右	1300	晴	良	12:20	サラC25組		2010-1-25	22	名古屋	1	(定量)		7	1260	7	7	440	8	10	190	4	2.0	130	1.0	7-8	1590.0	6.0	7-10	2830	13	7=>8	2200.0	10.0	7=>10	7090	32.0	2-7-10	16010	47.0	7=>10=>2	144320	333.0		97310264518.0	97210364518.0	97210634518.0		
201048012505	ダ	右	1400	晴	良	12:50	サラC24組		2010-1-25	22	名古屋	1	(定量)		9	1060	6	9	400	7	6	200	4	5.0	160	2.0	6-8	870.0	5.0	6-9	4320	19	8=>6	1930.0	10.0	9=>6	11360	38.0	5-6-9	3260	16.0	9=>6=>5	47610	156.0		61059723418.0	61095723418.0	69510723841.0		
201048012506	ダ	右	1600	晴	良	13:25	白鳥特別 		2010-1-25	22	名古屋	1	(定量)		6	120	1	6	100	1	8	300	7	3.0	140	2.0				6-8	1510	6				6=>8	1700	7.0	3-6-8	2170	12.0	6=>8=>3	10470	33.0		35624817.0	35642817.0	36542817.0		
201048012507	ダ	右	1600	曇	良	14:00	ブンビーさん社長就任		2010-1-25	22	名古屋	1	(定量)		9	430	3	9	150	3	1	100	1	8.0	180	4.0	1-8	410.0	2.0	1-9	500	2	8=>1	1140.0	5.0	9=>1	1130	4.0	1-8-9	970	3.0	9=>1=>8	3700	11.0		12451078936.0	12541078936.0	12958471063.0		
201048012508	ダ	右	1400	曇	良	14:35	ARC賞惇・元気合格		2010-1-25	22	名古屋	1	(定量)		4	590	3	4	110	3	10	100	2	9.0	100	1.0	4-8	340.0	2.0	4-10	940	4	4=>8	1000.0	4.0	4=>10	1840	8.0	4-9-10	340	1.0	4=>10=>9	3910	13.0		49103856172.0	49103856712.0	49310856172.0		
201048012509	ダ	右	1400	曇	良	15:10	サラA4組		2010-1-25	22	名古屋	1	(定量)		7	360	2	7	180	4	9	130	1	4.0	1,010	10.0	7-8	370.0	2.0	7-9	530	3	7=>8	540.0	2.0	7=>9	1160	4.0	4-7-9	38400	53.0	7=>9=>4	126170	210.0		27101398645.0	27101398645.0	72101398465.0		
201048012510	ダ	右	1600	曇	良	15:45	プリムラ特別 		2010-1-25	22	名古屋	1	(定量)		10	100	1	10	110	1	1	170	3	7.0	220	4.0	1-8	260.0	1.0	1-10	260	1	8=>1	380.0	1.0	10=>1	420	1.0	1-7-10	730	2.0	10=>1=>7	1690	1.0		13210786495.0	13210786495.0	11072368495.0		
201048012511	ダ	右	1600	曇	良	16:40	孔雀座特別 		2010-1-25	22	名古屋	1	(定量)		3	130	1	3	100	2	6	110	3	9.0	100	1.0	3-5	200.0	1.0	3-6	220	1	3=>5	190.0	1.0	3=>6	320	1.0	3-6-9	440	1.0	3=>6=>9	780	1.0		311126102198754.0	311261210918475.0	361211291018457.0		
201048012602	ダ	右	1400	晴	良	11:20	サラC23組		2010-1-26	22	名古屋	2	(定量)		5	920	4	5	160	3	8	100	1	10.0	160	4.0	5-7	540.0	3.0	5-8	430	2	5=>7	1100.0	6.0	5=>8	1170	6.0	5-8-10	410	2.0	5=>8=>10	3810	12.0		16735810942.0	18756310492.0	18510374629.0		
201048012603	ダ	右	800	晴	良	11:50	サラC22組		2010-1-26	22	名古屋	2	(定量)		5	490	3	5	120	3	4	100	1	2.0	100	2.0	4-5	730.0	2.0	4-5	710	2	5=>4	2300.0	9.0	5=>4	1810	6.0	2-4-5	410	1.0	5=>4=>2	4380	15.0				52641810793.0		
201048012604	ダ	右	1400	晴	良	12:20	サラC21組		2010-1-26	22	名古屋	2	(定量)		8	1580	5	8	380	6	5	290	5	3.0	170	2.0	5-7	12610.0	20.0	5-8	9830	21	7=>5	26690.0	40.0	8=>5	6790	23.0	3-5-8	6520	21.0	8=>5=>3	82050	172.0		10128536749.0	10185263749.0	10815632794.0		
201048012605	ダ	右	1400	晴	良	12:50	サラC20組		2010-1-26	22	名古屋	2	(定量)		1	200	1	1	120	1	2	720	8	3.0	150	3.0	1-2	4810.0	11.0	1-2	6910	12	1=>2	10910.0	20.0	1=>2	6290	18.0	1-2-3	4210	11.0	1=>2=>3	33690	71.0		12431095867.0	12431059867.0	12435109867.0		
201048012606	ダ	右	1600	晴	良	13:20	サラB6組		2010-1-26	22	名古屋	2	(定量)		1	230	2	1	110	2	5	100	1	8.0	530	7.0	1-5	160.0	1.0	1-5	150	1	1=>5	340.0	2.0	1=>5	290	2.0	1-5-8	910	3.0	1=>5=>8	2640	8.0		58416273910.0	58146723109.0	51846731029.0		
201048012607	ダ	右	1400	晴	良	13:50	サラB5組		2010-1-26	22	名古屋	2	(定量)		1	4070	6	1	270	6	2	100	1	9.0	120	2.0	1-2	790.0	4.0	1-2	920	4	1=>2	6070.0	16.0	1=>2	5000	15.0	1-2-9	1570	6.0	1=>2=>9	20100	51.0		28916105473.0	28911065743.0	28916105473.0		
201048012608	ダ	右	1600	晴	良	14:20	サラB4組		2010-1-26	22	名古屋	2	(定量)		4	290	2	4	100	2	9	100	1	3.0	130	4.0	4-8	270.0	1.0	4-9	240	1	4=>8	620.0	2.0	4=>9	720	2.0	3-4-9	570	2.0	4=>9=>3	2280	8.0		14596378210.0	14596378210.0	45916378210.0		
201048012609	ダ	右	1400	晴	良	15:25	名古屋チャレンジカッ 		2010-1-26	22	名古屋	2	(定量)		9	630	3	9	200	3	2	270	6	6.0	170	2.0	2-8	2590.0	9.0	2-9	3130	10	8=>2	4480.0	16.0	9=>2	5030	16.0	2-6-9	3630	11.0	9=>2=>6	27570	69.0		7,9,10,(4,3),2,5,6,8,1	79104325681.0	79410256138.0		
201048012701	ダ	右	1400	晴	良	10:50	サラ3歳5組		2010-1-27	22	名古屋	3	(定量)		4	370	2	4	100	2	2	100	1	1.0	150	4.0	2-4	310.0	1.0	2-4	260	1	4=>2	730.0	2.0	4=>2	740	3.0	1-2-4	620	3.0	4=>2=>1	1840	4.0		46271013958	(4,2),6,7,1,10,9,3,5,8	42167931058.0		
201048012702	ダ	右	1400	晴	良	11:20	サラ3歳4組		2010-1-27	22	名古屋	3	(定量)		8	190	1	8	110	1	7	120	3	4.0	110	2.0	7-7	550.0	3.0	7-8	590	1	7=>7	420.0	1.0	8=>7	1010	1.0	4-7-8	650	1.0	8=>7=>4	2610	2.0		87102645931.0	87210649531.0	87241069531.0		
201048012703	ダ	右	1400	晴	良	11:50	サラC19組		2010-1-27	22	名古屋	3	(定量)		7	160	1	7	200	2	5	360	3	3.0	1,000	6.0	5-7	680.0	2.0	5-7	920	3	7=>5	1280.0	3.0	7=>5	1090	3.0	3-5-7	2490	8.0	7=>5=>3	8550	21.0		15738210469.0	15731082469.0	15731082649.0		
