	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201253010201	ダ	右	1250	晴	良	10:40	「おはようモーニング		2012-1-2	18	福山	1	(見込)		4	130	1	4.0	100	1.0	6.0	120	2.0	8.0	230.0	5.0	4-6	220	1	4=>6	300	1	4-6-8	1000	3	4=>6=>8	1380	3	6,(1,4,8),9,3,7,2,5	648913725	(6,4),8,1,9,(3,7),2-5	4,6,8,1,7,9,2,3-5														
201253010202	ダ	右	1250	晴	良	11:10	C2一		2012-1-2	18	福山	1	(馬齢)		2	120	1	2.0	100	1.0	6.0	220	6.0	7.0	110.0	2.0	2-6	2120	5	2=>6	2240	6	2-6-7	1380	4	2=>6=>7	5420	17	2,5,8,(1,3,7),6,9,4	251837694	258371694	253876941														
201253010203	ダ	右	1250	晴	良	11:40	3歳B		2012-1-2	18	福山	1	(見込)		7	270	2	7.0	250	3.0	9.0	3,650	9.0	2.0	210.0	2.0	7-9	14130	24	7=>9	17800	36	2-7-9	14350	31	7=>9=>2	111240	171	2,7,9,1,3,(4,5),6,8	279134568	2,7,9,1,(4,3,5),6,8	729145638														
201253010204	ダ	右	1250	晴	良	12:10	3歳A		2012-1-2	18	福山	1	(見込)		4	2850	5	4.0	190	4.0	2.0	100	1.0	5.0	110.0	2.0	2-4	660	2	4=>2	4300	10	2-4-5	590	2	4=>2=>5	13480	41	5,2,6,8,1,3,(4,7),10,9	5,2,1,6,3,8,4,(9,7),10	52134689710	5,2,4-1,(3,8,9),7,10,6														
201253010205	ダ	右	1250	晴	良	12:45	4歳4　条件		2012-1-2	18	福山	1	(馬齢)		5	390	3	5.0	200	2.0	7.0	250	3.0	3.0	810.0	6.0	5-7	640	3	5=>7	860	4	3-5-7	2360	7	5=>7=>3	5990	19	(2,8),1,5,9,3,4,6,7	(2,8),1,5,3,9,4,6,7	2,1,8,(3,5),(4,9),7,6	123574896														
201253010206	ダ	右	1250	晴	良	13:25	4歳3　条件		2012-1-2	18	福山	1	(馬齢)		5	1220	4	5.0	220	5.0	9.0	120	2.0	4.0	100.0	1.0	5-9	3170	9	5=>9	8650	23	4-5-9	1070	4	5=>9=>4	22720	61	982516473	9,8,2,5,1,4,3,(6,7)	982514367	(9,8,5),2,4,1,3,6,7														
201253010207	ダ	右	1250	晴	良	14:00	4歳2　条件		2012-1-2	18	福山	1	(馬齢)		9	2820	6	9.0	460	8.0	3.0	120	2.0	6.0	110.0	1.0	3-9	2120	10	9=>3	8570	26	3-6-9	1240	4	9=>3=>6	12910	43	3,6,7,8,(1,2),(4,5),9	367218459	3,6,7,2,(1,4),8,9,5	362984751														
201253010208	ダ	右	1250	晴	良	14:35	4歳1　条件		2012-1-2	18	福山	1	(馬齢)		4	230	1	4.0	120	1.0	1.0	180	5.0	6.0	140.0	3.0	1-4	770	4	4=>1	1280	5	1-4-6	1310	6	4=>1=>6	5140	15	4,6,1,10,2,3,5,7,8-9	46110325789	46110532789	46151037829														
201253010209	ダ	右	1600	晴	良	15:10	千両特別 		2012-1-2	18	福山	1	(馬齢)		6	180	1	6.0	100	1.0	3.0	110	3.0	9.0	100.0	2.0	3-6	450	2	6=>3	630	3	3-6-9	240	1	6=>3=>9	1180	3	9,2,1,4,6,5,3-7,8	9,2,1,4,6,3,5-7,8	9,6,2,1,3,4,5,7-8	6,9,3,1,2,(7,5)-4,8														
201253010210	ダ	右	1800	晴	良	15:55	日本写真判定杯正月特 		2012-1-2	18	福山	1	(別定)		1	1970	4	1.0	160	3.0	6.0	100	1.0	3.0	200.0	5.0	1-6	780	4	1=>6	2690	11	1-3-6	1220	6	1=>6=>3	13240	40	9,2,6,5,8,(3,7),1,4	9,2,6,5,3,(8,1),7,4	(1,6),2,9,5,(3,8),4,7	162538497														
