	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201230042501	ダ	右	1200	晴	稍重	15:25	C4　ー4組		2012-4-25	1	門別	1	80万円以下	(馬齢)	5.0	370.0	2.0	5.0	130	2.0	2.0	140	4.0	8.0	110.0	1.0	2-5	1430.0	6.0	2-5	1200.0	5.0	5=>2	2150.0	9.0	2-5-8	1030.0	3.0	5=>2=>8	7630.0	21.0			5,1,(2,3),(4,7,8),9,6	5,1,2,3,4,(7,8),9,6											
201230042502	ダ	右	1700	曇	稍重	15:55	C4　ー3組		2012-4-25	1	門別	1	80万円以下	(馬齢)	5.0	1060.0	5.0	5.0	320	6.0	4.0	230	5.0	7.0	180.0	4.0				4-5	4430.0	14.0	5=>4	16000.0	34.0	4-5-7	5370.0	18.0	5=>4=>7	68260.0	150.0	(5,6),7,4,3,(1,8),2	5,6,(4,7),3,1,8,2	5,(6,7),4,3,1,(2,8)	5,(4,6,7),(3,1),8,2											
201230042503	ダ	右	1000	曇	稍重	16:25	3歳条件　未勝利		2012-4-25	1	門別	1	(馬齢)		6.0	230.0	1.0	6.0	110	1.0	7.0	130	2.0	3.0	210.0	5.0	6-7	210.0	1.0	6-7	340.0	1.0	6=>7	600.0	1.0	3-6-7	850.0	3.0	6=>7=>3	3360.0	5.0			(3,6),7,8,2,10,(1,5),9,4	3,6,7,(2,8),10,1,5,9,4											
201230042504	ダ	右	1000	曇	稍重	16:55	チロロの巨石賞		2012-4-25	1	門別	1	80万円以下	(馬齢)	5.0	270.0	1.0	5.0	140	2.0	1.0	120	1.0							1-5	520.0	2.0	5=>1	1070.0	4.0	1-4-5	800.0	3.0	5=>1=>4	4090.0	13.0			1453276	1,4,5,(2,3),(7,6)											
201230042505	ダ	右	1700	曇	稍重	17:25	樹海ロード日高賞		2012-4-25	1	門別	1	80万円以下	(馬齢)	3.0	1120.0	4.0	3.0	330	4.0	2.0	140	1.0							2-3	1270.0	4.0	3=>2	5830.0	15.0	1-2-3	1310.0	4.0	3=>2=>1	14040.0	43.0	4,2,7,1,(5,8),3	4,2,(1,7),(5,8),3	(4,2),7,(1,5),8,3	(4,2),1,7,(5,3),8											
201230042506	ダ	右	1200	曇	稍重	18:00	JRA認定スーパーフ		2012-4-25	1	門別	1	(馬齢)		9.0	340.0	2.0	9.0	130	2.0	5.0	130	1.0	2.0	150.0	3.0	5-8	270.0	1.0	5-9	540.0	2.0	9=>5	1430.0	4.0	2-5-9	2300.0	9.0	9=>5=>2	9270.0	31.0			(5,8),9,4,2,7,(6,1),3	(5,8),9-(4,2),7,6,1,3											
201230042507	ダ	右	1200	曇	稍重	18:30	C3　ー1組		2012-4-25	1	門別	1	120万円以下	(別定)	10.0	2050.0	4.0	10.0	200	5.0	3.0	100	1.0	5.0	110.0	2.0	3-8	790.0	3.0	3-10	1000.0	3.0	10=>3	4870.0	12.0	3-5-10	610.0	2.0	10=>3=>5	12170.0	34.0			10,6,3,(2,8),1,(7,9),5,4	10,(3,6),2,(1,8),(7,5),9,4											
201230042508	ダ	右	1700	曇	稍重	19:00	福寿草特別 		2012-4-25	1	門別	1	160万円以下	(馬齢)	7.0	240.0	1.0	7.0	130	1.0	4.0	170	3.0	1.0	450.0	8.0	4-7	1170.0	4.0	4-7	1000.0	3.0	7=>4	2590.0	8.0	1-4-7	4530.0	17.0	7=>4=>1	16940.0	55.0	2,8,3,1,7,9,4,(5,6)	2,8,1,3,7,9,(5,4),6	2,(8,3,7),(1,9),4,6,5	1,2,(8,3,7),9,5,4,6											
201230042509	ダ	右	1200	曇	稍重	19:30	八重桜特別 		2012-4-25	1	門別	1	160万円以下	(馬齢)	6.0	210.0	1.0	6.0	110	1.0	7.0	150	5.0	5.0	140.0	3.0	6-7	370.0	1.0	6-7	440.0	1.0	6=>7	830.0	1.0	5-6-7	660.0	1.0	6=>7=>5	3050.0	2.0			(7,6),8,1,5,9,10,(3,4)	(7,6),8,(1,5),(3,9),10,4											
201230042510	ダ	右	1800	曇	稍重	20:00	応援ビヤパーティーA 		2012-4-25	1	門別	1	250万円以下	(別定)	1.0	280.0	2.0	1.0	150	2.0	6.0	920	8.0	4.0	160.0	3.0	1-6	9960.0	17.0	1-6	10130.0	17.0	1=>6	21760.0	37.0	1-4-6	9910.0	26.0	1=>6=>4	79350.0	148.0	6,9,1,3,4,5,2,(7,8)	6,9,1,3,4,5,2,(7,8)	691435278	6,(9,1),4,5,3,(2,7),8											
