	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201248010101	ダ	右	1400	曇	良	11:00	サラ3歳2組		2012-1-1	20	名古屋	1	(定量)		2	200	1	2.0	130	1.0	5.0	570	5.0	2-5	1840	6	2=>5	3030	9.0	2-4-5	1950	5.0	2=>5=>4	13010	31.0		14532.0	14253.0	21453.0																				
201248010102	ダ	右	800	曇	良	11:35	祝!戸部尚実騎手20		2012-1-1	20	名古屋	1	(定量)		5	370	2	5.0	120	2.0	1.0	100	1.0	1-5	190	1	5=>1	610	4.0	1-4-5	230	1.0	5=>1=>4	1200	4.0				1457632.0																				
201248010103	ダ	右	1400	曇	良	12:10	謹賀新年?光本靖基&		2012-1-1	20	名古屋	1	(定量)		2	240	1	2.0	130	1.0	5.0	850	5.0	2-5	2500	7	2=>5	3160	10.0	1-2-5	2030	6.0	2=>5=>1	11960	32.0		6,2,4,(1,7),3,5	6214753.0	2514673.0																				
201248010104	ダ	右	1400	曇	良	12:45	サラC35組		2012-1-1	20	名古屋	1	(定量)		4	150	1	4.0	100	1.0	6.0	140	3.0	4-6	460	2	4=>6	670	2.0	3-4-6	520	1.0	4=>6=>3	1770	2.0		1,8,(4,6),3,7,5,2	18436752.0	86143572.0			3.0	120.0	2.0															
201248010105	ダ	右	1400	曇	良	13:20	愛知県馬主協会会長賞		2012-1-1	20	名古屋	1	(定量)		4	320	2	4.0	100	1.0	5.0	110	2.0	4-5	240	1	4=>5	500	1.0	4-5-6	290	1.0	4=>5=>6	1060	3.0		8,(3,4),6,5,7,1,2	8,4,3,5,6-(1,2,7)	8,4,5,6,3-1,2-7			6.0	150.0	4.0															
201248010106	ダ	右	1400	曇	良	13:55	愛知県馬主協会名古屋		2012-1-1	20	名古屋	1	(定量)		7	300	2	7.0	100	2.0	2.0	110	3.0	2-7	650	3	7=>2	1760	8.0	2-3-7	200	1.0	7=>2=>3	2670	11.0		23754861	2,3,7,1,5,(4,6),8	23718546			3.0	100.0	1.0															
201248010107	ダ	右	1400	曇	良	14:30	市川豊馬術審判員デビ		2012-1-1	20	名古屋	1	(定量)		4	150	1	4.0	140	2.0	6.0	190	3.0	4-6	540	2	4=>6	720	3.0	1-4-6	3010	9.0	4=>6=>1	8540	28.0		5,7,4,(2,1,6),9,3,8	5,7,4,6,1,2,(8,9),3	5,4,(7,1,6),9,8,2,3			1.0	300.0	5.0	4-6	560.0	3.0	4=>6	710.0	3.0									
201248010201	ダ	右	800	晴	良	11:00	サラC31組		2012-1-2	20	名古屋	2	(定量)		6	250	2	6.0	160	2.0	7.0	160	3.0	6-7	810	5	6=>7	960	6.0	6-7-8	4180	12.0	6=>7=>8	9330	31.0				68574321.0			8.0	870.0	7.0															
201248010202	ダ	右	1400	晴	良	11:30	サラC30組		2012-1-2	20	名古屋	2	(定量)		8	200	2	8.0	100	1.0	1.0	110	2.0	1-8	180	1	8=>1	340	1.0	1-7-8	280	1.0	8=>1=>7	860	1.0		2,8,7,(1,3,5),6,4	2,8,7,1,5,3,6-4	2,8,1,7,5,3,6-4			7.0	130.0	3.0															
201248010203	ダ	右	1400	晴	良	12:00	サラ3歳4組		2012-1-2	20	名古屋	2	(定量)		4	440	3	4.0	240	3.0	6.0	170	2.0	4-6	1130	5	4=>6	2380	13.0	2-4-6	450	1.0	4=>6=>2	4520	16.0		152364.0	152634.0	526413.0																				
201248010204	ダ	右	1400	晴	良	12:30	森本澄子バースデーメ		2012-1-2	20	名古屋	2	(定量)		4	100	1	4.0	100	2.0	5.0	100	1.0	4-5	210	1	4=>5	290	1.0	2-4-5	420	1.0	4=>5=>2	1100	2.0		4576231	4526173	4,5,2,(1,7),3,6																				
201248010205	ダ	右	1400	晴	良	13:05	健☆沙央理祝!結婚記		2012-1-2	20	名古屋	2	(定量)		6	100	1	6.0	100	2.0	3.0	100	3.0	3-6	960	2	6=>3	940	3.0	1-3-6	120	1.0	6=>3=>1	1010	3.0		1,6,(3,2)-8,5,4,7	1,6,2,3-8,5,4,7	1,6,3,2-8,5,4,7			1.0	100.0	1.0															
201248010206	ダ	右	1400	晴	良	13:40	守道&綾子結婚おめで		2012-1-2	20	名古屋	2	(定量)		5	470	4	5.0	160	3.0	9.0	180	4.0	5-9	470	2	5=>9	1120	6.0	5-8-9	510	2.0	5=>9=>8	2320	6.0		3,4,(5,6),9,7,8,2,1	345986721	359842761			8.0	160.0	2.0	5-8	390.0	2.0	5=>8	780.0	5.0									
201248010207	ダ	右	1400	晴	良	14:15	琉聖君誕生日記念3		2012-1-2	20	名古屋	2	(定量)		6	130	1	6.0	110	1.0	4.0	230	5.0	4-6	1810	7	6=>4	2440	9.0	3-4-6	550	2.0	6=>4=>3	4710	18.0		3,4,(1,6),2,8,5,10,7,9	34618521097	(3,6,4),1,8,5,10,2-7-9			3.0	120.0	2.0	4-6	1770.0	8.0	6=>4	1960.0	9.0									
201248010208	ダ	右	1400	晴	良	14:50	新生・中京競馬場☆あ		2012-1-2	20	名古屋	2	(定量)		1	130	1	1.0	100	1.0	5.0	110	2.0	1-5	170	1	1=>5	240	1.0	1-4-5	160	1.0	1=>5=>4	440	1.0		2,5,4,3,1-7,8,6,10,9	2,5,(4,1),3-8,7,10,9,6	5,1,2,4,3-10,9,7,8,6			4.0	120.0	3.0	1-5	120.0	1.0	1=>5	230.0	1.0									
201248010209	ダ	右	1600	晴	良	15:25	初茜賞		2012-1-2	20	名古屋	2	(定量)		5	380	3	5.0	120	3.0	7.0	110	1.0	5-7	230	1	5=>7	500	3.0	5-7-8	180	1.0	5=>7=>8	720	2.0		4,5,6,(1,3,7),2,8	4,5,7,(3,6),1,8,2	45786321			8.0	120.0	4.0															
201248010210	ダ	右	1600	晴	良	16:00	尾張名古屋杯	G	2012-1-2	20	名古屋	2	(馬齢)		4	190	1	4.0	120	1.0	3.0	210	4.0	3-4	640	2	4=>3	1010	4.0	3-4-6	890	3.0	4=>3=>6	3630	10.0		1463951011872.0	1463910511872.0	1463109115782.0			6.0	220.0	5.0	3-4	610.0	3.0	4=>3	1270.0	5.0									
201248010301	ダ	右	800	晴	良	11:00	サラ3歳6組		2012-1-3	20	名古屋	3	(定量)		1	100	1	1.0	100	1.0	5.0	110	2.0	1-5	360	1	1=>5	490	1.0	1-5-6	490	1.0	1=>5=>6	1260	1.0				15638724.0			6.0	120.0	3.0															
201248010302	ダ	右	1400	晴	良	11:30	サラ3歳5組		2012-1-3	20	名古屋	3	(定量)		5	590	2	5.0	130	2.0	6.0	150	3.0	5-6	430	2	5=>6	740	3.0	2-5-6	1850	5.0	5=>6=>2	6560	19.0		179463825	1,7,9,(4,6),(2,5),3,8	(9,6,5),7,2,3,8,1,4			2.0	210.0	4.0	5-6	350.0	2.0	5=>6	860.0	4.0									
201248010303	ダ	右	1400	晴	良	12:05	優人くん3歳バースデ		2012-1-3	20	名古屋	3	(定量)		8	100	1	8.0	130	2.0	5.0	100	1.0	5-8	290	2	8=>5	330	1.0	4-5-8	370	2.0	8=>5=>4	750	3.0		4,5,8,3,(2,6),1	4,5,8,3-(2,6),1	(5,8),4,3,2,6-1																				
201248010304	ダ	右	1400	晴	良	12:40	ペロさんチャレ		2012-1-3	20	名古屋	3	(定量)		8	390	2	8.0	150	3.0	6.0	200	4.0	6-8	1570	5	8=>6	2970	10.0	4-6-8	1720	5.0	8=>6=>4	10970	31.0		1,8,4,(2,6),3,7,5	1,8,4,(2,6),3,7-5	18462375			4.0	130.0	2.0															
201248010305	ダ	右	1400	晴	良	13:15	愛知県馬主協会尾張支		2012-1-3	20	名古屋	3	(定量)		2	100	1	2.0	100	1.0	8.0	100	2.0	2-8	110	1	2=>8	170	1.0	2-7-8	160	1.0	2=>8=>7	310	1.0		4,7,2,(1,8),3,5,6	42783516	4,2,(7,8),3,5,6-1			7.0	100.0	3.0															
201248010306	ダ	右	1400	晴	良	13:50	愛知県馬主協会三河支		2012-1-3	20	名古屋	3	(定量)		6	100	1	6.0	100	1.0	7.0	130	3.0	6-7	160	1	6=>7	260	1.0	2-6-7	3630	7.0	6=>7=>2	6900	17.0		7,4,6,(2,9),(3,8),1,5	7,6,(2,9),4,(3,8),1,5	762938145			2.0	430.0	7.0	6-7	160.0	1.0	6=>7	240.0	1.0									
201248010307	ダ	右	1400	晴	良	14:25	小高竜輝1歳記念		2012-1-3	20	名古屋	3	(定量)		6	200	1	6.0	170	3.0	10.0	270	4.0	6-10	1470	4	6=>10	1530	6.0	6-9-10	5560	14.0	6=>10=>9	16180	48.0		7,9,10,(6,1),8,4,5,2,3	79106814523	79106814523			9.0	480.0	6.0	6-8	1120.0	5.0	6=>8	1070.0	5.0									
201248010401	ダ	右	1400	晴	良	11:00	サラC19組		2012-1-4	20	名古屋	4	(定量)		8	110	1	8.0	100	1.0	5.0	100	2.0	5-8	130	1	8=>5	170	1.0	2-5-8	480	2.0	8=>5=>2	670	3.0		5,8,(3,7),6,2,1,4	58723614	8,5-2,3,6,7,1,4			2.0	220.0	5.0															
201248010402	ダ	右	1400	晴	良	11:35	小林弘明様定年お疲れ		2012-1-4	20	名古屋	4	(定量)		4	100	1	4.0	100	2.0	3.0	100	1.0	3-4	180	1	4=>3	180	1.0	3-4-9	920	3.0	4=>3=>9	1420	5.0		4,9,(1,3),7,2,8,5,6	439781256	438975126			9.0	290.0	6.0	3-4	160.0	1.0	4=>3	160.0	1.0									
201248010403	ダ	右	1400	晴	良	12:10	サラ3歳8組		2012-1-4	20	名古屋	4	(定量)		6	1830	5	6.0	360	4.0	4.0	220	3.0	4-6	790	4	6=>4	2380	14.0	4-5-6	1140	7.0	6=>4=>5	6220	30.0		4625173.0	4652713.0	4652173.0																				
201248010404	ダ	右	1400	晴	良	12:45	サラ3歳7組		2012-1-4	20	名古屋	4	(定量)		2	480	2	2.0	110	3.0	1.0	100	1.0	1-2	880	4	2=>1	1290	6.0	1-2-8	380	1.0	2=>1=>8	2530	7.0		1284637.0	1284637.0	1284637.0			8.0	100.0	2.0															
201248010405	ダ	右	800	晴	良	13:20	サラC17組		2012-1-4	20	名古屋	4	(定量)		9	180	1	9.0	110	1.0	6.0	120	2.0	6-9	140	1	9=>6	220	1.0	4-6-9	510	3.0	9=>6=>4	1300	5.0				9,(4,5,6),2,7,8,1,3			4.0	210.0	6.0	6-8	150.0	1.0	8=>6	140.0	1.0									
201248010406	ダ	右	1400	晴	良	13:55	サラC16組		2012-1-4	20	名古屋	4	(定量)		7	100	1	7.0	100	1.0	5.0	100	2.0	5-7	150	1	7=>5	160	1.0	1-5-7	230	1.0	7=>5=>1	340	1.0		17854623.0	17856432.0	17548632.0			1.0	140.0	4.0															
201248010407	ダ	右	1400	晴	良	14:35	駿祐2歳お誕生日おめ		2012-1-4	20	名古屋	4	(定量)		1	260	2	1.0	100	1.0	5.0	110	2.0	1-5	170	1	1=>5	340	2.0	1-3-5	500	2.0	1=>5=>3	1210	5.0		9,3,5,(1,8),6,7,4	93581674	5,3,1,9,6,8,7-4			3.0	210.0	4.0	1-5	160.0	1.0	1=>5	280.0	1.0									
201248010408	ダ	右	1400	晴	良	15:10	えびす賞		2012-1-4	20	名古屋	4	(定量)		6	100	1	6.0	100	1.0	5.0	110	2.0	5-6	200	1	6=>5	210	1.0	2-5-6	240	1.0	6=>5=>2	490	1.0		126395478	1,2,(5,6),3,9,4,7,8	652318947			2.0	140.0	4.0	5-6	170.0	1.0	6=>5	190.0	1.0									
